Count;InterProID;pubmeds;Name;ShortDescription
8;IPR043129;"doi:10.1038/415180a
doi:10.1038/nature22366
imex:IM-25778
imex:IM-8299
intact:EBI-16263388
pubmed:11805837
pubmed:19536198
pubmed:28514442";ATPase, nucleotide binding domain;<p>This superfamily comprises domains found in several ATPases, including actin, Hsp70, BadF/BadG/BcrA/BcrD, various kinases, DnaK, ROK, PilM, and Fumble. Members of this superfamily have two lobes, one with nucleotide binding activity, and a second one with substrate binding activity. The lobes can be structurally divided into 4 subdomains - 1A, 1B, 2A, 2B (or 1, 2, 3, 4). The ATP binding site in these ATPases is well conserved, and is located at the junction of the two lobes, in a deep cleft. This superfamily entry represents the nucleotide binding domain (NBD) or the first lobe (subdomains 1A and 1B), which exhibits ATPase activity.</p>
7;IPR029047;"doi:10.1038/nature22366
imex:IM-25778
pubmed:19536198
pubmed:28514442";Heat shock protein 70kD, peptide-binding domain superfamily;"<p>This superfamily represents peptide-binding β-sandwich domain from DnaK and other
HSP70 proteins.</p>; <p>Members of the 70-kilodalton heat-shock protein (HSP70) family promote protein folding both constitutively and in response to stress. These proteins have two functional units: a substrate-binding unit, and an adenosine triphosphatase unit. The substrate-binding unit of DnaK consists of a β-sandwich domain followed by α-helical segments. The α-helical domain stabilises the complex, but does not contact the peptide directly [[cite:PUB00028362]].</p>"
7;IPR013126;"doi:10.1038/nature22366
imex:IM-25778
pubmed:19536198
pubmed:28514442";Heat shock protein 70 family;"<p>Heat shock proteins, Hsp70 chaperones help to fold many proteins. Hsp70 assisted folding involves repeated cycles of substrate binding and release. Hsp70 activity is ATP dependent. Hsp70 proteins are made up of two regions: the amino terminus is the ATPase domain and the carboxyl terminus is the substrate binding region [[cite:PUB00000958]].</p>

<p>Hsp70 proteins have an average molecular weight of 70kDa [[cite:PUB00000712], [cite:PUB00000809], [cite:PUB00004019]]. In most species, there are many proteins that belong to the Hsp70 family. Some of these are only expressed under stress conditions (strictly inducible), while some are present in cells under normal growth conditions and are not heat-inducible (constitutive or cognate) [[cite:PUB00004070], [cite:PUB00001766]]. Hsp70 proteins can be found in different cellular compartments (nuclear, cytosolic, mitochondrial, endoplasmic reticulum, for example).</p>

<p>This entry represents the Hsp70 family, and includes chaperone protein DnaK and luminal-binding proteins. It also includes heat shock protein 110 (Hsp110) from Caenorhabditis elegans which helps prevent the aggregation of denatured proteins in neurons [[cite:PUB00082583]]. Also included is endoplasmic reticulum (ER) chaperone BiP (HSPA5) which is important for protein folding and quality control in the ER [[cite:PUB00090977]].</p>; <p>The Heat Shock Protein 70 (HSP70) family is a group of highly conserved molecular chaperones involved in a variety of cellular processes. Members of this family play crucial roles in the folding of newly synthesized proteins, preventing the aggregation of denatured proteins under stress, assisting in protein translocation into organelles, and participating in the degradation of damaged proteins. They are also implicated in the assembly of multimeric protein complexes within the endoplasmic reticulum. Some HSP70 proteins act as nucleotide-exchange factors, promoting the release of ADP from other chaperones to trigger substrate release. They are essential for cellular protection against stress conditions such as heat shock and hypoxia, where they may help in cytoprotection and protein folding.</p>"
6;IPR029048;"doi:10.1038/nature22366
imex:IM-25778
pubmed:19536198
pubmed:28514442";Heat shock protein 70kD, C-terminal domain superfamily;"<p>Members of the 70-kilodalton heat-shock protein (HSP70) family promote protein folding both constitutively and in response to stress. These proteins have two functional units: a substrate-binding unit, and an adenosine triphosphatase unit. The substrate-binding unit of DnaK consists of a β-sandwich domain followed by α-helical segments. The α-helical domain stabilises the complex, but does not contact the peptide directly [[cite:PUB00028362]].</p>; <p>This superfamily represents the C-terminal α-helical subdomain of the substrate-binding unit from DnaK and other HSP70 proteins.</p>"
6;IPR018181;"doi:10.1038/nature22366
imex:IM-25778
pubmed:19536198
pubmed:28514442";Heat shock protein 70, conserved site;"<p>Heat shock proteins, Hsp70 chaperones help to fold many proteins. Hsp70 assisted folding involves repeated cycles of substrate binding and release. Hsp70 activity is ATP dependent. Hsp70 proteins are made up of two regions: the amino terminus is the ATPase domain and the carboxyl terminus is the substrate binding region [[cite:PUB00000958]].</p>

<p>Hsp70 proteins have an average molecular weight of 70kDa [[cite:PUB00000712], [cite:PUB00000809], [cite:PUB00004019]]. In most species,there are many proteins that belong to the hsp70 family. Some of these are only expressed under stress conditions (strictly inducible), while some are present in cells under normal growth conditions and are not heat-inducible (constitutive or cognate) [[cite:PUB00004070], [cite:PUB00001766]]. Hsp70 proteins can be found in different cellular compartments(nuclear, cytosolic, mitochondrial, endoplasmic reticulum, for example).</p>

<p>This entry represents three conserved sites of the heat shock 70 protein family.</p>"
5;Homo sapiens;"IPR001129
IPR001844
IPR002423
IPR003594
IPR005467
IPR011234
IPR014816
IPR018370
IPR018955
IPR023352
IPR027409
IPR027410
IPR027413
IPR029063
IPR036663
IPR036784
IPR036890
IPR039028
IPR049470
IPR050997
IPR054151";;
2;IPR037196;"pubmed:15766533
pubmed:19536198";HSP90, C-terminal domain;"<p>This entry represents the C-terminal domain of HPS90. Structurally, this domain has an α-β(3)-α(3) fold arranged in two layers (α/β) with mixed β-sheet and crossing loops.</p>; <p>Molecular chaperones, or heat shock proteins (Hsps) are ubiquitous proteins that act to maintain proper protein folding within the cell [[cite:PUB00035214]]. They assist in the folding of nascent polypeptide chains, and are also involved in the refolding of denatured proteins following proteotoxic stress. As their name implies, the heat shock proteins were first identified as proteins that were up-regulated under conditions of elevated temperature. However, subsequent studies have shown that increased Hsp expression is induced by a variety of cellular stresses, including oxidative stress and inflammation. Five major Hsp families have been determined, and are categorized according to their molecular size (Hsp100, Hsp90, Hsp70, Hsp60, and the small Hsps). Hsps are involved in a variety of cellular processes that are ATP-dependent. These include: prevention of protein aggregation, protein degradation, protein trafficking, and maintenance of signalling proteins in a conformation that permits activation.</p>

<p>Hsp90 chaperones are unique in their ability to regulate a specific subset of cellular signalling proteins that have been implicated in disease processes, including intracellular protein kinases, steroid hormone receptors, and growth factor receptors [[cite:PUB00035215], [cite:PUB00112352], [cite:PUB00112353], [cite:PUB00141629], [cite:PUB00141630], [cite:PUB00141631], [cite:PUB00141642]].</p>"
2;IPR001404;"pubmed:15766533
pubmed:19536198";Heat shock protein Hsp90 family;"<p>Molecular chaperones, or heat shock proteins (Hsps) are ubiquitous proteins that act to maintain proper protein folding within the cell [[cite:PUB00035214]]. They assist in the folding of nascent polypeptide chains, and are also involved in the refolding of denatured proteins following proteotoxic stress. As their name implies, the heat shock proteins were first identified as proteins that were up-regulated under conditions of elevated temperature. However, subsequent studies have shown that increased Hsp expression is induced by a variety of cellular stresses, including oxidative stress and inflammation. Five major Hsp families have been determined, and are categorized according to their molecular size (Hsp100, Hsp90, Hsp70, Hsp60, and the small Hsps). Hsps are involved in a variety of cellular processes that are ATP-dependent. These include: prevention of protein aggregation, protein degradation, protein trafficking, and maintenance of signalling proteins in a conformation that permits activation.</p>

<p>Hsp90 chaperones are unique in their ability to regulate a specific subset of cellular signalling proteins that have been implicated in disease processes, including intracellular protein kinases, steroid hormone receptors, and growth factor receptors [[cite:PUB00035215], [cite:PUB00112352], [cite:PUB00112353], [cite:PUB00141629], [cite:PUB00141630], [cite:PUB00141631], [cite:PUB00141642]].</p>"
2;IPR036890;"pubmed:15766533
pubmed:19536198";Histidine kinase/HSP90-like ATPase superfamily;"<p>This domain superfamily is found in several ATP-binding proteins, including: DNA mismatch repair protein MutL, Chaperone protein HtpG, DNA gyrase subunit B, Anti-sigma F factor, histidine kinase [[cite:PUB00030541]], topoisomerases [[cite:PUB00022659]], heat shock protein HSP90 [[cite:PUB00031400], [cite:PUB00031884], [cite:PUB00031942]], phytochrome-like ATPases and DNA mismatch repair proteins. The fold of this domain consists of two layers, α/β, which contains an 8-stranded mixed β-sheet.</p>; <p>DNA mismatch repair protein MutL is an essential component of the methyl-directed mismatch repair (MMR) system, which corrects replication errors and maintains genomic integrity. MutL functions in the Dam-dependent MMR pathway, where the methylation status of GATC sequences is used to distinguish the parental strand from the newly synthesised strand containing the replication error. MutL acts as a molecular matchmaker, facilitating the ATP-dependent assembly of stable complexes between DNA-binding proteins involved in the repair process without itself remaining part of the final effector complex. Following mismatch recognition by MutS, MutL is recruited to the site of damage, where it coordinates downstream repair events, including activation of the endonuclease MutH and recruitment of the UvrD helicase and exonucleases required for excision of the error-containing strand. The ATPase activity of MutL, mediated by its N-terminal GHKL domain, is essential for these functions, driving the conformational changes necessary for proper coordination of the repair machinery [[cite:PUB00163295], [cite:PUB00023516]].</p>"
2;IPR003594;"pubmed:15766533
pubmed:19536198";Histidine kinase/HSP90-like ATPase domain;<p>This domain is found in several ATP-binding proteins, including: histidine kinase [[cite:PUB00030541]], DNA gyrase B, topoisomerases [[cite:PUB00022659]], heat shock protein HSP90 [[cite:PUB00031400], [cite:PUB00031884], [cite:PUB00031942]], phytochrome-like ATPases and DNA mismatch repair proteins. The fold of this domain consists of two layers, α/β, which contains an 8-stranded mixed β-sheet.</p>
