PartnerUniProtID,Publications
O14880,imex:IM-26301|pubmed:29568061
P02829,pubmed:15766533
P06748,imex:IM-30059|pubmed:39251607
P09435,pubmed:19536198
P10591,pubmed:19536198
P10809,imex:IM-26301|pubmed:29568061
P11142,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P11484,pubmed:19536198
P15108,pubmed:19536198
P32589,pubmed:19536198
P34932,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P36639-2,imex:IM-25472|pubmed:32296183
P38788,pubmed:19536198
P57721,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P78371,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q13228,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q15118,imex:IM-26301|pubmed:29568061
Q6P587,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8TBB1,imex:IM-23318|pubmed:25416956
Q8WWK9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BVS5,imex:IM-26301|pubmed:29568061
Q9HAH1,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NQX0,imex:IM-25472|pubmed:32296183
"chebi:""CHEBI:15414""",imex:IM-26612|pubmed:16642040
intact:EBI-16769503,imex:IM-26301|pubmed:29568061
