B8A342,DUF3741 domain-containing protein,Zea mays,IPR032795,imex:IM-29553|pubmed:36581701
O00483,Cytochrome c oxidase subunit FA4,Homo sapiens,IPR010530,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
O00534,von Willebrand factor A domain-containing protein 5A,Homo sapiens,IPR013694|IPR002035|IPR036465,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00534-3,Isoform 3 of von Willebrand factor A domain-containing protein 5A,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O00567,Nucleolar protein 56,Homo sapiens,IPR045056|IPR012974|IPR042239|IPR002687|IPR036070|IPR012976,imex:IM-24272|pubmed:26496610
O14880,Glutathione S-transferase 3, mitochondrial,Homo sapiens,IPR050997|IPR023352|IPR001129,imex:IM-26301|pubmed:29568061
O15091,Mitochondrial ribonuclease P catalytic subunit,Homo sapiens,IPR033495|IPR031595|IPR011990,imex:IM-12139|pubmed:18984158
O15155,BET1 homolog,Homo sapiens,IPR039899|IPR000727,imex:IM-26301|pubmed:29568061
O18404,3-hydroxyacyl-CoA dehydrogenase type-2,Drosophila melanogaster,IPR057326|IPR036291|IPR020904|IPR002347,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
O18697,Brak nazwy,Caenorhabditis elegans,IPR039908,pubmed:19123269
O43149,Zinc finger ZZ-type and EF-hand domain-containing protein 1,Homo sapiens,IPR004939|IPR011992|IPR002048|IPR008979|IPR000433|IPR043145|IPR040099|IPR047052|IPR041986,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O60783,Small ribosomal subunit protein uS14m,Homo sapiens,IPR001209,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O61307,Teneurin-m,Drosophila melanogaster,IPR011042|IPR008969|IPR000742|IPR057627|IPR056823|IPR056822|IPR056820|IPR051216|IPR057629|IPR028916|IPR015943|IPR006530,imex:IM-16527|pubmed:25294943
O75940,Survival of motor neuron-related-splicing factor 30,Homo sapiens,IPR010304|IPR002999,imex:IM-30059|pubmed:39251607
O77263,tRNA (guanine-N(7)-)-methyltransferase,Drosophila melanogaster,IPR029063|IPR025763|IPR003358,imex:IM-9552|pubmed:19079254
O95831,Apoptosis-inducing factor 1, mitochondrial,Homo sapiens,IPR029324|IPR050446|IPR036188|IPR023753|IPR016156,imex:IM-26301|pubmed:29568061
P01100,Protein c-Fos,Homo sapiens,IPR000837|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
P01112,GTPase HRas,Homo sapiens,IPR027417|IPR005225|IPR001806|IPR020849,imex:IM-30494|pubmed:35839996
P01116-2,Isoform 2B of GTPase KRas,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-30494|pubmed:35839996
P03372,Estrogen receptor,Homo sapiens,IPR024178|IPR001292|IPR046944|IPR035500|IPR000536|IPR050200|IPR001723|IPR024736|IPR001628|IPR013088,imex:IM-26954|pubmed:31527615
P06748,Nucleophosmin,Homo sapiens,IPR032569|IPR004301|IPR024057|IPR036824,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P09622,Dihydrolipoyl dehydrogenase, mitochondrial,Homo sapiens,IPR050151|IPR036188|IPR023753|IPR016156|IPR006258|IPR001100|IPR004099|IPR012999,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
P0C6X5-PRO_0000283874
P0C6X6-PRO_0000283826
P0C7P0,CDGSH iron-sulfur domain-containing protein 3, mitochondrial,Homo sapiens,IPR052950|IPR018967|IPR042216,doi:10.1016/j.molcel.2016.06.033|imex:IM-26449|pubmed:27499296
P0DOF2,Matrix protein,Rabies virus (strain ERA),IPR006870|IPR038617,imex:IM-27674|pubmed:33208464
P10636-8,Isoform Tau-F of Microtubule-associated protein tau,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-29773|pubmed:35063084
P10809,60 kDa heat shock protein, mitochondrial,Homo sapiens,IPR018370|IPR001844|IPR002423|IPR027409|IPR027413|IPR027410,imex:IM-26301|pubmed:29568061
P11362,Fibroblast growth factor receptor 1,Homo sapiens,IPR028174|IPR016248|IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR013151|IPR011009|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635,imex:IM-26434|pubmed:31980649
P11484,Ribosome-associated molecular chaperone SSB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P13569,Cystic fibrosis transmembrane conductance regulator,Homo sapiens,IPR003593|IPR011527|IPR036640|IPR003439|IPR017871|IPR050173|IPR009147|IPR047082|IPR025837|IPR027417,imex:IM-29540|pubmed:36012204
P17844,Probable ATP-dependent RNA helicase DDX5,Homo sapiens,IPR011545|IPR014001|IPR001650|IPR027417|IPR012587|IPR000629|IPR014014,imex:IM-12139|pubmed:18984158
P17948,Vascular endothelial growth factor receptor 1,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR013106|IPR013151|IPR011009|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635|IPR001824|IPR041348|IPR055229|IPR055238|IPR009135,imex:IM-29494|pubmed:35384245
P18431-3,Isoform SGG39 of Protein kinase shaggy,Drosophila melanogaster,Brak InterPro kodów dla tego białka.,imex:IM-16527|pubmed:25294943
P18847,Cyclic AMP-dependent transcription factor ATF-3,Homo sapiens,IPR000837|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
P22607,Fibroblast growth factor receptor 3,Homo sapiens,IPR016248|IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR011009|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635,imex:IM-29494|pubmed:35384245
P23116,Eukaryotic translation initiation factor 3 subunit A,Mus musculus,IPR027512|IPR054711|IPR000717,imex:IM-24272|pubmed:26496610
P26022,Pentraxin-related protein PTX3,Homo sapiens,IPR013320|IPR006558|IPR030476|IPR042837|IPR058832|IPR001759,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P26196,Probable ATP-dependent RNA helicase DDX6,Homo sapiens,IPR011545|IPR014001|IPR001650|IPR027417|IPR000629|IPR014014,imex:IM-30059|pubmed:39251607
P30530,Tyrosine-protein kinase receptor UFO,Homo sapiens,IPR003961|IPR036116|IPR007110|IPR036179|IPR013783|IPR003599|IPR011009|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635,imex:IM-29494|pubmed:35384245
P32243-2,Isoform 2 of Homeobox protein OTX2,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
P34897,Serine hydroxymethyltransferase, mitochondrial,Homo sapiens,IPR015424|IPR015421|IPR015422|IPR001085|IPR049943|IPR019798|IPR039429,imex:IM-12139|pubmed:18984158
P35221,Catenin alpha-1,Homo sapiens,IPR036723|IPR001033|IPR006077|IPR000633,imex:IM-30532|pubmed:38884001
P42574,Caspase-3,Homo sapiens,IPR029030|IPR033139|IPR016129|IPR002398|IPR011600|IPR002138|IPR001309|IPR015917,imex:IM-30532|pubmed:38884001
P49411,Elongation factor Tu, mitochondrial,Homo sapiens,IPR041709|IPR050055|IPR004161|IPR033720|IPR031157|IPR027417|IPR000795|IPR009000|IPR009001|IPR004541|IPR004160,imex:IM-12139|pubmed:18984158
P49448,Glutamate dehydrogenase 2, mitochondrial,Homo sapiens,IPR046346|IPR006095|IPR006096|IPR006097|IPR033524|IPR036291|IPR033922,imex:IM-12139|pubmed:18984158
P51398,Small ribosomal subunit protein mS29,Homo sapiens,IPR027417|IPR019368|IPR008092,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P53215,tRNA(His) guanylyltransferase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR025845|IPR024956|IPR007537|IPR038469,pubmed:14690591
P62495,Eukaryotic peptide chain release factor subunit 1,Homo sapiens,IPR042226|IPR024049|IPR005141|IPR005142|IPR005140|IPR004403|IPR029064,imex:IM-12139|pubmed:18984158
P62979,Ubiquitin-ribosomal protein eS31 fusion protein,Homo sapiens,IPR002906|IPR038582|IPR011332|IPR000626|IPR029071|IPR019954|IPR019956|IPR050158,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P68104,Elongation factor 1-alpha 1,Homo sapiens,IPR004161|IPR031157|IPR054696|IPR027417|IPR000795|IPR050100|IPR009000|IPR009001|IPR004539,imex:IM-12139|pubmed:18984158
P69479,Phosphoprotein,Rabies virus (strain ERA),IPR004259|IPR037199|IPR049506,imex:IM-27782|pubmed:unassigned2293
P80318,T-complex protein 1 subunit gamma,Mus musculus,IPR012719|IPR017998|IPR002194|IPR002423|IPR027409|IPR027413|IPR027410|IPR053374|IPR054827,imex:IM-24272|pubmed:26496610
P82663,Small ribosomal subunit protein mS25,Homo sapiens,IPR007741|IPR040049|IPR036249,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82664,Small ribosomal subunit protein uS10m,Homo sapiens,IPR027486|IPR036838|IPR040055,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82673,Small ribosomal subunit protein mS35,Homo sapiens,IPR019349|IPR039848,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P82673-2,Isoform 2 of Small ribosomal subunit protein mS35,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P82675,Small ribosomal subunit protein uS5m,Homo sapiens,IPR020568|IPR000851|IPR005324|IPR013810|IPR018192|IPR048584|IPR014721,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82912,Small ribosomal subunit protein uS11m,Homo sapiens,IPR001971|IPR018102|IPR036967,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P82912-2,Isoform 2 of Small ribosomal subunit protein uS11m,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P82914,Small ribosomal subunit protein uS15m,Homo sapiens,IPR000589|IPR005290|IPR009068|IPR052137,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82921,Small ribosomal subunit protein bS21m,Homo sapiens,IPR001911|IPR038380,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82930,Small ribosomal subunit protein mS34,Homo sapiens,IPR032053,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P82933,Small ribosomal subunit protein uS9m,Homo sapiens,IPR020568|IPR000754|IPR023035|IPR020574|IPR014721,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q02252,Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial,Homo sapiens,IPR016161|IPR016163|IPR016160|IPR016162|IPR015590|IPR010061,imex:IM-12139|pubmed:18984158
Q13257,Mitotic spindle assembly checkpoint protein MAD2A,Homo sapiens,IPR003511|IPR036570|IPR045091,imex:IM-24272|pubmed:26496610
Q13283,Ras GTPase-activating protein-binding protein 1,Homo sapiens,IPR034374|IPR032710|IPR002075|IPR018222|IPR012677|IPR039539|IPR035979|IPR000504,imex:IM-29413|pubmed:34901782
Q14554,Protein disulfide-isomerase A5,Homo sapiens,IPR051063|IPR046374|IPR041865|IPR036249|IPR017937|IPR013766,imex:IM-12139|pubmed:18984158
Q14690,Protein RRP5 homolog,Homo sapiens,IPR003107|IPR012340|IPR045209|IPR057302|IPR048058|IPR048059|IPR003029|IPR008847|IPR011990,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q15118,[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial,Homo sapiens,IPR036784|IPR018955|IPR039028|IPR036890|IPR003594|IPR005467,imex:IM-26301|pubmed:29568061
Q16629,Serine/arginine-rich splicing factor 7,Homo sapiens,IPR012677|IPR035979|IPR000504|IPR034651|IPR001878|IPR036875,imex:IM-30059|pubmed:39251607
Q24568,Netrin-B,Drosophila melanogaster,IPR050440|IPR008211|IPR002049|IPR056863|IPR001134|IPR018933|IPR008993,imex:IM-16527|pubmed:25294943
Q53GS9,Ubiquitin carboxyl-terminal hydrolase 39,Homo sapiens,IPR038765|IPR001394|IPR050185|IPR028889|IPR033809|IPR013083|IPR001607,imex:IM-12079|pubmed:19615732
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,Homo sapiens,IPR056593|IPR036770|IPR011989|IPR016024|IPR056597|IPR056602|IPR032171|IPR057263|IPR011009|IPR001611|IPR003591|IPR032675|IPR027417|IPR000719|IPR017441|IPR020859|IPR008271|IPR051420|IPR005225|IPR015943|IPR036322,imex:IM-26684|pubmed:31046837
Q5T160,Probable arginine--tRNA ligase, mitochondrial,Homo sapiens,IPR001412|IPR001278|IPR036695|IPR035684|IPR008909|IPR014729|IPR009080,imex:IM-12139|pubmed:18984158
Q5T447,E3 ubiquitin-protein ligase HECTD3,Homo sapiens,IPR004939|IPR008979|IPR000569|IPR035983|IPR042469,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q6ZWV7,Large ribosomal subunit protein uL29,Mus musculus,IPR001854|IPR018254|IPR045059|IPR036049,imex:IM-24272|pubmed:26496610
Q86T24,Transcriptional regulator Kaiso,Homo sapiens,IPR000210|IPR011333|IPR036236|IPR013087|IPR050457,imex:IM-24272|pubmed:26496610
Q8BMQ2,General transcription factor 3C polypeptide 4,Mus musculus,IPR045803|IPR044230|IPR024761|IPR024764|IPR015943|IPR036322,imex:IM-24272|pubmed:26496610
Q8IVT5,Kinase suppressor of Ras 1,Homo sapiens,IPR046349|IPR011009|IPR002219|IPR000719|IPR013761|IPR046861|IPR046933|IPR001245|IPR008271|IPR050167,imex:IM-25748|pubmed:27086506
Q8IYB8,ATP-dependent RNA helicase SUPV3L1, mitochondrial,Homo sapiens,IPR055206|IPR001650|IPR027417|IPR050699|IPR022192|IPR041082|IPR044774|IPR041453,imex:IM-30059|pubmed:39251607
Q8N5D0,WD and tetratricopeptide repeats protein 1,Homo sapiens,IPR045151|IPR011990|IPR019734|IPR015943|IPR036322|IPR001680,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N9I0,Synaptotagmin-2,Homo sapiens,IPR000008|IPR035892|IPR001565,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NB90,ATPase family gene 2 protein homolog A,Homo sapiens,IPR003593|IPR050168|IPR041569|IPR009010|IPR003959|IPR003960|IPR027417,imex:IM-30175|pubmed:38554706
