protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A017HBU3	DUF2254 domain-containing protein	418	Lokhon_01922	1122180	Limimaricola hongkongensis DSM 17492	Limimaricola hongkongensis DSM 17492	True	IPR018723	family		418	14	369	CONTINUOUS	DUF2254_membrane
A0A017HSP4	YetF-like N-terminal transmembrane domain-containing protein	596	Rumeso_00927	442562	Rubellimicrobium mesophilum DSM 19309	Rubellimicrobium mesophilum DSM 19309	True	IPR018723	family		596	195	548	CONTINUOUS	DUF2254_membrane
A0A017T4R7	DUF2254 domain-containing protein	567	CAP_4701	1192034	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	True	IPR018723	family		567	33	217	CONTINUOUS	DUF2254_membrane
A0A021VU23	DUF2254 domain-containing protein	419	N866_07365	948458	Actinotalea ferrariae CF5-4	Actinotalea ferrariae CF5-4	True	IPR018723	family		419	20	386	CONTINUOUS	DUF2254_membrane
A0A024P4I4	DUF2254 domain-containing protein	203	BN983_02036	195088	Halobacillus karajensis	Halobacillus karajensis	True	IPR018723	family		203	26	190	CONTINUOUS	DUF2254_membrane
A0A024P8Q0	DUF2254 domain-containing protein	465	BN983_03421	195088	Halobacillus karajensis	Halobacillus karajensis	True	IPR018723	family		465	24	386	CONTINUOUS	DUF2254_membrane
A0A024P9S5	DUF2254 domain-containing protein	457	BN983_03837	195088	Halobacillus karajensis	Halobacillus karajensis	True	IPR018723	family		457	28	391	CONTINUOUS	DUF2254_membrane
A0A024Q784	DUF2254 domain-containing protein	436	BN990_00332	61016	Virgibacillus salexigens	Virgibacillus salexigens	True	IPR018723	family		436	11	380	CONTINUOUS	DUF2254_membrane
A0A024Q7C4	DUF2254 domain-containing protein	458	BN990_00382	61016	Virgibacillus salexigens	Virgibacillus salexigens	True	IPR018723	family		458	28	391	CONTINUOUS	DUF2254_membrane
A0A061SWD5	DUF2254 domain-containing protein	412	PM02_05255	83219	Sulfitobacter mediterraneus	Sulfitobacter mediterraneus	True	IPR018723	family		412	15	384	CONTINUOUS	DUF2254_membrane
A0A062UUM4	Putative membrane protein (DUF2254)	624	ANME2D_02761	1392998	Candidatus Methanoperedens nitratireducens	Candidatus Methanoperedens nitratireducens	True	IPR018723	family		624	38	207	CONTINUOUS	DUF2254_membrane
A0A062V7U0	Putative membrane protein (DUF2254)	418	ANME2D_00423	1392998	Candidatus Methanoperedens nitratireducens	Candidatus Methanoperedens nitratireducens	True	IPR018723	family		418	62	203	CONTINUOUS	DUF2254_membrane
