A0A0B4J274,T cell receptor alpha variable 20,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013106|IPR051006,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A0A0B4KGY6,RNA-binding protein Pasilla,Drosophila melanogaster,IPR047275|IPR047276|IPR047274|IPR004087|IPR004088|IPR036612,imex:IM-16527|pubmed:25294943
A0A2U2GWZ3,Brak nazwy,Yersinia pestis,IPR003593|IPR050107|IPR003439|IPR017871|IPR027417|IPR049716,imex:IM-13779|pubmed:20711500
A0A3G5L9M4,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-13779|pubmed:20711500
A0A3N4B418,Protein SirB1 N-terminal domain-containing protein,Yersinia pestis,IPR032698|IPR011990,imex:IM-13779|pubmed:20711500
A0A6H3AII8,Transcription initiation factor TFIIIB,Bacillus anthracis,Brak InterPro kodów dla tego białka.,imex:IM-13779|pubmed:20711500
A0A6L7HRI8,Brak nazwy,Bacillus anthracis,Brak InterPro kodów dla tego białka.,imex:IM-13779|pubmed:20711500
A2ABF9,[histone H3]-lysine(9) N-methyltransferase,Homo sapiens,IPR002110|IPR036770|IPR043550|IPR047762|IPR007728|IPR001214|IPR046341|IPR038034,imex:IM-23318|pubmed:25416956
A2RTX5,Threonine--tRNA ligase 2, cytoplasmic,Homo sapiens,IPR002314|IPR006195|IPR045864|IPR004154|IPR036621|IPR012675|IPR004095|IPR012676|IPR002320|IPR018163|IPR047246|IPR033728|IPR012947,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6H8M9,Cadherin-related family member 4,Homo sapiens,IPR050971|IPR002126|IPR015919|IPR020894,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6NFA1,Metalloprotease TIKI2,Homo sapiens,IPR040230|IPR002816,imex:IM-29698|pubmed:36994853
A6Y878,Genome polyprotein,Foot-and-mouth disease virus A,IPR037080|IPR043502|IPR004080|IPR004004|IPR000605|IPR014759|IPR027417|IPR038765|IPR044067|IPR008739|IPR000199|IPR009003|IPR043504|IPR001676|IPR043128|IPR033703|IPR001205|IPR007094|IPR029053,imex:IM-29184|pubmed:28534487
A8MQ03,Cysteine-rich tail protein 1,Homo sapiens,IPR018904,imex:IM-25472|pubmed:32296183
B9A064,Immunoglobulin lambda-like polypeptide 5,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003006|IPR003597|IPR050160,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
C0HLB4,V-type proton ATPase 16 kDa proteolipid subunit c 3,Caenorhabditis elegans,IPR002379|IPR000245|IPR011555|IPR035921,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
C9JA28,Translocon-associated protein subunit gamma,Homo sapiens,IPR009779,imex:IM-24272|pubmed:26496610
F8VQ29,Brak nazwy,Mus musculus,IPR001715|IPR036872|IPR000048|IPR000593|IPR027417|IPR023152|IPR001936|IPR008936|IPR001202,imex:IM-24272|pubmed:26496610
F8W1B3,Cholinephosphotransferase 1,Homo sapiens,IPR000462|IPR043130|IPR048254|IPR014472,imex:IM-24272|pubmed:26496610
O00182,Galectin-9,Homo sapiens,IPR013320|IPR044156|IPR001079,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00182-2,Isoform 2 of Galectin-9,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O00214,Galectin-8,Homo sapiens,IPR013320|IPR044156|IPR001079,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O00258,Guided entry of tail-anchored proteins factor 1,Homo sapiens,IPR028945|IPR029012,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O00746,Nucleoside diphosphate kinase D, mitochondrial,Homo sapiens,IPR034907|IPR036850|IPR001564|IPR023005,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
