A0A142I5B9,Genome polyprotein,Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010),IPR043502|IPR000069|IPR038302|IPR013755|IPR001122|IPR037172|IPR011492|IPR027287|IPR026470|IPR038345|IPR011998|IPR001157|IPR000752|IPR000487|IPR001850|IPR000404|IPR001528|IPR046811|IPR002535|IPR038688|IPR047530|IPR000208|IPR000336|IPR014412|IPR036253|IPR038055|IPR013756|IPR014001|IPR001650|IPR014756|IPR026490|IPR049486|IPR027417|IPR009003|IPR007094|IPR002877|IPR029063,imex:IM-26452|pubmed:30177828
A2AHJ4,Bromodomain and WD repeat-containing protein 3,Mus musculus,IPR052060|IPR001487|IPR036427|IPR057451|IPR057452|IPR015943|IPR019775|IPR036322|IPR001680,imex:IM-24272|pubmed:26496610
A4D1E9,GTP-binding protein 10,Homo sapiens,IPR031167|IPR006073|IPR014100|IPR006169|IPR036726|IPR045086|IPR027417,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
B4DEF8,Large ribosomal subunit protein mL45,Homo sapiens,IPR051975|IPR032710|IPR007379,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
C5E522,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-25584|pubmed:28169297
E9PZI6,Katanin p60 ATPase-containing subunit A1,Mus musculus,IPR003593|IPR041569|IPR003959|IPR003960|IPR028596|IPR048611|IPR048612|IPR036181|IPR050304|IPR027417|IPR015415,imex:IM-24272|pubmed:26496610
I6TAH8,Nucleoprotein,Influenza A virus (strain A/Aichi/2/1968 H3N2),IPR002141,imex:IM-25584|pubmed:28169297
O14561,Acyl carrier protein, mitochondrial,Homo sapiens,IPR003231|IPR036736|IPR009081|IPR006162,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14880,Glutathione S-transferase 3, mitochondrial,Homo sapiens,IPR050997|IPR023352|IPR001129,imex:IM-26301|pubmed:29568061
O15091,Mitochondrial ribonuclease P catalytic subunit,Homo sapiens,IPR033495|IPR031595|IPR011990,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43347,RNA-binding protein Musashi homolog 1,Homo sapiens,IPR034126|IPR012677|IPR035979|IPR000504,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
