A0A0G2JZJ1,Ubiquitin C-terminal hydrolase PSMD14,Rattus norvegicus,IPR000555|IPR050242|IPR037518|IPR056263,imex:IM-29994|pubmed:37228199
A0A1D6EF82,Brak nazwy,Zea mays,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6GD30,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6JD96,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6LGX9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6N681,Nuclear pore localisation protein NPL4 C-terminal domain-containing protein,Zea mays,IPR016563|IPR007717|IPR029071,imex:IM-29553|pubmed:36581701
A0A1D6PTN4,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A2T1W7,Brak nazwy,Zea mays,IPR020471|IPR044498|IPR018170|IPR036812|IPR023210,imex:IM-29553|pubmed:36581701
A6NEM2,Host cell factor 1,Homo sapiens,IPR003961|IPR036116|IPR043536|IPR013783|IPR015915|IPR059124,imex:IM-24272|pubmed:26496610
B6T7B2,30S ribosomal protein S4, chloroplastic,Zea mays,IPR022801|IPR018079|IPR005710|IPR001912|IPR002942|IPR036986,imex:IM-29553|pubmed:36581701
B7NZD2,26S proteasome non-ATPase regulatory subunit 4,Oryctolagus cuniculus,IPR027040|IPR049590|IPR003903|IPR002035|IPR036465,imex:IM-21433|pubmed:23706739
O00231,26S proteasome non-ATPase regulatory subunit 11,Homo sapiens,IPR050871|IPR000717|IPR040780|IPR040773|IPR011990|IPR036390,imex:IM-21659|pubmed:27705803
O00410,Importin-5,Homo sapiens,IPR011989|IPR016024|IPR000357|IPR058584|IPR001494|IPR040122|IPR041653|IPR040928|IPR041389|IPR034085|IPR057672,imex:IM-12079|pubmed:19615732
O14929,Histone acetyltransferase type B catalytic subunit,Homo sapiens,IPR016181|IPR048776|IPR019467|IPR037113|IPR017380|IPR013523,imex:IM-12079|pubmed:19615732
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Homo sapiens,IPR037919|IPR029489|IPR011990|IPR019734,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-21659|imex:IM-29278|pubmed:19615732|pubmed:27705803|pubmed:33961781
O15355,Protein phosphatase 1G,Homo sapiens,IPR015655|IPR000222|IPR036457|IPR001932,imex:IM-12079|pubmed:19615732
O43242,26S proteasome non-ATPase regulatory subunit 3,Homo sapiens,IPR050756|IPR000717|IPR013586|IPR011990|IPR057985|IPR036390,imex:IM-21659|pubmed:27705803
O43791,Speckle-type POZ protein,Homo sapiens,IPR056423|IPR000210|IPR002083|IPR011333|IPR034089|IPR008974,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
O75150,E3 ubiquitin-protein ligase BRE1B,Homo sapiens,IPR058643|IPR058642|IPR013956|IPR018957|IPR001841|IPR013083|IPR017907,imex:IM-24272|pubmed:26496610
O75179,Ankyrin repeat domain-containing protein 17,Homo sapiens,IPR051631|IPR002110|IPR036770|IPR047375|IPR004087|IPR004088|IPR036612,imex:IM-12079|pubmed:19615732
O75940,Survival of motor neuron-related-splicing factor 30,Homo sapiens,IPR010304|IPR002999,imex:IM-30059|pubmed:39251607
O95218,Zinc finger Ran-binding domain-containing protein 2,Homo sapiens,IPR001876|IPR036443|IPR017337,imex:IM-30059|pubmed:39251607
O95600,Krueppel-like factor 8,Homo sapiens,IPR036236|IPR013087,imex:IM-28767|pubmed:35140242
P00533,Epidermal growth factor receptor,Homo sapiens,IPR006211|IPR006212|IPR032778|IPR009030|IPR011009|IPR000719|IPR017441|IPR000494|IPR036941|IPR050122|IPR001245|IPR049328|IPR008266|IPR020635|IPR016245,doi:10.1016/j.cell.2022.04.014|imex:IM-29493|pubmed:35512704
P01106,Myc proto-oncogene protein,Homo sapiens,IPR011598|IPR036638|IPR003327|IPR050433|IPR002418|IPR012682,imex:IM-28767|pubmed:35140242
P07910,Heterogeneous nuclear ribonucleoproteins C1/C2,Homo sapiens,IPR017347|IPR012677|IPR035979|IPR000504|IPR051186,imex:IM-30059|pubmed:39251607
P10242,Transcriptional activator Myb,Homo sapiens,IPR015395|IPR009057|IPR017930|IPR050560|IPR001005|IPR012642,imex:IM-28767|pubmed:35140242
P11908,Ribose-phosphate pyrophosphokinase 2,Homo sapiens,IPR000842|IPR029099|IPR029057|IPR000836|IPR005946|IPR037515,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P14921,Protein C-ets-1,Homo sapiens,IPR045688|IPR000418|IPR046328|IPR003118|IPR013761|IPR041886|IPR016311|IPR036388|IPR036390,imex:IM-28767|pubmed:35140242
