A0A1D6E625,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6E8R2,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6EWB9,Brak nazwy,Zea mays,IPR045055|IPR041679|IPR041677|IPR006935|IPR014001|IPR027417|IPR047187|IPR040812|IPR018999,imex:IM-29553|pubmed:36581701
A0A1D6FHT8,ATP citrate synthase,Zea mays,IPR017440|IPR016142|IPR016143|IPR002020|IPR036969|IPR033847|IPR036291|IPR005811|IPR016102,imex:IM-29553|pubmed:36581701
A0A1D6FQ43,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6HCT4,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6HL62,Brak nazwy,Zea mays,IPR014001|IPR001650|IPR027417|IPR038718|IPR049730|IPR000330|IPR050496,imex:IM-29553|pubmed:36581701
A0A1D6HQC9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6JP38,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6K256,Protein kinase domain-containing protein,Zea mays,IPR011009|IPR001611|IPR003591|IPR032675|IPR013210|IPR055414|IPR050647|IPR000719|IPR017441|IPR001245,imex:IM-29553|pubmed:36581701
A0A1D6KTN3,Brak nazwy,Zea mays,IPR044275,imex:IM-29553|pubmed:36581701
A0A1D6MCG8,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6NC34,Brak nazwy,Zea mays,IPR001356|IPR009057|IPR045876|IPR019786|IPR011011|IPR001965|IPR019787|IPR013083,imex:IM-29553|pubmed:36581701
A0A1D6NEB5,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6P567,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6PGR9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6PZJ5,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A2U2GXH7,Brak nazwy,Yersinia pestis,IPR009826|IPR052399,imex:IM-13779|pubmed:20711500
A0A2U2H0X4,Type I-F CRISPR-associated protein Csy2,Yersinia pestis,IPR013398,imex:IM-13779|pubmed:20711500
A0A3N4B749,Brak nazwy,Yersinia pestis,IPR010977|IPR002129|IPR015424|IPR015421|IPR015422,imex:IM-13779|pubmed:20711500
A0A5P8YHJ0,Ferredoxin-type protein NapF,Yersinia pestis,IPR017896|IPR017900|IPR050572|IPR004496,imex:IM-13779|pubmed:20711500
A2T1W7,Brak nazwy,Zea mays,IPR020471|IPR044498|IPR018170|IPR036812|IPR023210,imex:IM-29553|pubmed:36581701
B4F925,Superoxide dismutase,Zea mays,IPR050265|IPR001189|IPR019833|IPR019832|IPR019831|IPR036324|IPR036314,imex:IM-29553|pubmed:36581701
B4FAN8,Brak nazwy,Zea mays,IPR045218|IPR022087|IPR003903|IPR001781,imex:IM-29553|pubmed:36581701
B4FKI7,Protein BZR1 homolog,Zea mays,IPR008540|IPR033264,imex:IM-29553|pubmed:36581701
B4FRR5,Brak nazwy,Zea mays,IPR011992|IPR018247|IPR002048|IPR039647,imex:IM-29553|pubmed:36581701
B4FY28,Brak nazwy,Zea mays,IPR009606|IPR052222,imex:IM-29553|pubmed:36581701
B4G0W3,Brak nazwy,Zea mays,IPR021369|IPR006461,imex:IM-29553|pubmed:36581701
B6SRI4,Brak nazwy,Zea mays,IPR000308|IPR023409|IPR036815|IPR023410,imex:IM-29553|pubmed:36581701
B6T442,Brak nazwy,Zea mays,IPR001971|IPR036967,imex:IM-29553|pubmed:36581701
B9DGI8,Basic leucine zipper 63,Arabidopsis thaliana,IPR020983|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
C0P7L5,Brak nazwy,Zea mays,IPR001461|IPR001969|IPR033121|IPR021109|IPR033869|IPR007856|IPR008138|IPR011001|IPR008139,imex:IM-29553|pubmed:36581701
C4J434,BHLH domain-containing protein,Zea mays,IPR011598|IPR024097|IPR036638,imex:IM-29553|pubmed:36581701
C4J6V7,Brak nazwy,Zea mays,IPR040289,imex:IM-29553|pubmed:36581701
C4JB18,Brak nazwy,Zea mays,IPR001357|IPR036420|IPR019786|IPR011011|IPR001841|IPR013083|IPR017907,imex:IM-29553|pubmed:36581701
O00400,Acetyl-coenzyme A transporter 1,Homo sapiens,IPR024371|IPR004752|IPR036259,imex:IM-24272|pubmed:26496610
O00422,Histone deacetylase complex subunit SAP18,Homo sapiens,IPR017250|IPR010516|IPR042534,pubmed:17353931
O00429,Dynamin-1-like protein,Homo sapiens,IPR022812|IPR001401|IPR019762|IPR045063|IPR000375|IPR030381|IPR003130|IPR020850|IPR027417,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
O43663,Protein regulator of cytokinesis 1,Homo sapiens,IPR007145,imex:IM-25472|pubmed:32296183
O43741,5'-AMP-activated protein kinase subunit beta-2,Homo sapiens,IPR032640|IPR006828|IPR037256|IPR050827|IPR013783|IPR014756,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
O60469,Cell adhesion molecule DSCAM,Homo sapiens,IPR056754|IPR003961|IPR036116|IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR013106,imex:IM-27626|pubmed:35914814
O68779,Mutator family transposase,Yersinia pestis,IPR001207,imex:IM-13779|pubmed:20711500
O75152,Zinc finger CCCH domain-containing protein 11A,Homo sapiens,IPR041686|IPR000571,imex:IM-30059|pubmed:39251607
O83048,Beta sliding clamp,Treponema pallidum (strain DSM 117211 / Nichols),IPR046938|IPR001001|IPR022635|IPR022637|IPR022634,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83487,Probable transcriptional regulatory protein TP_0474,Treponema pallidum (strain DSM 117211 / Nichols),IPR017856|IPR048300|IPR049083|IPR002876|IPR026564|IPR029072,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83921,Uncharacterized protein TP_0955,Treponema pallidum (strain DSM 117211 / Nichols),Brak InterPro kodów dla tego białka.,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83927,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),IPR001444|IPR020013|IPR010930|IPR037925|IPR012836|IPR053967,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O95789-4,Isoform 4 of Zinc finger MYM-type protein 6,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
O97121,cystathionine gamma-lyase,Drosophila melanogaster,IPR000277|IPR015424|IPR015421|IPR015422,imex:IM-9552|pubmed:19079254
P00441,Superoxide dismutase [Cu-Zn],Homo sapiens,IPR036423|IPR024134|IPR018152|IPR001424,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
P00546,Cyclin-dependent kinase 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR050108|IPR011009|IPR000719|IPR017441|IPR008271,pubmed:16429126
P00549,Pyruvate kinase 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001697|IPR015813|IPR040442|IPR011037|IPR018209|IPR015793|IPR015795|IPR036918|IPR015806,pubmed:16429126
P00582,DNA polymerase I,Escherichia coli (strain K12),IPR002562|IPR020046|IPR002421|IPR036279|IPR019760|IPR001098|IPR043502|IPR020045|IPR018320|IPR002298|IPR008918|IPR029060|IPR012337|IPR036397,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P00815,Histidine biosynthesis trifunctional protein,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR016161|IPR008179|IPR016298|IPR001692|IPR012131|IPR021130|IPR002496|IPR038019,pubmed:16429126
P00899,Anthranilate synthase component 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR005801|IPR019999|IPR006805|IPR005256|IPR015890,pubmed:16429126
P00937,Multifunctional tryptophan biosynthesis protein,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR013785|IPR050472|IPR029062|IPR017926|IPR013798|IPR001468|IPR011060|IPR006221,pubmed:16429126
P00950,Phosphoglycerate mutase 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR013078|IPR029033|IPR001345|IPR005952,pubmed:16429126
P00960,Glycine--tRNA ligase alpha subunit,Escherichia coli (strain K12),IPR045864|IPR006194|IPR002310,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P01106,Myc proto-oncogene protein,Homo sapiens,IPR011598|IPR036638|IPR003327|IPR050433|IPR002418|IPR012682,imex:IM-30532|pubmed:38884001
P02309,Histone H4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR035425|IPR009072|IPR001951|IPR019809,pubmed:16429126
P02795,Metallothionein-2,Homo sapiens,IPR017854|IPR023587|IPR000006|IPR018064,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P02829,ATP-dependent molecular chaperone HSP82,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR036890|IPR003594|IPR019805|IPR037196|IPR001404|IPR020575|IPR020568,pubmed:19536198
P04050,DNA-directed RNA polymerase II subunit RPB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR045867|IPR000722|IPR000684|IPR006592|IPR007080|IPR007066|IPR042102|IPR007083|IPR007081|IPR007075|IPR007073|IPR038593|IPR044893|IPR038120,pubmed:16429126
P04626,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,IPR006211|IPR006212|IPR032778|IPR009030|IPR011009|IPR000719|IPR017441|IPR000494|IPR036941|IPR050122|IPR001245|IPR049328|IPR008266|IPR020635|IPR016245,imex:IM-30532|pubmed:38884001
P05055,Polyribonucleotide nucleotidyltransferase,Escherichia coli (strain K12),IPR001247|IPR015847|IPR036345|IPR004087|IPR004088|IPR036612|IPR012340|IPR012162|IPR027408|IPR015848|IPR036456|IPR020568|IPR003029,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P05067,Amyloid-beta precursor protein,Homo sapiens,IPR036669|IPR008155|IPR013803|IPR037071|IPR011178|IPR024329|IPR008154|IPR015849|IPR036454|IPR019745|IPR019543|IPR019744|IPR036176|IPR002223|IPR036880|IPR011993|IPR020901,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P05453,Eukaryotic peptide chain release factor GTP-binding subunit,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004161|IPR031157|IPR054696|IPR027417|IPR003285|IPR000795|IPR050100|IPR009000|IPR009001,imex:IM-29638|pubmed:37070168
P06102,General negative regulator of transcription subunit 3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR038635|IPR012270|IPR040168|IPR007282|IPR007207,pubmed:16429126
P06239,Tyrosine-protein kinase Lck,Homo sapiens,IPR011009|IPR035850|IPR035749|IPR050198|IPR000719|IPR017441|IPR001245|IPR000980|IPR036860|IPR036028|IPR001452|IPR008266|IPR020635,imex:IM-26434|pubmed:31980649
P06241,Tyrosine-protein kinase Fyn,Homo sapiens,IPR047924|IPR035750|IPR011009|IPR050198|IPR000719|IPR017441|IPR001245|IPR000980|IPR036860|IPR036028|IPR001452|IPR008266|IPR020635,imex:IM-26434|pubmed:31980649
P06993,HTH-type transcriptional regulator MalT,Escherichia coli (strain K12),IPR027417|IPR016032|IPR011990|IPR041617|IPR023768|IPR000792|IPR036388|IPR059106,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P07149,Fatty acid synthase subunit beta,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001227|IPR014043|IPR016035|IPR013785|IPR039569|IPR016452|IPR013565|IPR041099|IPR040883|IPR003965|IPR050830|IPR029069|IPR002539|IPR032088,pubmed:16429126
P07259,Multifunctional protein URA2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR006132|IPR006130|IPR036901|IPR002082|IPR006131|IPR011761|IPR013815|IPR036897|IPR006274|IPR002474|IPR036480|IPR029062|IPR005479|IPR005483|IPR035686|IPR006275|IPR005480|IPR058047|IPR017926|IPR032466|IPR011607|IPR036914|IPR016185,pubmed:16429126
P07262,NADP-specific glutamate dehydrogenase 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR046346|IPR006095|IPR006096|IPR006097|IPR033524|IPR014362|IPR050724|IPR036291|IPR033922,pubmed:16429126
P07342,Acetolactate synthase catalytic subunit, mitochondrial,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012846|IPR039368|IPR029035|IPR029061|IPR012000|IPR012001|IPR000399|IPR045229|IPR011766,pubmed:16429126
P07363,Chemotaxis protein CheA,Escherichia coli (strain K12),IPR051315|IPR004105|IPR037006|IPR036061|IPR002545|IPR015162|IPR035891|IPR036890|IPR003594|IPR005467|IPR036097|IPR036641|IPR004358|IPR008207,imex:IM-2994|pubmed:19834901
P08195-4
P08518,DNA-directed RNA polymerase II subunit RPB2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR015712|IPR007120|IPR037033|IPR007121|IPR007644|IPR007642|IPR037034|IPR007645|IPR007646|IPR007647|IPR007641|IPR014724,pubmed:16429126
P08566,Pentafunctional AROM polypeptide,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR018508|IPR013785|IPR046346|IPR016037|IPR030960|IPR056179|IPR001381|IPR001986|IPR036968|IPR006264|IPR023193|IPR036291|IPR027417|IPR008289|IPR013792|IPR041121|IPR031322|IPR013708|IPR010110|IPR000623|IPR023000|IPR006151,pubmed:16429126
P08622,Chaperone protein DnaJ,Escherichia coli (strain K12),IPR012724|IPR002939|IPR001623|IPR018253|IPR008971|IPR001305|IPR036410|IPR036869,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P08761,Peptide methionine sulfoxide reductase,Drosophila melanogaster,IPR002569|IPR036509,imex:IM-9552|pubmed:19079254
P09372,Protein GrpE,Escherichia coli (strain K12),IPR000740|IPR013805|IPR009012,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P09435,Heat shock protein SSA3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P09622,Dihydrolipoyl dehydrogenase, mitochondrial,Homo sapiens,IPR050151|IPR036188|IPR023753|IPR016156|IPR006258|IPR001100|IPR004099|IPR012999,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
P09733,Tubulin alpha-1 chain,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR002452|IPR008280|IPR000217|IPR037103|IPR018316|IPR036525|IPR023123|IPR017975|IPR003008,pubmed:16429126
P09734,Tubulin alpha-3 chain,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR002452|IPR008280|IPR000217|IPR037103|IPR018316|IPR036525|IPR023123|IPR017975|IPR003008,pubmed:16429126
P0A6F5,Chaperonin GroEL,Escherichia coli (strain K12),IPR018370|IPR001844|IPR002423|IPR027409|IPR027413|IPR027410,pubmed:16606699
P0A6G7,ATP-dependent Clp protease proteolytic subunit,Escherichia coli (strain K12),IPR001907|IPR029045|IPR023562|IPR033135|IPR018215,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
