protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A031LKF0	S-adenosylmethionine synthetase	404	CM19_08825	1160895	Candidatus Acidianus copahuensis	Candidatus Acidianus copahuensis	True	IPR027790	family		404.0	1.0	404.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A062V2Y0	S-adenosylmethionine synthase	398	mat	1392998	Candidatus Methanoperedens nitratireducens	Candidatus Methanoperedens nitratireducens	True	IPR027790	family		398.0	3.0	398.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A062V8F6	Archaeal S-adenosylmethionine synthetase	399	ANME2D_02396	1392998	Candidatus Methanoperedens nitratireducens	Candidatus Methanoperedens nitratireducens	True	IPR027790	family		399.0	1.0	397.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A075LU79	S-adenosylmethionine synthase	405	mat	1343739	Palaeococcus pacificus DY20341	Palaeococcus pacificus DY20341	True	IPR027790	family		405.0	6.0	405.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A076LBD4	S-adenosylmethionine synthetase	327	JH146_0632	1301915	Methanocaldococcus bathoardescens	Methanocaldococcus bathoardescens	True	IPR027790	family		327.0	1.0	327.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A090I8M3	S-adenosylmethionine synthase	401	mat	2162	Methanobacterium formicicum	Methanobacterium formicicum	True	IPR027790	family		401.0	1.0	401.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A097QVW5	S-adenosylmethionine synthase	405	mat	1505907	Thermococcus eurythermalis	Thermococcus eurythermalis	True	IPR027790	family		405.0	6.0	405.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A099T1L9	S-adenosylmethionine synthase	401	mat	2226	Methanococcoides methylutens	Methanococcoides methylutens	True	IPR027790	family		401.0	3.0	400.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0A7LB97	Mat protein	408	mat	1577791	Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	True	IPR027790	family		408.0	4.0	408.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0B5BFV8	S-adenosylmethionine synthetase	400	GPICK_12275	345632	Geobacter pickeringii	Geobacter pickeringii	True	IPR027790	family		400.0	2.0	400.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0C1QY06	S-adenosylmethionine synthetase	400	SE37_10230	1340425	Geobacter anodireducens	Geobacter anodireducens	True	IPR027790	family		400.0	2.0	400.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0C2J853	Methionine adenosyltransferase	424	LP52_18165	183763	Streptomonospora alba	Streptomonospora alba	True	IPR027790	family		424.0	34.0	420.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0C4YQ93	Archaeal S-adenosylmethionine synthetase	393	RR42_s3054	68895	Cupriavidus basilensis	Cupriavidus basilensis	True	IPR027790	family		393.0	6.0	393.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0D6JPS1	S-adenosylmethionine synthase	402	mat	1476858	Haloferax massiliensis	Haloferax massiliensis	True	IPR027790	family		402.0	4.0	402.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3KZ69	S-adenosylmethionine synthase	398	mat	523844	Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1)	Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1)	True	IPR027790	family		398.0	3.0	398.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3NBF7	Archaeal S-adenosylmethionine synthetase	410	MSTHT_1330	523844	Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1)	Methanosarcina thermophila (strain ATCC 43570 / DSM 1825 / OCM 12 / VKM B-1830 / TM-1)	True	IPR027790	family		410.0	1.0	410.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3P0W8	S-adenosylmethionine synthase	398	mat	1434120	Methanosarcina siciliae T4/M	Methanosarcina siciliae T4/M	True	IPR027790	family		398.0	3.0	398.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3P4R7	Archaeal S-adenosylmethionine synthetase	410	MSSIT_0853	1434120	Methanosarcina siciliae T4/M	Methanosarcina siciliae T4/M	True	IPR027790	family		410.0	1.0	410.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3Q435	Methionine adenosyltransferase	415	MSVAZ_0766	1434123	Methanosarcina vacuolata Z-761	Methanosarcina vacuolata Z-761	True	IPR027790	family		415.0	7.0	415.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3Q7H6	S-adenosylmethionine synthase	398	mat	1434123	Methanosarcina vacuolata Z-761	Methanosarcina vacuolata Z-761	True	IPR027790	family		398.0	3.0	398.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3QRJ4	Archaeal S-adenosylmethionine synthetase	410	MSBRM_0816	1434108	Methanosarcina barkeri MS	Methanosarcina barkeri MS	True	IPR027790	family		410.0	1.0	410.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3QRS9	S-adenosylmethionine synthase	398	mat	1434108	Methanosarcina barkeri MS	Methanosarcina barkeri MS	True	IPR027790	family		398.0	3.0	398.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3S2T8	S-adenosylmethionine synthase	398	mat	1434111	Methanosarcina lacustris Z-7289	Methanosarcina lacustris Z-7289	True	IPR027790	family		398.0	3.0	398.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3SFB8	Archaeal S-adenosylmethionine synthetase	410	MSHOH_3273	1434110	Methanosarcina horonobensis HB-1 = JCM 15518	Methanosarcina horonobensis HB-1 = JCM 15518	True	IPR027790	family		410.0	1.0	410.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3SGV2	S-adenosylmethionine synthase	398	mat	1434110	Methanosarcina horonobensis HB-1 = JCM 15518	Methanosarcina horonobensis HB-1 = JCM 15518	True	IPR027790	family		398.0	3.0	398.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
A0A0E3ST22	S-adenosylmethionine synthase	401	mat	1434104	Methanococcoides methylutens MM1	Methanococcoides methylutens MM1	True	IPR027790	family		401.0	3.0	400.0	CONTINUOUS	S_adenosylmethionine_synthetase_archaea
