A0A0B4KGY6,RNA-binding protein Pasilla,Drosophila melanogaster,IPR047275|IPR047276|IPR047274|IPR004087|IPR004088|IPR036612,imex:IM-16527|pubmed:25294943
A0A0G2JZJ1,Ubiquitin C-terminal hydrolase PSMD14,Rattus norvegicus,IPR000555|IPR050242|IPR037518|IPR056263,imex:IM-29994|pubmed:37228199
A0A1D6EF82,Brak nazwy,Zea mays,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6F304,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6FQ51,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6GAK2,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6GD30,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6GRJ1,EF-hand domain-containing protein,Zea mays,IPR050230|IPR011992|IPR018247|IPR002048,imex:IM-29553|pubmed:36581701
A0A1D6GU10,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6HK91,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6IAI4,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6ID51,Condensin-2 complex subunit H2,Zea mays,IPR031737|IPR031719|IPR009378|IPR031739,imex:IM-29553|pubmed:36581701
A0A1D6JD96,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6JYV4,Protein kinase domain-containing protein,Zea mays,IPR011009|IPR000719|IPR017441|IPR001245,imex:IM-29553|pubmed:36581701
A0A1D6K1W3,Brak nazwy,Zea mays,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6KWQ5,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6LGX9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6M3A7,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6M665,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6N681,Nuclear pore localisation protein NPL4 C-terminal domain-containing protein,Zea mays,IPR016563|IPR007717|IPR029071,imex:IM-29553|pubmed:36581701
A0A1D6NA80,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6PFP9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6PTN4,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6QCH9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A2T1W7,Brak nazwy,Zea mays,IPR020471|IPR044498|IPR018170|IPR036812|IPR023210,imex:IM-29553|pubmed:36581701
A4FUJ8,Brak nazwy,Homo sapiens,IPR043451|IPR004018|IPR003034|IPR036361,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
A6NEM2,Host cell factor 1,Homo sapiens,IPR003961|IPR036116|IPR043536|IPR013783|IPR015915|IPR059124,imex:IM-24272|pubmed:26496610
B4FKB7,Brak nazwy,Zea mays,IPR006476,imex:IM-29553|pubmed:36581701
B4FL26,Brak nazwy,Zea mays,IPR006571,imex:IM-29553|pubmed:36581701
B4FTM1,Tubulin beta chain,Zea mays,IPR002453|IPR008280|IPR000217|IPR037103|IPR018316|IPR036525|IPR023123|IPR017975|IPR003008,imex:IM-29553|pubmed:36581701
B6SHM7,40S ribosomal protein S7,Zea mays,IPR000554|IPR047861,imex:IM-29553|pubmed:36581701
B6SLW1,Brak nazwy,Zea mays,IPR050230|IPR011992|IPR018247|IPR002048,imex:IM-29553|pubmed:36581701
B6SUL0,Autophagy-related protein,Zea mays,IPR004241|IPR029071,imex:IM-29553|pubmed:36581701
B6T7B2,30S ribosomal protein S4, chloroplastic,Zea mays,IPR022801|IPR018079|IPR005710|IPR001912|IPR002942|IPR036986,imex:IM-29553|pubmed:36581701
B7NZD2,26S proteasome non-ATPase regulatory subunit 4,Oryctolagus cuniculus,IPR027040|IPR049590|IPR003903|IPR002035|IPR036465,imex:IM-21433|pubmed:23706739
C0PGK8,Auxin response factor,Zea mays,IPR010525|IPR044835|IPR003340|IPR015300,imex:IM-29553|pubmed:36581701
C0PHW4,FAD-binding PCMH-type domain-containing protein,Zea mays,IPR012951|IPR016166|IPR036318|IPR016167|IPR016169|IPR006094,imex:IM-29553|pubmed:36581701
C0PJN1,ENTH domain-containing protein,Zea mays,IPR011417|IPR014712|IPR048050|IPR045192|IPR013809|IPR008942,imex:IM-29553|pubmed:36581701
G5E9A7,Brak nazwy,Homo sapiens,IPR015943|IPR036322|IPR001680|IPR051362,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
K7UKT1,Brak nazwy,Zea mays,IPR029962|IPR026057|IPR025846,imex:IM-29553|pubmed:36581701
O00231,26S proteasome non-ATPase regulatory subunit 11,Homo sapiens,IPR050871|IPR000717|IPR040780|IPR040773|IPR011990|IPR036390,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-21659|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:27705803|pubmed:33961781
O00232,26S proteasome non-ATPase regulatory subunit 12,Homo sapiens,IPR000717|IPR054559|IPR040134|IPR040896|IPR036388|IPR036390,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
O00410,Importin-5,Homo sapiens,IPR011989|IPR016024|IPR000357|IPR058584|IPR001494|IPR040122|IPR041653|IPR040928|IPR041389|IPR034085|IPR057672,imex:IM-12079|pubmed:19615732
