O01482,Brak nazwy,Caenorhabditis elegans,IPR051435|IPR027370|IPR001841|IPR013083|IPR017907,pubmed:19123269
O61307,Teneurin-m,Drosophila melanogaster,IPR011042|IPR008969|IPR000742|IPR057627|IPR056823|IPR056822|IPR056820|IPR051216|IPR057629|IPR028916|IPR015943|IPR006530,imex:IM-16527|pubmed:25294943
O97159,ATP-dependent chromatin remodeler Mi-2,Drosophila melanogaster,IPR012957|IPR009462|IPR012958|IPR016197|IPR000953|IPR023780|IPR002464|IPR009463|IPR014001|IPR001650|IPR027417|IPR038718|IPR049730|IPR000330|IPR019786|IPR011011|IPR001965|IPR019787|IPR013083,imex:IM-16527|pubmed:25294943
Q9VJ30,non-specific serine/threonine protein kinase,Drosophila melanogaster,IPR011009|IPR000719,imex:IM-16527|pubmed:25294943
Q9VMT1,receptor protein serine/threonine kinase,Drosophila melanogaster,IPR000472|IPR003605|IPR011009|IPR000719|IPR017441|IPR008271|IPR045860|IPR000333,imex:IM-16527|pubmed:25294943
Q9VMV9,Reticulon-like protein,Drosophila melanogaster,IPR003388|IPR046964,imex:IM-16527|imex:IM-17304|pubmed:21447707|pubmed:25294943
O01482,Brak nazwy,Caenorhabditis elegans,IPR051435|IPR027370|IPR001841|IPR013083|IPR017907,pubmed:19123269
O61307,Teneurin-m,Drosophila melanogaster,IPR011042|IPR008969|IPR000742|IPR057627|IPR056823|IPR056822|IPR056820|IPR051216|IPR057629|IPR028916|IPR015943|IPR006530,imex:IM-16527|pubmed:25294943
O97159,ATP-dependent chromatin remodeler Mi-2,Drosophila melanogaster,IPR012957|IPR009462|IPR012958|IPR016197|IPR000953|IPR023780|IPR002464|IPR009463|IPR014001|IPR001650|IPR027417|IPR038718|IPR049730|IPR000330|IPR019786|IPR011011|IPR001965|IPR019787|IPR013083,imex:IM-16527|pubmed:25294943
Q9VJ30,non-specific serine/threonine protein kinase,Drosophila melanogaster,IPR011009|IPR000719,imex:IM-16527|pubmed:25294943
Q9VMT1,receptor protein serine/threonine kinase,Drosophila melanogaster,IPR000472|IPR003605|IPR011009|IPR000719|IPR017441|IPR008271|IPR045860|IPR000333,imex:IM-16527|pubmed:25294943
Q9VMV9,Reticulon-like protein,Drosophila melanogaster,IPR003388|IPR046964,imex:IM-16527|imex:IM-17304|pubmed:21447707|pubmed:25294943
