Count;InterProID;pubmeds;Name;ShortDescription
9;IPR001073;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";C1q domain;"<p>This entry represents the C-terminal domain of C1q. C1q is a subunit of the C1 enzyme complex that activates the serum complement system. C1q comprises 6 A, 6 B and 6 C chains. These share the same topology, each possessing a small, globular N-terminal domain, a collagen-like Gly/Pro-rich central region, and a conserved C-terminal region, the C1q domain [[cite:PUB00000491]]. The C1q protein is produced in collagen-producing cells and shows sequence and structural similarity to collagens VIII and X [[cite:PUB00001582], [cite:PUB00002690]]. This domain is also found in multimerin and EMILIN proteins.</p>

<p>The C-terminal globular domain of the C1q subcomponents and collagen types VIII and X is important both for the correct folding and alignment of the triple helix and for protein-protein recognition events [[cite:PUB00000094]]. For collagen type X it has been suggested that the domain is important for initiation and maintenance of the correct assembly of the protein [[cite:PUB00003070]]. The globular head is a trimer of C1q domains. Each individual C1q adopts a 10-strand Jelly-roll fold arranged in two antiparallel 5-stranded β-sheets [[cite:PUB00075555]]. There are two well conserved regions within the C1q domain: an aromatic motif is located within the first half of the domain, the other conserved region is located near the C-terminal extremity.</p>"
9;IPR008160;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Collagen triple helix repeat;"<p>Collagens are generally extracellular structural proteins involved in formation of connective tissue structure. The sequence is predominantly repeats of the G-X-Y and the polypeptide chains form a triple helix. The first position of the repeat is glycine, the second and third positions can be any residue but are frequently proline and hydroxyproline. Collagens are post-translationally modified by proline hydroxylase to form the hydroxyproline residues. Defective hydroxylation is the cause of scurvy [[cite:PUB00100841], [cite:PUB00076482], [cite:PUB00100842]].</p>

<p>Members of this family belong to the collagen superfamily [[cite:PUB00001059]]. Some of them are not involved in connective tissue structure but share the same triple helical structure.</p>"
9;IPR008983;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Tumour necrosis factor-like domain superfamily;"<p>The tumour necrosis factor (TNF)-like domains are found in both TNF and C1q protein families.  Structurally these domains self-associate to make a compact bell-shaped homotrimer, each monomer being composed of an anti-parallel β-sheet sandwich with a jellyroll topology.  Both TNF and C1q family members can be expressed as soluble plasma proteins or as type II membrane-bound proteins.</p>

<p>TNF family members bind extracellularly to cysteine-rich receptors, thereby inducing a clustering of the receptors, which subsequently triggers the intracellular apoptotic cascade.  The TNF proteins are important mediators in inflammation, immune responses and cytotoxicity through their interaction with the TNF-R55 and the TNF-R75 cell-surface receptors [[cite:PUB00010672]].  Other TNF family members include the CD40 ligand (C-terminal TNF-like domain) which is involved in the immune response via the CD40 receptor [[cite:PUB00010301]]; TRAIL, which selectively induces apoptosis in tumour cells via DR4 and DR5 receptors [[cite:PUB00010673]]; the RANK ligand (TNFSF11), which triggers osteoclastogenesis via the RANK receptor [[cite:PUB00010674]]; and TALL-1 (soluble domain), which is involved in the immune response via the TACI, BCMA, and BAFF-R receptors [[cite:PUB00010675]].</p>

<p>C1q proteins also contain TNF-like domains.  C1q family members include the Adiponectin/ACRP30 (C-terminal TNF-like domain), which regulates metabolism and energy homeostasis [[cite:PUB00088215]], and NC1 (non-collagenous domain 1), the C-terminal TNF-like domain of collagen X, which is crucial for collagen X assembly in bone tissue [[cite:PUB00010676]].</p>"
8;IPR050392;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Collagen/C1q domain-containing;<p>The collagen/C1q domain-containing protein family includes a variety of proteins with roles in structural support, immune response, and regulation of various biological processes. Members of the family are characterized by the presence of a C1q domain, which often mediates calcium-binding and is involved in the formation of organic scaffolds, such as in the inner ear for otoliths or in cartilage for mineralization zones. Some family members are involved in the serum complement system, associating with proenzymes to form the C1 complex, which is activated upon interaction with immune complexes. Others are adipokines, influencing fat metabolism and insulin sensitivity, or serve as carrier proteins for factors involved in coagulation. The family also includes proteins that may regulate vessel assembly, angiogenesis, and tissue remodeling, highlighting a diverse range of functions from structural support to metabolic regulation and immune defense.</p>
8;IPR027417;"doi:10.1016/j.cell.2021.04.011
imex:IM-12000
imex:IM-26684
imex:IM-29278
pubmed:17110338
pubmed:31046837
pubmed:33961781";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
7;IPR009057;"doi:10.1016/j.cell.2021.04.011
imex:IM-25472
imex:IM-29278
pubmed:32296183
pubmed:33961781";Homeodomain-like superfamily;"<p>Homeodomain (HD)-containing proteins are transcription factors that share a related DNA binding domain [[cite:PUB00013192]]. HD was first identified in a number of Drosophila homeotic and segmentation proteins, but is now known to be well conserved in organisms from all domains in life. The domain binds DNA through a helix-turn-helix (HTH) structure. The HTH motif is characterised by two α-helices, which make intimate contacts with the DNA and are joined by a short turn. The second helix binds to DNA via a number of hydrogen bonds and hydrophobic interactions, which occur between specific side chains and the exposed bases and thymine methyl groups within the major groove of the DNA. The first helix helps to stabilise the structure. Many proteins contain homeodomains, including Drosophila Engrailed, yeast mating type proteins, hepatocyte nuclear factor 1a and HOX proteins.</p>

<p>The homeodomain motif is very similar in sequence and structure to domains in a wide range of DNA-binding proteins, including recombinases, Myb proteins, GARP response regulators, human telomeric proteins (hTRF1), paired domain proteins (PAX), yeast RAP1, centromere-binding proteins CENP-B and ABP-1, transcriptional regulators (TyrR), AraC-type transcriptional activators, and tetracycline repressor-like proteins (TetR, QacR, YcdC) [[cite:PUB00013193], [cite:PUB00013194], [cite:PUB00003347]].</p>"
6;IPR013783;"doi:10.1016/j.cell.2019.09.008
doi:10.1016/j.cell.2021.04.011
imex:IM-27423
imex:IM-28585
imex:IM-29278
pubmed:20423149
pubmed:31585087
pubmed:33961781";Immunoglobulin-like fold;"<p>This superfamily represents domains with an immunoglobulin-like (Ig-like) fold, which consists of a β-sandwich of seven or more strands in two sheets with a Greek-key topology. Ig-like domains are one of the most common protein modules found in animals, occurring in a variety of different proteins. These domains are often involved in interactions, commonly with other Ig-like domains via their β-sheets [[cite:PUB00003330], [cite:PUB00018310], [cite:PUB00015110], [cite:PUB00027656]].  Domains within this fold-family share the same structure, but can diverge with respect to their sequence. Based on sequence, Ig-like domains can be classified as V-set domains (antibody variable domain-like), C1-set domains (antibody constant domain-like), C2-set domains, and I-set domains (antibody intermediate domain-like). Proteins can contain more than one of these types of Ig-like domains. For example, in the human T-cell receptor antigen CD2, domain 1 (D1) is a V-set domain, while domain 2 (D2) is a C2-set domain, both domains having the same Ig-like fold [[cite:PUB00027700]].</p>
<p>Domains with an Ig-like fold can be found in many, diverse proteins in addition to immunoglobulin molecules. For example, Ig-like domains occur in several different types of receptors (such as various T-cell antigen receptors), several cell adhesion molecules, MHC class I and II antigens, as well as the hemolymph protein hemolin, and the muscle proteins titin, telokin and twitchin.</p>"
6;IPR036179;"doi:10.1016/j.cell.2019.09.008
doi:10.1016/j.cell.2021.04.011
imex:IM-27423
imex:IM-28585
imex:IM-29278
pubmed:20423149
pubmed:31585087
pubmed:33961781";Immunoglobulin-like domain superfamily;"<p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
6;IPR001356;"doi:10.1016/j.cell.2021.04.011
imex:IM-25472
imex:IM-29278
pubmed:32296183
pubmed:33961781";Homeodomain;<p>This entry represents the homeodomain (HD), a protein domain of approximately 60 residues that usually binds DNA. It is encoded by the homeobox sequence [[cite:PUB00126359], [cite:PUB00075496], [cite:PUB00153777]], which was first identified in a number of Drosophila homeotic and segmentation proteins, but is now known to be well-conserved in many other animals, including vertebrates [[cite:PUB00000591], [cite:PUB00005390]], as well as plants [[cite:PUB00153787]], fungi [[cite:PUB00071003]] and some species of lower eukaryotes. Many members of this group are transcriptional regulators, some of which operate differential genetic programs along the anterior-posterior axis of animal bodies [[cite:PUB00010002]]. This domain folds into a globular structure with three α-helices connected by two short loops that harbour a hydrophobic core. The second and third form a helix-turn-helix (HTH) motif, which make intimate contacts with the DNA: while the first helix of this motif helps to stabilise the structure, the second helix binds to DNA via a number of hydrogen bonds and hydrophobic interactions, which occur between specific side chains and the exposed bases and thymine methyl groups within the major groove of the DNA. One particularity of the HTH motif in some of these proteins arises from the stereo-chemical requirement for glycine in the turn which is needed to avoid steric interference of the β-carbon with the main chain: for cro and repressor proteins the glycine appears to be mandatory, while for many of the homeotic and other DNA-binding proteins the requirement is relaxed.</p>
5;IPR007110;"doi:10.1016/j.cell.2019.09.008
doi:10.1016/j.cell.2021.04.011
imex:IM-27423
imex:IM-28585
imex:IM-29278
pubmed:20423149
pubmed:31585087
pubmed:33961781";Immunoglobulin-like domain;"<p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
