A0A2U3TZT1,Brak nazwy,Homo sapiens,IPR041032,imex:IM-25472|pubmed:32296183
A0A4Y1W7L5,Brak nazwy,Bacillus anthracis,IPR024563,imex:IM-13779|pubmed:20711500
A0A5P8YEP4,Flagellar hook protein FlgE,Yersinia pestis,IPR037058|IPR001444|IPR019776|IPR020013|IPR010930|IPR037925|IPR011491|IPR053967,imex:IM-13779|pubmed:20711500
A0A5P8YFD8,Anthranilate synthase component 1,Yersinia pestis,IPR005801|IPR019999|IPR006805|IPR005257|IPR015890,imex:IM-13779|pubmed:20711500
A4D1S0,Killer cell lectin-like receptor subfamily G member 2,Homo sapiens,IPR001304|IPR016186|IPR016187|IPR043318|IPR033992,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00339,Matrilin-2,Homo sapiens,IPR026823|IPR050525|IPR000742|IPR001881|IPR000152|IPR009030|IPR036337|IPR019466|IPR049883|IPR002035|IPR036465,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00526,Uroplakin-2,Homo sapiens,IPR009952,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00587,Beta-1,3-N-acetylglucosaminyltransferase manic fringe,Homo sapiens,IPR017374|IPR003378,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14960,Leukocyte cell-derived chemotaxin-2,Homo sapiens,IPR011055|IPR008663|IPR017381|IPR016047,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15520,Fibroblast growth factor 10,Homo sapiens,IPR002209|IPR008996,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O15547,P2X purinoceptor 6,Homo sapiens,IPR003049|IPR027309|IPR001429|IPR059116|IPR053792,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43240,Kallikrein-10,Homo sapiens,IPR009003|IPR043504|IPR001314|IPR001254|IPR018114,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43711,T-cell leukemia homeobox protein 3,Homo sapiens,IPR001356|IPR020479|IPR017970|IPR009057|IPR042247,imex:IM-25472|pubmed:32296183
O43824,Putative GTP-binding protein 6,Homo sapiens,IPR030394|IPR006073|IPR032305|IPR016496|IPR025121|IPR042108|IPR027417,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60513,Beta-1,4-galactosyltransferase 4,Homo sapiens,IPR003859|IPR027791|IPR027995|IPR029044,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60676,Cystatin-8,Homo sapiens,IPR000010|IPR046350|IPR052691,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60938,Keratocan,Homo sapiens,IPR001611|IPR003591|IPR032675|IPR000372|IPR050333,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75462,Cytokine receptor-like factor 1,Homo sapiens,IPR003961|IPR036116|IPR015152|IPR036179|IPR013783|IPR050379,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75564,Jerky protein homolog,Homo sapiens,IPR050863|IPR004875|IPR009057|IPR006600|IPR007889,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O76096,Cystatin-F,Homo sapiens,IPR042886|IPR000010|IPR046350,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94763,Unconventional prefoldin RPB5 interactor 1,Homo sapiens,IPR009053|IPR004127|IPR052255,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95156,Neurexophilin-2,Homo sapiens,IPR010450|IPR026845,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95231,Homeobox protein VENTX,Homo sapiens,IPR001356|IPR017970|IPR050848|IPR009057,imex:IM-25472|pubmed:32296183
O95816,BAG family molecular chaperone regulator 2,Homo sapiens,IPR037689|IPR003103,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95968,Secretoglobin family 1D member 1,Homo sapiens,IPR016126|IPR035960,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O96008,Mitochondrial import receptor subunit TOM40 homolog,Homo sapiens,IPR023614|IPR027246|IPR037930,imex:IM-24272|pubmed:26496610
P00533,Epidermal growth factor receptor,Homo sapiens,IPR006211|IPR006212|IPR032778|IPR009030|IPR011009|IPR000719|IPR017441|IPR000494|IPR036941|IPR050122|IPR001245|IPR049328|IPR008266|IPR020635|IPR016245,imex:IM-29494|pubmed:35384245
P01375,Tumor necrosis factor,Homo sapiens,IPR006053|IPR002959|IPR021184|IPR006052|IPR008983,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02768,Albumin,Homo sapiens,IPR000264|IPR020858|IPR021177|IPR020857|IPR014760,imex:IM-19123|pubmed:15174051
P04808,Prorelaxin H1,Homo sapiens,IPR022352|IPR016179|IPR036438|IPR022353|IPR022421|IPR051042,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P07585,Decorin,Homo sapiens,IPR001611|IPR003591|IPR032675|IPR000372|IPR050333|IPR016352,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P08246,Neutrophil elastase,Homo sapiens,IPR050850|IPR009003|IPR043504|IPR001314|IPR001254|IPR018114|IPR033116,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P08620,Fibroblast growth factor 4,Homo sapiens,IPR002209|IPR008996,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09238,Stromelysin-2,Homo sapiens,IPR000585|IPR036375|IPR018487|IPR018486|IPR033739|IPR024079|IPR001818|IPR021190|IPR021158|IPR006026|IPR002477|IPR036365,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0C6X5-PRO_0000283874
P0C722,Transcriptional activator BRRF1,Human herpesvirus 4 (strain GD1),IPR006878,imex:IM-20435|mint:MINT-6769080|pubmed:17446270
P0CG47,Polyubiquitin-B,Homo sapiens,IPR000626|IPR029071|IPR019954|IPR019956|IPR050158,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0DPF6,Putative uncharacterized protein CDRT15P3,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10636-8,Isoform Tau-F of Microtubule-associated protein tau,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-29755|imex:IM-29773|pubmed:32812023|pubmed:35063084
