Count;InterProID;pubmeds;Name;ShortDescription
5;IPR036028;"imex:IM-11903
mint:MINT-8109998
pubmed:17474147";SH3-like domain superfamily;"<p>SH3 (src Homology-3) domains are small protein modules containing approximately 50 amino acid residues [[cite:PUB00001025], [cite:PUB00007145]]. They are found in a great variety of intracellular or membrane-associated proteins [[cite:PUB00001644], [cite:PUB00005506], [cite:PUB00004203]] for example, in a variety of proteins with enzymatic activity, in adaptor proteins, such as fodrin and yeast actin binding protein ABP-1.</p>

<p>The SH3 domain has a characteristic fold which consists of five or six β-strands arranged as two tightly packed anti-parallel β-sheets. The linker regions may contain short helices. The surface of the SH3-domain bears a flat, hydrophobic ligand-binding pocket which consists of three shallow grooves defined by conservative aromatic residues in which the ligand adopts an extended left-handed helical arrangement. The ligand binds with low affinity but this may be enhanced by multiple interactions. The region bound by the SH3 domain is in all cases proline-rich and contains PXXP as a core-conserved binding motif. The function of the SH3 domain is not well understood but they may mediate many diverse processes such as increasing local concentration of proteins, altering their subcellular location and mediating the assembly of large multiprotein complexes [[cite:PUB00001031]].</p>; <p>The crystal structure of the SH3 domain of the cytoskeletal protein spectrin, and the solution structures of SH3 domains of phospholipase C (PLC-y) and phosphatidylinositol 3-kinase p85 alpha-subunit, have been determined [[cite:PUB00004135], [cite:PUB00000895], [cite:PUB00000887]]. In spite of relatively limited sequence similarity, their overall structures are similar. The domains belong to the α+β structural class, with five to eight β-strands forming 2 tightly-packed, anti-parallel β-sheets arranged in a barrel-like structure, and intervening loops sometimes forming helices. Conserved aliphatic and aromatic residues form a hydrophobic core (A11, L23, A29, V34, W42, L52 and V59 in PLC-y [[cite:PUB00000887]]) and a hydrophobic pocket on the molecular surface (L12, F13, W53 and P55 in PLC-y). The conserved core is believed to stabilise the fold, while the pocket is thought to serve as a binding site for target proteins. Conserved carboxylic amino acids located in the loops, on the periphery of the pocket (D14 and E22), may be involved in protein-protein interactions via proline-rich regions. The N- and C-terminal are packed in close proximity, indicating that they are independent structural modules.</p>"
5;IPR001452;"imex:IM-11903
mint:MINT-8109998
pubmed:17474147";SH3 domain;"<p>SH3 (src Homology-3) domains are small protein modules containing approximately 50 amino acid residues [[cite:PUB00001025], [cite:PUB00007145]]. They are found in a great variety of intracellular or membrane-associated proteins [[cite:PUB00001644], [cite:PUB00005506], [cite:PUB00004203]] for example, in a variety of proteins with enzymatic activity, in adaptor proteins, such as fodrin and yeast actin binding protein ABP-1.</p>

<p>The SH3 domain has a characteristic fold which consists of five or six β-strands arranged as two tightly packed anti-parallel β-sheets. The linker regions may contain short helices. The surface of the SH3-domain bears a flat, hydrophobic ligand-binding pocket which consists of three shallow grooves defined by conservative aromatic residues in which the ligand adopts an extended left-handed helical arrangement. The ligand binds with low affinity but this may be enhanced by multiple interactions. The region bound by the SH3 domain is in all cases proline-rich and contains PXXP as a core-conserved binding motif. The function of the SH3 domain is not well understood but they may mediate many diverse processes such as increasing local concentration of proteins, altering their subcellular location and mediating the assembly of large multiprotein complexes [[cite:PUB00001031]].</p>; <p>The crystal structure of the SH3 domain of the cytoskeletal protein spectrin, and the solution structures of SH3 domains of phospholipase C (PLC-y) and phosphatidylinositol 3-kinase p85 alpha-subunit, have been determined [[cite:PUB00004135], [cite:PUB00000895], [cite:PUB00000887]]. In spite of relatively limited sequence similarity, their overall structures are similar. The domains belong to the α+β structural class, with five to eight β-strands forming 2 tightly-packed, anti-parallel β-sheets arranged in a barrel-like structure, and intervening loops sometimes forming helices. Conserved aliphatic and aromatic residues form a hydrophobic core (A11, L23, A29, V34, W42, L52 and V59 in PLC-y [[cite:PUB00000887]]) and a hydrophobic pocket on the molecular surface (L12, F13, W53 and P55 in PLC-y). The conserved core is believed to stabilise the fold, while the pocket is thought to serve as a binding site for target proteins. Conserved carboxylic amino acids located in the loops, on the periphery of the pocket (D14 and E22), may be involved in protein-protein interactions via proline-rich regions. The N- and C-terminal are packed in close proximity, indicating that they are independent structural modules.</p>"
5;IPR000980;"imex:IM-11903
mint:MINT-8109998
pubmed:17474147";SH2 domain;"<p>The Src homology 2 (SH2) domain is a protein domain of about 100 amino-acid residues first identified as a conserved sequence region between the oncoproteins Src and Fps [[cite:PUB00003647]]. Similar sequences were later found in many other intracellular signal-transducing proteins [[cite:PUB00001638]]. SH2 domains function as regulatory modules of intracellular signalling cascades by interacting with high affinity to phosphotyrosine-containing target peptides in a sequence-specific, SH2 domains recognise between 3-6 residues C-terminal to the phosphorylated tyrosine in a fashion that differs from one SH2 domain to another, and strictly phosphorylation-dependent manner [[cite:PUB00003096], [cite:PUB00001025], [cite:PUB00005506], [cite:PUB00004203]]. They are found in a wide variety of protein contexts e.g., in association with catalytic domains of phospholipase Cy (PLCy) and the non-receptor protein tyrosine kinases; within structural proteins such as fodrin and tensin; and in a group of small adaptor molecules, i.e Crk and Nck. The domains are frequently found as repeats in a single protein sequence and will then often bind both mono- and di-phosphorylated substrates.</p>

<p>The structure of the SH2 domain belongs to the α+β class, its overall shape forming a compact flattened hemisphere. The core structural elements comprise a central hydrophobic anti-parallel β-sheet, flanked by 2 short α-helices. The loop between strands 2 and 3 provides many of the binding interactions with the phosphate group of its phosphopeptide ligand, and is hence designated the phosphate binding loop, the phosphorylated ligand binds perpendicular to the β-sheet and typically interacts with the phosphate binding loop and a hydrophobic binding pocket that interacts with a pY+3 side chain. The N- and C-termini of the domain are close together in space and on the opposite face from the phosphopeptide binding surface and it has been speculated that this has facilitated their integration into surface-exposed regions of host proteins [[cite:PUB00007102]].</p>"
5;IPR036860;"imex:IM-11903
mint:MINT-8109998
pubmed:17474147";SH2 domain superfamily;"<p>The Src homology 2 (SH2) domain is a protein domain of about 100 amino-acid residues first identified as a conserved sequence region between the oncoproteins Src and Fps [[cite:PUB00003647]]. Similar sequences were later found in many other intracellular signal-transducing proteins [[cite:PUB00001638]]. SH2 domains function as regulatory modules of intracellular signalling cascades by interacting with high affinity to phosphotyrosine-containing target peptides in a sequence-specific, SH2 domains recognise between 3-6 residues C-terminal to the phosphorylated tyrosine in a fashion that differs from one SH2 domain to another, and strictly phosphorylation-dependent manner [[cite:PUB00003096], [cite:PUB00001025], [cite:PUB00005506], [cite:PUB00004203]]. They are found in a wide variety of protein contexts e.g., in association with catalytic domains of phospholipase Cy (PLCy) and the non-receptor protein tyrosine kinases; within structural proteins such as fodrin and tensin; and in a group of small adaptor molecules, i.e Crk and Nck. The domains are frequently found as repeats in a single protein sequence and will then often bind both mono- and di-phosphorylated substrates.</p>

<p>The structure of the SH2 domain belongs to the α+β class, its overall shape forming a compact flattened hemisphere. The core structural elements comprise a central hydrophobic anti-parallel β-sheet, flanked by 2 short α-helices. The loop between strands 2 and 3 provides many of the binding interactions with the phosphate group of its phosphopeptide ligand, and is hence designated the phosphate binding loop, the phosphorylated ligand binds perpendicular to the β-sheet and typically interacts with the phosphate binding loop and a hydrophobic binding pocket that interacts with a pY+3 side chain. The N- and C-termini of the domain are close together in space and on the opposite face from the phosphopeptide binding surface and it has been speculated that this has facilitated their integration into surface-exposed regions of host proteins [[cite:PUB00007102]].</p>"
5;IPR036259;"doi:10.1016/j.cell.2021.04.011
doi:10.1126/science.1251358
doi:10.3389/fpls.2012.00124
imex:IM-26295
imex:IM-26362
imex:IM-29278
pubmed:22737156
pubmed:24833385
pubmed:33961781";MFS transporter superfamily;"<p>This entry represents MFS transporter superfamily, characterised by twelve transmembrane helices. This superfamily includes, among others, the glycerol-3-phosphate transporter from Escherichia coli, which transports glycerol-3-phosphate into the cytoplasm and inorganic phosphate into the periplasm [[cite:PUB00030004]], and the E. coli proton/sugar transporter lactose permease (LacY), which acts to couple lactose and H+ translocation [[cite:PUB00029988], [cite:PUB00040002]].</p>; <p>Transporters can be grouped into two classes, primary and secondary carriers. The primary active transporters drive solute accumulation or extrusion by using ATP hydrolysis, photon absorption, electron flow, substrate decarboxylation or methyl transfer. If charged molecules are unidirectionally pumped as a consequence of the consumption of a primary cellular energy source, electron chemical potential results. This potential can than be used to drive the active transport of additional solutes via secondary carriers.</p>

<p>Among the different transporters, the two largest families that occur ubiquitously in all classifications of organisms are the ATP-Binding Cassette (ABC) primary transporter superfamily (see [prositedoc:PDOC00185]) and the Major Facilitator Superfamily (MFS). The MFS transporters are single-polypeptide secondary carriers capable only of transporting small solutes in response to chemiosmotic ion gradients [[cite:PUB00007278], [cite:PUB00007279]]. They function as uniporters, symporters or antiporters. In addition, their solute specificities are also diverse. MFS proteins contain 12 transmembrane regions (with some variations).</p>

<p>The 3D structure of human GLUT1, an archetype of the major facilitator superfamily, has been solved [[cite:PUB00052599]]. Helices 1-5, 8, and 10-12 are arranged in a 9-member barrel-like manner, delimiting a hydrophilic central channel. Helix 7 is located in the centre of the channel, suggesting a role in regulating transport of solutes through the channel.</p>"
4;IPR029048;pubmed:19536198;Heat shock protein 70kD, C-terminal domain superfamily;"<p>Members of the 70-kilodalton heat-shock protein (HSP70) family promote protein folding both constitutively and in response to stress. These proteins have two functional units: a substrate-binding unit, and an adenosine triphosphatase unit. The substrate-binding unit of DnaK consists of a β-sandwich domain followed by α-helical segments. The α-helical domain stabilises the complex, but does not contact the peptide directly [[cite:PUB00028362]].</p>; <p>This superfamily represents the C-terminal α-helical subdomain of the substrate-binding unit from DnaK and other HSP70 proteins.</p>"
4;IPR029047;pubmed:19536198;Heat shock protein 70kD, peptide-binding domain superfamily;"<p>This superfamily represents peptide-binding β-sandwich domain from DnaK and other
HSP70 proteins.</p>; <p>Members of the 70-kilodalton heat-shock protein (HSP70) family promote protein folding both constitutively and in response to stress. These proteins have two functional units: a substrate-binding unit, and an adenosine triphosphatase unit. The substrate-binding unit of DnaK consists of a β-sandwich domain followed by α-helical segments. The α-helical domain stabilises the complex, but does not contact the peptide directly [[cite:PUB00028362]].</p>"
4;IPR013126;pubmed:19536198;Heat shock protein 70 family;"<p>Heat shock proteins, Hsp70 chaperones help to fold many proteins. Hsp70 assisted folding involves repeated cycles of substrate binding and release. Hsp70 activity is ATP dependent. Hsp70 proteins are made up of two regions: the amino terminus is the ATPase domain and the carboxyl terminus is the substrate binding region [[cite:PUB00000958]].</p>

<p>Hsp70 proteins have an average molecular weight of 70kDa [[cite:PUB00000712], [cite:PUB00000809], [cite:PUB00004019]]. In most species, there are many proteins that belong to the Hsp70 family. Some of these are only expressed under stress conditions (strictly inducible), while some are present in cells under normal growth conditions and are not heat-inducible (constitutive or cognate) [[cite:PUB00004070], [cite:PUB00001766]]. Hsp70 proteins can be found in different cellular compartments (nuclear, cytosolic, mitochondrial, endoplasmic reticulum, for example).</p>

<p>This entry represents the Hsp70 family, and includes chaperone protein DnaK and luminal-binding proteins. It also includes heat shock protein 110 (Hsp110) from Caenorhabditis elegans which helps prevent the aggregation of denatured proteins in neurons [[cite:PUB00082583]]. Also included is endoplasmic reticulum (ER) chaperone BiP (HSPA5) which is important for protein folding and quality control in the ER [[cite:PUB00090977]].</p>; <p>The Heat Shock Protein 70 (HSP70) family is a group of highly conserved molecular chaperones involved in a variety of cellular processes. Members of this family play crucial roles in the folding of newly synthesized proteins, preventing the aggregation of denatured proteins under stress, assisting in protein translocation into organelles, and participating in the degradation of damaged proteins. They are also implicated in the assembly of multimeric protein complexes within the endoplasmic reticulum. Some HSP70 proteins act as nucleotide-exchange factors, promoting the release of ADP from other chaperones to trigger substrate release. They are essential for cellular protection against stress conditions such as heat shock and hypoxia, where they may help in cytoprotection and protein folding.</p>"
4;IPR043129;pubmed:19536198;ATPase, nucleotide binding domain;<p>This superfamily comprises domains found in several ATPases, including actin, Hsp70, BadF/BadG/BcrA/BcrD, various kinases, DnaK, ROK, PilM, and Fumble. Members of this superfamily have two lobes, one with nucleotide binding activity, and a second one with substrate binding activity. The lobes can be structurally divided into 4 subdomains - 1A, 1B, 2A, 2B (or 1, 2, 3, 4). The ATP binding site in these ATPases is well conserved, and is located at the junction of the two lobes, in a deep cleft. This superfamily entry represents the nucleotide binding domain (NBD) or the first lobe (subdomains 1A and 1B), which exhibits ATPase activity.</p>
4;IPR018181;pubmed:19536198;Heat shock protein 70, conserved site;"<p>Heat shock proteins, Hsp70 chaperones help to fold many proteins. Hsp70 assisted folding involves repeated cycles of substrate binding and release. Hsp70 activity is ATP dependent. Hsp70 proteins are made up of two regions: the amino terminus is the ATPase domain and the carboxyl terminus is the substrate binding region [[cite:PUB00000958]].</p>

<p>Hsp70 proteins have an average molecular weight of 70kDa [[cite:PUB00000712], [cite:PUB00000809], [cite:PUB00004019]]. In most species,there are many proteins that belong to the hsp70 family. Some of these are only expressed under stress conditions (strictly inducible), while some are present in cells under normal growth conditions and are not heat-inducible (constitutive or cognate) [[cite:PUB00004070], [cite:PUB00001766]]. Hsp70 proteins can be found in different cellular compartments(nuclear, cytosolic, mitochondrial, endoplasmic reticulum, for example).</p>

<p>This entry represents three conserved sites of the heat shock 70 protein family.</p>"
