#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR018883 AND Category=AF4;
3_1#3_1	AF4	A0A812L574-F1	Symbiodinium natans	79.5	Hypothetical protein	IPR018883	SNAT2548_LOCUS10976
3_1	AF4	A0A0F4R6A1-F1	Marinomonas sp	97.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	TW85_09695
3_1	AF4	A0A1Y5E6N8-F1	Vibrio psychroerythus	97.7	Lipoprotein	IPR018883,IPR036398	A9Q75_13785
3_1	AF4	A3YHG4-F1	Marinomonas sp	97.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	MED121_23805
3_1	AF4	U3A2Q2-F1	Vibrio azureus	97.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	VAZ01S_008_00180
3_1	AF4	A0A849E6K5-F1	Enterobacterales bacterium	97.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	HKP09_10110
3_1	AF4	A0A7C1TLG7-F1	Gammaproteobacteria bacterium	97.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	ENI93_02640
3_1	AF4	A0A7W4GCM9-F1	Shewanella sp	97.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	H5181_08650
3_1	AF4	A0A1R4B4D1-F1	Vibrio palustris	97.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	VPAL9027_01741
3_1	AF4	A0A135ICN0-F1	Enterovibrio coralii	97.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	ATN88_05885
3_1	AF4	A0A099KS52-F1	Vibrio psychroerythus	97.5	Lipoprotein	IPR018883,IPR036398	ND2E_2930
3_1	AF4	A0A4R7DK39-F1	Idiomarina sp	97.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	DET62_10917
3_1	AF4	A0A2G2HPZ6-F1	Methylophaga sp	97.5	Lipoprotein	IPR018883,IPR036398	COA63_11930
3_1	AF4	A0A1I5Q8B2-F1	Enterovibrio norvegicus	97.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	SAMN03084138_02164
3_1	AF4	A0A0S2JBM8-F1	Colwellia sp	97.5	Lipoprotein	IPR018883,IPR036398	CMT41_01090
3_1	AF4	A0A2K1CG22-F1	Vibrio agarivorans	97.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	C1141_14880
3_1	AF4	A0A1Y5FG72-F1	Gammaproteobacteria bacterium	97.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	A9Q90_05515
3_1	AF4	A0A137SA20-F1	Moritella sp	97.4	Exported protein	IPR018883,IPR036398	AKG98_1504
3_1	AF4	A0A1E5CAM3-F1	Enterovibrio norvegicus	97.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	A1OK_07135
3_1	AF4	A0A2N7LGZ1-F1	Enterovibrio norvegicus	97.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT23_01960
3_1	AF4	A0A1Z5HZY8-F1	Colwellia marinimaniae	97.4	Lipoprotein	IPR018883,IPR036398	MTCD1_00688
3_1	AF4	A0A0F6A0R7-F1	Grimontia sp	97.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	RN22_04980
3_1	AF4	A0A6I1EDA4-F1	Amylibacter sp	97.4	CHRD domain-containing protein	IPR018883,IPR036398	F9L33_03610
3_1	AF4	A0A850RYS3-F1	Mariprofundus sp	97.4	Secreted protein	IPR018883,IPR036398	F3F93_07580
3_1	AF4	A0A1H6LHC2-F1	Bathymodiolus azoricus	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	BAZSYMB_SCAFFOLD00019_12
3_1	AF4	A0A4P7JL61-F1	Thalassotalea sp	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	E2K93_08165
3_1	AF4	A0A2S7UMD6-F1	Vibrio splendidus	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	BTO12_13090
3_1	AF4	A0A5E5PQM1-F1	uncultured Gammaproteobacteria	97.3	Superoxide dismutase	IPR018883,IPR036398	BPUTSESOX_1142
3_1	AF4	Q083D6-F1	strain NCIMB 400	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	Sfri_1779
3_1	AF4	A0A6M1RFU6-F1	Grimontia sedimenti	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	G5S52_01950
3_1	AF4	A0A1H5SWY5-F1	Thalassococcus halodurans	97.3	Cadmium carbonic anhydrase repeat-containing protein	IPR018883,IPR036398	SAMN04488045_0382
3_1	AF4	A0A2D5VLI9-F1	Pseudomonas sp	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	CMK92_01255
3_1	AF4	A0A483AP18-F1	Logatchev	97.3	Superoxide dismutase	IPR018883,IPR036398	BPUTEOSOX_595
3_1	AF4	A0A354XFG8-F1	Halomonas sp	97.3	Carbonic anhydrase	IPR018883,IPR036398	DDZ35_02415
3_1	AF4	A0A1T4W5S3-F1	Enterovibrio nigricans	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	SAMN02745132_04755
3_1	AF4	A0A3M1WEM0-F1	Gammaproteobacteria bacterium	97.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	D6717_13500
3_1	AF4	A0A2N7K937-F1	Vibrio lentus	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT49_04170
3_1	AF4	A0A120DHN5-F1	Vibrio toranzoniae	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	APQ14_18635
3_1	AF4	A0A1A6J0W1-F1	Vibrio tasmaniensis	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	A9261_16175
3_1	AF4	A0A558IBG3-F1	Vibrio tasmaniensis	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	FQP87_04945
3_1	AF4	A0A2E2BL52-F1	Halomonadaceae bacterium	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	CME72_03030
3_1	AF4	A0A847SI98-F1	Leeia aquatica	97.2	Secreted protein	IPR018883,IPR036398	HF682_10560
3_1	AF4	A0A2A5BSH6-F1	Cellvibrionales bacterium	97.2	Signal peptide protein	IPR018883,IPR036398	COA75_13910
3_1	AF4	A0A3D1Y8Y2-F1	Oceanospirillales bacterium	97.2	CHRD domain-containing protein	IPR018883,IPR036398	DE015_07905
3_1	AF4	A0A1E7PVU8-F1	Marinobacter sp	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	BG841_05475
3_1	AF4	A0A2N0WVI4-F1	Alteromonadales bacterium	97.2	Secreted protein	IPR018883	CW748_00095
3_1	AF4	A0A1B0ZW06-F1	Phaeobacter gallaeciensis	97.2	Secreted protein	IPR018883,IPR036398	JL2886_03352
3_1	AF4	A0A559QTE1-F1	Alteromonadaceae bacterium 2753L	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	P886_0483
3_1	AF4	A0A4V0ZG89-F1	Litorilituus sediminis	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	EMK97_12400
3_1	AF4	A0A1J5TUQ4-F1	Bathymodiolus thermophilus	97.2	ZirS_C domain-containing protein	IPR018883,IPR036398	BGC33_14695 THERMOS_1151
3_1	AF4	A0A837NPR1-F1	Vibrio splendidus	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	AN168_09455
3_1	AF4	A0A090IAU4-F1	Moritella viscosa	97.2	Putative exported protein	IPR018883,IPR036398	MVIS_1152 NVI5450_0710
3_1	AF4	A0A1Y5TU44-F1	Falsiruegeria litorea	97.2	Secreted protein	IPR018883,IPR036398	TRL7639_04323
3_1	AF4	A0A855J597-F1	Vibrio splendidus	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT10_18360
3_1	AF4	A0A430KMD2-F1	Amphritea opalescens	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	EH243_16160
3_1	AF4	A0A2A5GZ58-F1	Alteromonadaceae bacterium	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	COA42_24455
3_1	AF4	A0A1R3FTW1-F1	Vibrio sp	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	BH584_17610
3_1	AF4	A0A545T6W0-F1	Aliikangiella marina	97.2	Cadmium carbonic anhydrase	IPR018883	FLL45_15975
3_1	AF4	A0A2N0X064-F1	Psychromonas sp	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	CW745_08325
3_1	AF4	A0A2N7JLG1-F1	Vibrio splendidus	97.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT54_08965
