A0A0H2UQ73,Niacin transporter NiaX,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Brak InterPro kodów dla tego białka.,imex:IM-18537|psi-mi:"MI:0946"|pubmed:23267104
A0A1D6EZQ5,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6FPL6,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6GW91,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6MLL0,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6NI87,Kinesin-like protein,Zea mays,IPR027640|IPR019821|IPR001752|IPR036961|IPR027417,imex:IM-29553|pubmed:36581701
A2VEN5,Brak nazwy,Drosophila melanogaster,IPR002557|IPR036508,imex:IM-28761|pubmed:37061542
A5PKU2,Brak nazwy,Homo sapiens,IPR051423|IPR007593,imex:IM-25472|pubmed:32296183
A6NDU8,RAB7A-interacting MON1-CCZ1 complex subunit 1,Homo sapiens,IPR037657,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6NJ78,12S rRNA N(4)-cytidine methyltransferase METTL15,Homo sapiens,IPR002903|IPR023397|IPR029063,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A8K2U0,Alpha-2-macroglobulin-like protein 1,Homo sapiens,IPR009048|IPR036595|IPR050473|IPR011625|IPR041813|IPR047565|IPR011626|IPR013783|IPR014756|IPR001599|IPR019742|IPR002890|IPR041555|IPR040839|IPR008930,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B3KSW4,Brak nazwy,Homo sapiens,IPR016137|IPR036305|IPR024066|IPR044926,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
B4FRR5,Brak nazwy,Zea mays,IPR011992|IPR018247|IPR002048|IPR039647,imex:IM-29553|pubmed:36581701
C6KT55,Brak nazwy,Plasmodium falciparum (isolate 3D7),IPR016641|IPR044034|IPR038187|IPR002715,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
F8VQC1,Signal recognition particle subunit SRP72,Mus musculus,IPR013699|IPR026270|IPR031545|IPR011990|IPR019734,imex:IM-24272|pubmed:26496610
K7V3H5,Brak nazwy,Zea mays,IPR028386,imex:IM-29553|pubmed:36581701
K9N4V7,Nucleoprotein,Middle East respiratory syndrome-related coronavirus (isolate United Kingdom/H123990006/2012),IPR044344|IPR044345|IPR043505|IPR001218|IPR037179|IPR037195,imex:IM-29365|pubmed:34232536
M9PEN8,Brak nazwy,Drosophila melanogaster,IPR029020|IPR024041|IPR002229,imex:IM-28761|pubmed:37061542
O00159,Unconventional myosin-Ic,Homo sapiens,IPR000048|IPR036961|IPR001609|IPR010926|IPR036072|IPR027417,imex:IM-24272|pubmed:26496610
O00442,RNA 3'-terminal phosphate cyclase,Homo sapiens,IPR013791|IPR023797|IPR037136|IPR000228|IPR017770|IPR020719|IPR013792|IPR036553,pubmed:17353931
O00567,Nucleolar protein 56,Homo sapiens,IPR045056|IPR012974|IPR042239|IPR002687|IPR036070|IPR012976,imex:IM-24272|pubmed:26496610
O14880,Glutathione S-transferase 3, mitochondrial,Homo sapiens,IPR050997|IPR023352|IPR001129,imex:IM-25472|imex:IM-26301|pubmed:29568061|pubmed:32296183
O15078,Centrosomal protein of 290 kDa,Homo sapiens,IPR032321|IPR026201,imex:IM-24512|pubmed:26638075
O15091,Mitochondrial ribonuclease P catalytic subunit,Homo sapiens,IPR033495|IPR031595|IPR011990,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15091-2,Isoform 2 of Mitochondrial ribonuclease P catalytic subunit,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O15209,Zinc finger and BTB domain-containing protein 22,Homo sapiens,IPR000210|IPR011333|IPR036236|IPR013087|IPR050457,imex:IM-24995|pubmed:27107014
O15218,Atypical chemokine receptor 5,Homo sapiens,IPR001350|IPR000276|IPR017452|IPR047143,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15400,Syntaxin-7,Homo sapiens,IPR010989|IPR045242|IPR006012|IPR006011|IPR000727,imex:IM-25472|pubmed:32296183
O15479,Melanoma-associated antigen B2,Homo sapiens,IPR037445|IPR021072|IPR041898|IPR041899|IPR002190,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15496,Group 10 secretory phospholipase A2,Homo sapiens,IPR001211|IPR016090|IPR033112|IPR033113|IPR036444,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O25338,Endonuclease MutS2,Helicobacter pylori (strain ATCC 700392 / 26695),IPR000432|IPR007696|IPR036187|IPR045076|IPR005747|IPR027417|IPR002625|IPR036063,imex:IM-22256|pubmed:24627523
O25939,Brak nazwy,Helicobacter pylori (strain ATCC 700392 / 26695),Brak InterPro kodów dla tego białka.,imex:IM-22256|pubmed:24627523
O25979,Brak nazwy,Helicobacter pylori (strain ATCC 700392 / 26695),Brak InterPro kodów dla tego białka.,imex:IM-22256|pubmed:24627523
O31863,Uncharacterized protein YozD,Bacillus subtilis (strain 168),IPR025545,imex:IM-16574|pubmed:21630458
O43149,Zinc finger ZZ-type and EF-hand domain-containing protein 1,Homo sapiens,IPR004939|IPR011992|IPR002048|IPR008979|IPR000433|IPR043145|IPR040099|IPR047052|IPR041986,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O43166,Signal-induced proliferation-associated 1-like protein 1,Homo sapiens,IPR001478|IPR036034|IPR035974|IPR000331|IPR050989|IPR021818,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
