A0PK11,Clarin-2,Homo sapiens,IPR026748,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A4D2P6,Delphilin,Homo sapiens,IPR015425|IPR042201|IPR051425|IPR001478|IPR036034,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
A4JYP8,Brak nazwy,Danio rerio,IPR003961|IPR036116|IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR013151,imex:IM-24186|pubmed:26190107
A9XP97,Sodium/hydrogen exchanger,Danio rerio,IPR018422|IPR006153|IPR018410|IPR004709,imex:IM-23003|pubmed:23565095
B9A064,Immunoglobulin lambda-like polypeptide 5,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003006|IPR003597|IPR050160,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
G5EGG0,Brak nazwy,Caenorhabditis elegans,IPR011989|IPR016024|IPR041209|IPR006955|IPR024095|IPR006953,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
H2KYP1,Brak nazwy,Caenorhabditis elegans,IPR004991,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
O00151,PDZ and LIM domain protein 1,Homo sapiens,IPR031847|IPR028537|IPR001478|IPR050604|IPR036034|IPR006643|IPR001781,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O00182,Galectin-9,Homo sapiens,IPR013320|IPR044156|IPR001079,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00214,Galectin-8,Homo sapiens,IPR013320|IPR044156|IPR001079,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00391,Sulfhydryl oxidase 1,Homo sapiens,IPR036774|IPR017905|IPR040986|IPR042568|IPR041269|IPR039798|IPR036249|IPR013766,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00429-2,Isoform 4 of Dynamin-1-like protein,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O00442,RNA 3'-terminal phosphate cyclase,Homo sapiens,IPR013791|IPR023797|IPR037136|IPR000228|IPR017770|IPR020719|IPR013792|IPR036553,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
