protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A010Q9Q3	tRNA (guanine(37)-N1)-methyltransferase	469	TRM5	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR056743	domain		469	218	316	CONTINUOUS	trm5
A0A015JVN7	tRNA (guanine(37)-N1)-methyltransferase	466	TRM5	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR056743	domain		466	192	292	CONTINUOUS	trm5
A0A015N3D9	tRNA (guanine(37)-N1)-methyltransferase	340	TRM5	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR056743	domain		340	192	292	CONTINUOUS	trm5
A0A016V2Z8	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	459	Acey_s0019.g3931	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR056743	domain		459	154	289	CONTINUOUS	trm5
A0A016VNW8	tRNA (guanine(37)-N1)-methyltransferase	513	Acey_s0007.g3541	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR056743	domain		513	259	365	CONTINUOUS	trm5
A0A016VPQ3	tRNA (guanine(37)-N1)-methyltransferase	526	Acey_s0007.g3541	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR056743	domain		526	272	378	CONTINUOUS	trm5
A0A017SQE1	tRNA (guanine(37)-N1)-methyltransferase	463	TRM5	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR056743	domain		463	221	315	CONTINUOUS	trm5
A0A022PS53	tRNA (guanine(37)-N1)-methyltransferase	606	MIMGU_mgv1a023182mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR056743	domain		606	397	528	CONTINUOUS	trm5
A0A022PU68	tRNA (guanine(37)-N1)-methyltransferase	437	MIMGU_mgv1a006623mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR056743	domain		437	186	282	CONTINUOUS	trm5
A0A022QMS6	tRNA wybutosine-synthesizing protein 3	1012	MIMGU_mgv1a000701mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR056743	domain		1012	812	970	CONTINUOUS	trm5
A0A022QUR0	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	347	MIMGU_mgv1a021403mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR056743	domain		347	234	330	CONTINUOUS	trm5
A0A022XKR4	tRNA (guanine(37)-N1)-methyltransferase	349	TRM5	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR056743	domain		349	94	193	CONTINUOUS	trm5
A0A023B6E6	tRNA (guanine(37)-N1)-methyltransferase	627	GNI_081010	110365	Gregarina niphandrodes	Gregarina niphandrodes (Septate eugregarine)	True	IPR056743	domain		627	290	391	CONTINUOUS	trm5
A0A023EXM5	tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase	346		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	True	IPR056743	domain		346	101	236	CONTINUOUS	trm5
A0A023EYU3	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	462		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	True	IPR056743	domain		462	212	316	CONTINUOUS	trm5
A0A023EZQ5	Protein arginine n-methyltransferase prmt1	349		30076	Triatoma infestans	Triatoma infestans (Assassin bug)	True	IPR056743	domain		349	44	136	CONTINUOUS	trm5
A0A023GFS5	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	406		251400	Amblyomma triste	Amblyomma triste (Neotropical tick)	True	IPR056743	domain		406	177	313	CONTINUOUS	trm5
A0A024FUM7	tRNA (guanine(37)-N1)-methyltransferase	968	BN9_118130	65357	Albugo candida	Albugo candida	True	IPR056743	domain		968	747	872	CONTINUOUS	trm5
A0A024G5H9	tRNA(Phe) 7-[(3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4)]-methyltransferase	3263	BN9_027950	65357	Albugo candida	Albugo candida	False	IPR056743	domain		3263	1022	1174	CONTINUOUS	trm5
A0A026WJY4	tRNA (guanine(37)-N1)-methyltransferase	409	X777_02981	2015173	Ooceraea biroi	Ooceraea biroi (Clonal raider ant)	True	IPR056743	domain		409	177	311	CONTINUOUS	trm5
A0A031LKP8	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	243	CM19_11425	1160895	Candidatus Acidianus copahuensis	Candidatus Acidianus copahuensis	True	IPR056743	domain		243	67	203	CONTINUOUS	trm5
A0A031LSW1	SAM-dependent methyltransferase TRM5/TYW2-type domain-containing protein	252	CM19_03180	1160895	Candidatus Acidianus copahuensis	Candidatus Acidianus copahuensis	True	IPR056743	domain		252	72	212	CONTINUOUS	trm5
A0A058ZES0	tRNA (guanine(37)-N1)-methyltransferase	581	H696_00474	691883	Fonticula alba	Fonticula alba (Slime mold)	True	IPR056743	domain		581	205	307	CONTINUOUS	trm5
A0A059F364	tRNA (guanine(37)-N1)-methyltransferase	362	TRM5	1288291	Anncaliia algerae PRA339	Anncaliia algerae PRA339	True	IPR056743	domain		362	171	323	CONTINUOUS	trm5
A0A059J625	tRNA (guanine(37)-N1)-methyltransferase	459	TRM5	1215338	Trichophyton interdigitale (strain MR816)	Trichophyton interdigitale (strain MR816)	True	IPR056743	domain		459	203	302	CONTINUOUS	trm5
A0A060HKL9	tRNA (guanine(37)-N(1))-methyltransferase	282	NVIE_017600	926571	Nitrososphaera viennensis EN76	Nitrososphaera viennensis EN76	True	IPR056743	domain		282	88	231	CONTINUOUS	trm5
