protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A010QAS5	Oligonucleotide transporter	560	CFIO01_12904	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		560	34	425	CONTINUOUS	Oligopeptide_transporter
A0A010QFI8	OPT oligopeptide transporter	792	CFIO01_06261	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		792	84	765	CONTINUOUS	Oligopeptide_transporter
A0A010QHM8	OPT oligopeptide transporter	575	CFIO01_11289	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		575	74	542	CONTINUOUS	Oligopeptide_transporter
A0A010QHT3	OPT oligopeptide transporter	1025	CFIO01_13206	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		1025	252	981	CONTINUOUS	Oligopeptide_transporter
A0A010QU29	OPT oligopeptide transporter	864	CFIO01_07120	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		864	133	821	CONTINUOUS	Oligopeptide_transporter
A0A010QYD4	RAVE complex protein Rav1 C-terminal domain-containing protein	2010	CFIO01_12487	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	False	IPR004813	family		2010	1351	2004	CONTINUOUS	Oligopeptide_transporter
A0A010RAN2	Oligopeptide transporter 8	724	CFIO01_07159	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		724	99	693	CONTINUOUS	Oligopeptide_transporter
A0A010RGH0	OPT oligopeptide transporter	188	CFIO01_11288	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		188	2	161	CONTINUOUS	Oligopeptide_transporter
A0A010RJ46	OPT family small oligopeptide transporter	839	CFIO01_08558	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		839	127	797	CONTINUOUS	Oligopeptide_transporter
A0A010RN11	OPT family small oligopeptide transporter	878	CFIO01_09203	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		878	126	834	CONTINUOUS	Oligopeptide_transporter
A0A010RNR2	OPT family small oligopeptide transporter	775	CFIO01_00595	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		775	73	731	CONTINUOUS	Oligopeptide_transporter
A0A010RPY8	OPT family small oligopeptide transporter	765	CFIO01_00945	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		765	59	728	CONTINUOUS	Oligopeptide_transporter
A0A010RSI6	OPT family small oligopeptide transporter	770	CFIO01_07948	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		770	58	729	CONTINUOUS	Oligopeptide_transporter
A0A010RUB3	Oligopeptide transporter	758	CFIO01_05674	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		758	82	736	CONTINUOUS	Oligopeptide_transporter
A0A010RV45	OPT family small oligopeptide transporter	798	CFIO01_11477	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		798	83	755	CONTINUOUS	Oligopeptide_transporter
A0A010RWI2	OPT family small oligopeptide transporter	779	CFIO01_12238	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		779	66	737	CONTINUOUS	Oligopeptide_transporter
A0A010RXE0	OPT oligopeptide transporter	852	CFIO01_09998	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		852	125	811	CONTINUOUS	Oligopeptide_transporter
A0A010RXT4	OPT oligopeptide transporter	794	CFIO01_12927	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		794	93	765	CONTINUOUS	Oligopeptide_transporter
A0A010RZ01	OPT family small oligopeptide transporter	798	CFIO01_07936	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR004813	family		798	85	755	CONTINUOUS	Oligopeptide_transporter
A0A015JVP6	Opt1p	773	RirG_191600	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR004813	family		773	76	740	CONTINUOUS	Oligopeptide_transporter
A0A015KGZ2	Opt1p	270	RirG_121120	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR004813	family		270	2	268	CONTINUOUS	Oligopeptide_transporter
A0A015KHK6	Opt1p	365	RirG_191890	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR004813	family		365	1	338	CONTINUOUS	Oligopeptide_transporter
A0A017RTM3	Peptide transporter	656	Q428_09680	1403537	Fervidicella metallireducens AeB	Fervidicella metallireducens AeB	True	IPR004813	family		656	33	599	CONTINUOUS	Oligopeptide_transporter
A0A017S0B2	Small oligopeptide transporter	790	EURHEDRAFT_417587	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR004813	family		790	75	750	CONTINUOUS	Oligopeptide_transporter
A0A017S4Z2	Small oligopeptide transporter	750	EURHEDRAFT_415761	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR004813	family		750	52	710	CONTINUOUS	Oligopeptide_transporter
A0A017S5E2	Putative plant-like oligopeptide transporter	751	EURHEDRAFT_464995	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR004813	family		751	53	727	CONTINUOUS	Oligopeptide_transporter
A0A017S629	Putative oligopeptide transporter, OPT family	810	EURHEDRAFT_415440	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR004813	family		810	54	802	CONTINUOUS	Oligopeptide_transporter
A0A017S7Q2	Sexual differentiation process protein Isp4	753	EURHEDRAFT_414833	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR004813	family		753	38	711	CONTINUOUS	Oligopeptide_transporter
A0A017S9S1	OPT superfamily oligopeptide transporter	777	EURHEDRAFT_171596	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR004813	family		777	60	736	CONTINUOUS	Oligopeptide_transporter
