protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A010Q209	Carbonic anhydrase	299	CFIO01_12949	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR036398	homologous_superfamily		299	30	271	CONTINUOUS	Alpha_carbonic_anhydrase
A0A010RTJ9	Alpha-carbonic anhydrase domain-containing protein	272	CFIO01_01036	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR036398	homologous_superfamily		272	42	271	CONTINUOUS	Alpha_carbonic_anhydrase
A0A010RXW9	carbonic anhydrase	382	CFIO01_13610	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR036398	homologous_superfamily		382	34	338	CONTINUOUS	Alpha_carbonic_anhydrase
A0A010RZ00	Carbonic anhydrase	291	CFIO01_05693	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR036398	homologous_superfamily		291	37	285	CONTINUOUS	Alpha_carbonic_anhydrase
A0A011NYQ4	carbonic anhydrase	465	cah	1454001	Candidatus Accumulibacter adjunctus	Candidatus Accumulibacter adjunctus	True	IPR036398	homologous_superfamily		465	242	465	CONTINUOUS	Alpha_carbonic_anhydrase
A0A011PUS7	carbonic anhydrase	458	cah	522306	Accumulibacter regalis	Accumulibacter regalis	True	IPR036398	homologous_superfamily		458	236	458	CONTINUOUS	Alpha_carbonic_anhydrase
A0A015JKU9	carbonic anhydrase	263	RirG_110850	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR036398	homologous_superfamily		263	22	260	CONTINUOUS	Alpha_carbonic_anhydrase
A0A015JSK6	Carbonic anhydrase	239	RirG_201980	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR036398	homologous_superfamily		239	19	239	CONTINUOUS	Alpha_carbonic_anhydrase
A0A015JWN9	carbonic anhydrase	282	RirG_261120	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR036398	homologous_superfamily		282	20	260	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016S693	Carbonic anhydrase	356	Acey_s0283.g1303	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		356	65	320	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016S6A2	Carbonic anhydrase	176	Acey_s0283.g1309	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		176	14	136	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016S6C7	Carbonic anhydrase	337	Acey_s0283.g1303	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		337	47	301	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016S6E0	carbonic anhydrase	331	Acey_s0283.g1309	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		331	22	151	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016S6V2	Carbonic anhydrase	439	Acey_s0283.g1309	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		439	14	249	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016S773	Carbonic anhydrase	447	Acey_s0283.g1309	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		447	14	257	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016S7F0	Carbonic anhydrase	304	Acey_s0283.g1303	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		304	14	268	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016TA97	Carbonic anhydrase	301	Acey_s0121.g1025	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		301	15	276	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016TAD1	Carbonic anhydrase	305	Acey_s0121.g1025	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		305	15	280	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016TAG0	Carbonic anhydrase	296	Acey_s0121.g1025	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		296	15	271	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016TDZ4	Uncharacterized protein	341	Acey_s0110.g200	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		341	11	287	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016TET3	Alpha-carbonic anhydrase domain-containing protein	336	Acey_s0110.g200	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		336	6	282	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U3E4	Alpha-carbonic anhydrase domain-containing protein	88	Acey_s0059.g3069	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		88	20	88	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U3U8	Carbonic anhydrase	268	Acey_s0059.g3069	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		268	23	250	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U4B4	Uncharacterized protein	104	Acey_s0059.g3067	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		104	58	103	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U4B9	Carbonic anhydrase	273	Acey_s0059.g3069	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		273	23	255	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U4P7	Alpha-carbonic anhydrase domain-containing protein	175	Acey_s0059.g3068	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		175	3	149	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U4Q3	Carbonic anhydrase	201	Acey_s0059.g3069	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		201	3	182	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U5C3	Alpha-carbonic anhydrase domain-containing protein	172	Acey_s0059.g3068	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		172	3	146	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016U7Q4	Carbonic anhydrase	325	Acey_s0051.g2073	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		325	60	317	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016UB31	carbonic anhydrase	369	Acey_s0048.g1633	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		369	16	262	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WBP7	Carbonic anhydrase	402	Acey_s0811.g2467	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		402	25	365	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WCA0	Carbonic anhydrase	374	Acey_s0811.g2467	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		374	25	345	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WCC1	Carbonic anhydrase	322	Acey_s0811.g2465	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		322	21	276	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WCC5	Carbonic anhydrase	394	Acey_s0811.g2467	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		394	25	365	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WD80	Carbonic anhydrase	329	Acey_s0811.g2465	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		329	28	283	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WD86	Carbonic anhydrase	413	Acey_s0811.g2467	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		413	25	383	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WE16	Carbonic anhydrase	370	Acey_s0811.g2465	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		370	21	282	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WE22	Carbonic anhydrase	382	Acey_s0811.g2467	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		382	25	345	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WP37	Alpha-carbonic anhydrase domain-containing protein	336	Acey_s0569.g75	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		336	18	299	CONTINUOUS	Alpha_carbonic_anhydrase
A0A016WP94	Alpha-carbonic anhydrase domain-containing protein	370	Acey_s0569.g75	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR036398	homologous_superfamily		370	52	333	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022PQT7	Carbonic anhydrase	275	MIMGU_mgv1a011638mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		275	37	272	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022PT22	Carbonic anhydrase	248	MIMGU_mgv11b010420mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		248	8	244	CONTINUOUS	Alpha_carbonic_anhydrase
A0A022PTE3	Uncharacterized protein	45	MIMGU_mgv1a0248941mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR036398	homologous_superfamily		45	1	44	CONTINUOUS	Alpha_carbonic_anhydrase
