A0A1D6IB58,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6K1W3,Brak nazwy,Zea mays,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6M7Z6,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A2A3N6,Putative PIP5K1A and PSMD4-like protein,Homo sapiens,IPR027483|IPR002498|IPR027484|IPR023610|IPR049590|IPR002035|IPR036465,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B9DGI8,Basic leucine zipper 63,Arabidopsis thaliana,IPR020983|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
F8VQC1,Signal recognition particle subunit SRP72,Mus musculus,IPR013699|IPR026270|IPR031545|IPR011990|IPR019734,imex:IM-24272|pubmed:26496610
O15460-2,Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O43900,Prickle planar cell polarity protein 3,Homo sapiens,IPR033725|IPR033726|IPR033727|IPR010442|IPR033723|IPR047120|IPR001781,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O95985,DNA topoisomerase 3-beta-1,Homo sapiens,IPR000380|IPR003601|IPR023406|IPR013497|IPR013824|IPR013825|IPR013826|IPR023405|IPR003602|IPR006171|IPR034144|IPR056452,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02792,Ferritin light chain,Homo sapiens,IPR001519|IPR012347|IPR009040|IPR009078|IPR014034|IPR008331,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02994,Elongation factor 1-alpha,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004161|IPR031157|IPR054696|IPR027417|IPR000795|IPR050100|IPR009000|IPR009001|IPR004539,pubmed:16429126
P07259,Multifunctional protein URA2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR006132|IPR006130|IPR036901|IPR002082|IPR006131|IPR011761|IPR013815|IPR036897|IPR006274|IPR002474|IPR036480|IPR029062|IPR005479|IPR005483|IPR035686|IPR006275|IPR005480|IPR058047|IPR017926|IPR032466|IPR011607|IPR036914|IPR016185,pubmed:16429126
P10114,Ras-related protein Rap-2a,Homo sapiens,IPR027417|IPR041840|IPR005225|IPR001806|IPR020849,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P10591,Heat shock protein SSA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P10592,Heat shock protein SSA2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:16429126
P15408,Fos-related antigen 2,Homo sapiens,IPR000837|IPR004827|IPR046347,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P17980,26S proteasome regulatory subunit 6A,Homo sapiens,IPR050221|IPR003593|IPR041569|IPR003959|IPR003960|IPR012340|IPR027417|IPR032501,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P24385,G1/S-specific cyclin-D1,Homo sapiens,IPR039361|IPR013763|IPR036915|IPR004367|IPR006671|IPR048258,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P26321,Large ribosomal subunit protein uL18,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR005485|IPR057268|IPR025607,pubmed:16429126
P27635,Large ribosomal subunit protein uL16,Homo sapiens,IPR047873|IPR018255|IPR016180|IPR001197|IPR036920,imex:IM-24272|pubmed:26496610
P30822,Exportin-1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR011989|IPR016024|IPR041123|IPR041235|IPR013598|IPR001494|IPR045065|IPR014877|IPR040485,imex:IM-24970|pubmed:26673895
P34082,Fasciclin-2,Drosophila melanogaster,IPR003961|IPR036116|IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR051170|IPR009138,imex:IM-16527|imex:IM-17304|pubmed:21447707|pubmed:25294943
P53539,Protein FosB,Homo sapiens,IPR000837|IPR004827|IPR046347,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P62745,Rho-related GTP-binding protein RhoB,Homo sapiens,IPR027417|IPR005225|IPR001806|IPR003578,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P78317,E3 ubiquitin-protein ligase RNF4,Homo sapiens,IPR043295|IPR047134|IPR001841|IPR013083|IPR017907,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q02078-4,Isoform RSRFC9 of Myocyte-specific enhancer factor 2A,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q03252,Lamin-B2,Homo sapiens,IPR018039|IPR039008|IPR001322|IPR036415,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q04864,Proto-oncogene c-Rel,Homo sapiens,IPR013783|IPR014756|IPR002909|IPR033926|IPR000451|IPR008967|IPR042845|IPR030492|IPR032397|IPR011539|IPR037059,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q08830,Fibrinogen-like protein 1,Homo sapiens,IPR037579|IPR036056|IPR014716|IPR002181|IPR020837,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q13557-10,Isoform Delta 10 of Calcium/calmodulin-dependent protein kinase type II subunit delta,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q15287,RNA-binding protein with serine-rich domain 1,Homo sapiens,IPR012677|IPR035979|IPR034201|IPR000504,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
