O43824,Putative GTP-binding protein 6,Homo sapiens,IPR030394|IPR006073|IPR032305|IPR016496|IPR025121|IPR042108|IPR027417,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75564,Jerky protein homolog,Homo sapiens,IPR050863|IPR004875|IPR009057|IPR006600|IPR007889,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94763,Unconventional prefoldin RPB5 interactor 1,Homo sapiens,IPR009053|IPR004127|IPR052255,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0CG47,Polyubiquitin-B,Homo sapiens,IPR000626|IPR029071|IPR019954|IPR019956|IPR050158,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11908,Ribose-phosphate pyrophosphokinase 2,Homo sapiens,IPR000842|IPR029099|IPR029057|IPR000836|IPR005946|IPR037515,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40424,Pre-B-cell leukemia transcription factor 1,Homo sapiens,IPR001356|IPR017970|IPR009057|IPR008422|IPR005542|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40425,Pre-B-cell leukemia transcription factor 2,Homo sapiens,IPR001356|IPR017970|IPR009057|IPR008422|IPR005542|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40426,Pre-B-cell leukemia transcription factor 3,Homo sapiens,IPR001356|IPR017970|IPR009057|IPR008422|IPR005542|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P55347,Homeobox protein PKNOX1,Homo sapiens,IPR001356|IPR009057|IPR008422|IPR032453|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P56962,Syntaxin-17,Homo sapiens,IPR010989|IPR059001|IPR028676|IPR045242|IPR006012|IPR000727,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6FHY5,Brak nazwy,Homo sapiens,IPR001356|IPR020479|IPR017970|IPR009057|IPR042634,imex:IM-25472|pubmed:32296183
Q6SPF0,Sterile alpha motif domain-containing protein 1,Homo sapiens,IPR001660|IPR013761|IPR056983|IPR048589,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7L0Y3,tRNA methyltransferase 10 homolog C,Homo sapiens,IPR028564|IPR038459|IPR025812|IPR007356,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z333,Helicase senataxin,Homo sapiens,IPR045055|IPR041679|IPR041677|IPR027417|IPR047187,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NFJ9,BBSome complex member BBS1,Homo sapiens,IPR028784|IPR032728|IPR056419|IPR011047,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96BD6,SPRY domain-containing SOCS box protein 1,Homo sapiens,IPR001870|IPR043136|IPR013320|IPR050672|IPR001496|IPR003877,imex:IM-25472|pubmed:32296183
Q96JB3,Hypermethylated in cancer 2 protein,Homo sapiens,IPR000210|IPR011333|IPR036236|IPR013087,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96KN3,Homeobox protein PKNOX2,Homo sapiens,IPR001356|IPR009057|IPR008422|IPR032453|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BQ90,Kelch domain-containing protein 3,Homo sapiens,IPR015915|IPR006652|IPR052637,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BX63,Fanconi anemia group J protein,Homo sapiens,IPR006555|IPR045028|IPR014013|IPR006554|IPR014001|IPR027417|IPR010614|IPR013020,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23,Homo sapiens,IPR025304|IPR004328|IPR038499|IPR029021|IPR000242|IPR016130|IPR003595|IPR000387,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H6U6,BCAS3 microtubule associated cell migration factor,Homo sapiens,IPR045142|IPR022175|IPR048382|IPR015943|IPR036322,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H792,Inactive tyrosine-protein kinase PEAK1,Homo sapiens,IPR011009|IPR051511|IPR000719|IPR008266,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NRG1,Phosphoribosyltransferase domain-containing protein 1,Homo sapiens,IPR050408|IPR005904|IPR029057|IPR000836,imex:IM-25472|pubmed:32296183
Q9NS37,CREB/ATF bZIP transcription factor,Homo sapiens,IPR004827|IPR046347,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NTJ4,Alpha-mannosidase 2C1,Homo sapiens,IPR054723|IPR011013|IPR041147|IPR011330|IPR011682|IPR015341|IPR037094|IPR000602|IPR027291|IPR028995,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NVV4,Poly(A) RNA polymerase, mitochondrial,Homo sapiens,IPR054708|IPR043519|IPR002058|IPR041252,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NWZ5,Uridine-cytidine kinase-like 1,Homo sapiens,IPR027417|IPR006083|IPR029057|IPR000836|IPR000764,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NX01,Thioredoxin-like protein 4B,Homo sapiens,IPR004123|IPR036249,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NXL9,DNA helicase MCM9,Homo sapiens,IPR003593|IPR031327|IPR058768|IPR001208|IPR041562|IPR033762|IPR012340|IPR027417,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UEY8,Gamma-adducin,Homo sapiens,IPR051017|IPR001303|IPR036409,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UH62,Armadillo repeat-containing X-linked protein 3,Homo sapiens,IPR011989|IPR006911|IPR016024|IPR000225|IPR051303,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UJA3,DNA helicase MCM8,Homo sapiens,IPR003593|IPR031327|IPR056875|IPR058767|IPR001208|IPR041562|IPR033762|IPR012340|IPR027417,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
intact:EBI-22617209
