Count;InterProID;pubmeds;Name;ShortDescription
154;IPR036034;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";PDZ superfamily;<p>PDZ domains (also known as Discs-large homologous regions (DHR) or GLGF)) are found in diverse signalling proteins in bacteria, yeasts, plants, insects and vertebrates [[cite:PUB00005049], [cite:PUB00000735]]. PDZ domains can occur in one or multiple copies and are nearly always found in cytoplasmic proteins. They bind either the carboxyl-terminal sequences of proteins or internal peptide sequences [[cite:PUB00000735]]. In most cases, interaction between a PDZ domain and its target is constitutive, with a binding affinity of 1 to 10 microns. However, agonist-dependent activation of cell surface receptors is sometimes required to promote interaction with a PDZ protein. PDZ domain proteins are frequently associated with the plasma membrane, a compartment where high concentrations of phosphatidylinositol 4,5-bisphosphate (PIP2) are found. Direct interaction between PIP2 and a subset of class II PDZ domains (syntenin, CASK, Tiam-1) has been demonstrated.</p>
148;IPR001478;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";PDZ domain;<p>PDZ domains (also known as Discs-large homologous regions (DHR) or GLGF)) are found in diverse signalling proteins in bacteria, yeasts, plants, insects and vertebrates [[cite:PUB00005049], [cite:PUB00000735]]. PDZ domains can occur in one or multiple copies and are nearly always found in cytoplasmic proteins. They bind either the carboxyl-terminal sequences of proteins or internal peptide sequences [[cite:PUB00000735]]. In most cases, interaction between a PDZ domain and its target is constitutive, with a binding affinity of 1 to 10 microns. However, agonist-dependent activation of cell surface receptors is sometimes required to promote interaction with a PDZ protein. PDZ domain proteins are frequently associated with the plasma membrane, a compartment where high concentrations of phosphatidylinositol 4,5-bisphosphate (PIP2) are found. Direct interaction between PIP2 and a subset of class II PDZ domains (syntenin, CASK, Tiam-1) has been demonstrated.</p>
28;IPR011993;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";PH-like domain superfamily;"<p>This superfamily represents the PH domain and structurally related domains.</p>

<p>Pleckstrin homology (PH) domains are small modular domains that occur in a large variety of signalling proteins, where they serve as simple targeting domains that bind lipids [[cite:PUB00014130], [cite:PUB00014131], [cite:PUB00057291]].</p>

<p>PH domains have a partly opened β-barrel topology that is capped by an α-helix. The structure of PH domains is similar to the phosphotyrosine-binding domain (PTB) found in IRS-1 (insulin receptor substrate 1) [[cite:PUB00000936]], Shc adaptor and Numb [[cite:PUB00018031]]; to the Ran-binding domain, found in Nup nuclear pore complex and Ranbp1 [[cite:PUB00006171]]; to the Enabled/VASP homology domain 1 (EVH1 domain), found in Enabled, VASP (vasodilator-stimulated phosphoprotein), Homer and WASP actin regulatory protein [[cite:PUB00018222]]; and to the third domain of FERM, found in moesin, radixin, ezrin, merlin and talin [[cite:PUB00029080]].</p>"
26;IPR001452;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";SH3 domain;"<p>SH3 (src Homology-3) domains are small protein modules containing approximately 50 amino acid residues [[cite:PUB00001025], [cite:PUB00007145]]. They are found in a great variety of intracellular or membrane-associated proteins [[cite:PUB00001644], [cite:PUB00005506], [cite:PUB00004203]] for example, in a variety of proteins with enzymatic activity, in adaptor proteins, such as fodrin and yeast actin binding protein ABP-1.</p>

<p>The SH3 domain has a characteristic fold which consists of five or six β-strands arranged as two tightly packed anti-parallel β-sheets. The linker regions may contain short helices. The surface of the SH3-domain bears a flat, hydrophobic ligand-binding pocket which consists of three shallow grooves defined by conservative aromatic residues in which the ligand adopts an extended left-handed helical arrangement. The ligand binds with low affinity but this may be enhanced by multiple interactions. The region bound by the SH3 domain is in all cases proline-rich and contains PXXP as a core-conserved binding motif. The function of the SH3 domain is not well understood but they may mediate many diverse processes such as increasing local concentration of proteins, altering their subcellular location and mediating the assembly of large multiprotein complexes [[cite:PUB00001031]].</p>; <p>The crystal structure of the SH3 domain of the cytoskeletal protein spectrin, and the solution structures of SH3 domains of phospholipase C (PLC-y) and phosphatidylinositol 3-kinase p85 alpha-subunit, have been determined [[cite:PUB00004135], [cite:PUB00000895], [cite:PUB00000887]]. In spite of relatively limited sequence similarity, their overall structures are similar. The domains belong to the α+β structural class, with five to eight β-strands forming 2 tightly-packed, anti-parallel β-sheets arranged in a barrel-like structure, and intervening loops sometimes forming helices. Conserved aliphatic and aromatic residues form a hydrophobic core (A11, L23, A29, V34, W42, L52 and V59 in PLC-y [[cite:PUB00000887]]) and a hydrophobic pocket on the molecular surface (L12, F13, W53 and P55 in PLC-y). The conserved core is believed to stabilise the fold, while the pocket is thought to serve as a binding site for target proteins. Conserved carboxylic amino acids located in the loops, on the periphery of the pocket (D14 and E22), may be involved in protein-protein interactions via proline-rich regions. The N- and C-terminal are packed in close proximity, indicating that they are independent structural modules.</p>"
26;IPR027417;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
26;IPR036028;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";SH3-like domain superfamily;"<p>SH3 (src Homology-3) domains are small protein modules containing approximately 50 amino acid residues [[cite:PUB00001025], [cite:PUB00007145]]. They are found in a great variety of intracellular or membrane-associated proteins [[cite:PUB00001644], [cite:PUB00005506], [cite:PUB00004203]] for example, in a variety of proteins with enzymatic activity, in adaptor proteins, such as fodrin and yeast actin binding protein ABP-1.</p>

<p>The SH3 domain has a characteristic fold which consists of five or six β-strands arranged as two tightly packed anti-parallel β-sheets. The linker regions may contain short helices. The surface of the SH3-domain bears a flat, hydrophobic ligand-binding pocket which consists of three shallow grooves defined by conservative aromatic residues in which the ligand adopts an extended left-handed helical arrangement. The ligand binds with low affinity but this may be enhanced by multiple interactions. The region bound by the SH3 domain is in all cases proline-rich and contains PXXP as a core-conserved binding motif. The function of the SH3 domain is not well understood but they may mediate many diverse processes such as increasing local concentration of proteins, altering their subcellular location and mediating the assembly of large multiprotein complexes [[cite:PUB00001031]].</p>; <p>The crystal structure of the SH3 domain of the cytoskeletal protein spectrin, and the solution structures of SH3 domains of phospholipase C (PLC-y) and phosphatidylinositol 3-kinase p85 alpha-subunit, have been determined [[cite:PUB00004135], [cite:PUB00000895], [cite:PUB00000887]]. In spite of relatively limited sequence similarity, their overall structures are similar. The domains belong to the α+β structural class, with five to eight β-strands forming 2 tightly-packed, anti-parallel β-sheets arranged in a barrel-like structure, and intervening loops sometimes forming helices. Conserved aliphatic and aromatic residues form a hydrophobic core (A11, L23, A29, V34, W42, L52 and V59 in PLC-y [[cite:PUB00000887]]) and a hydrophobic pocket on the molecular surface (L12, F13, W53 and P55 in PLC-y). The conserved core is believed to stabilise the fold, while the pocket is thought to serve as a binding site for target proteins. Conserved carboxylic amino acids located in the loops, on the periphery of the pocket (D14 and E22), may be involved in protein-protein interactions via proline-rich regions. The N- and C-terminal are packed in close proximity, indicating that they are independent structural modules.</p>"
24;IPR008144;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";Guanylate kinase-like domain;"<p>Guanylate kinase ([ec:2.7.4.8]) (GK) [[cite:PUB00003284]] catalyzes the ATP-dependent phosphorylation of GMP into GDP. It is essential for recycling GMP and indirectly, cGMP. In prokaryotes (such as Escherichia coli), lower eukaryotes (such as yeast) and in vertebrates, GK is a highly conserved monomeric protein of about 200 amino acids. GK has been shown [[cite:PUB00000870], [cite:PUB00001440], [cite:PUB00005396]] to be structurally similar to protein A57R (or SalG2R) from various strains of Vaccinia virus.</p>

<p>Proteins containing one or more copies of the DHR domain, an SH3 domain as well as a C-terminal GK-like domain, are collectively termed MAGUKs (membrane-associated guanylate kinase homologues) [[cite:PUB00003556]], and include Drosophila lethal(1)discs large-1 tumor suppressor protein (gene dlg1); mammalian tight junction protein Zo-1; a family of mammalian synaptic proteins that seem to interact with the cytoplasmic tail of NMDA receptor subunits (SAP90/PSD-95, CHAPSYN-110/PSD-93, SAP97/DLG1 and SAP102); vertebrate 55kDa erythrocyte membrane protein (p55); Caenorhabditis elegans protein lin-2; rat protein CASK; and human proteins DLG2 and DLG3.</p>

<p>There is an ATP-binding site (P-loop) in the N-terminal section of GK, which is not conserved in the GK-like domain of the above proteins. However these proteins retain the residues known, in GK, to be involved in the binding of GMP.</p>"
24;IPR008145;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";Guanylate kinase/L-type calcium channel beta subunit;"<p>This entry represents a domain found in guanylate kinase ([ec:2.7.4.8]) and in L-type calcium channel.</p>
<p>Guanylate kinase ([ec:2.7.4.8]) (GK) [[cite:PUB00003284]] catalyzes the ATP-dependent phosphorylation of GMP into GDP. It is essential for recycling GMP and indirectly, cGMP. In prokaryotes (such as Escherichia coli), lower eukaryotes
(such as yeast) and in vertebrates, GK is a highly conserved monomeric protein of about 200 amino acids. GK has been shown [[cite:PUB00000870], [cite:PUB00001440], [cite:PUB00005396]] to be structurally similar to protein A57R (or SalG2R) from various strains of Vaccinia virus.</p>
<p>L-type calcium channnels are formed from different alpha-1 subunit isoforms that determine the pharmacological properties of the channel, since they form the drug binding domain. Other properties, such as gating voltage-dependence, G protein modulation and kinase susceptibility, are influenced by alpha-2, delta and beta subunits.</p>"
20;IPR004172;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";L27 domain;"<p>The L27 domain is a ~50-amino acid module, initially identified in the Lin-2 and Lin-7 proteins, that exists in a large family of animal scaffold proteins [[cite:PUB00018473]]. The L27 domain is a specific protein-protein interaction module capable of forming heteromeric complexes that can integrate multiple scaffold proteins into supramolecular assemblies required for establishment and maintenance of cell polarity. The L27 domain can be found as a single occurrence or as a duplication in association with other domains such as PDZ, SH3, the guanylate kinase domain or the serine/threonine protein kinase domain.</p>

<p>The main features of the L27 domain are conserved negatively charged residues and a conserved aromatic amino acid [[cite:PUB00018473]]. Study of individual L27 domains revealed largely unfolded domains that require the formation of obligate heterodimers to achieve well-folded structures. Each L27 domain is composed of three helices. The two L27 domains heterodimerize by building a compact structure consisting of a four-helix bundle formed by the first two helices of each L27 domain and one coiled-coil formed by the third helix of each domain [[cite:PUB00018474], [cite:PUB00018475]].</p>"
20;IPR036892;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";L27 domain superfamily;"<p>The L27 domain is a ~50-amino acid module, initially identified in the Lin-2 and Lin-7 proteins, that exists in a large family of animal scaffold proteins [[cite:PUB00018473]]. The L27 domain is a specific protein-protein interaction module capable of forming heteromeric complexes that can integrate multiple scaffold proteins into supramolecular assemblies required for establishment and maintenance of cell polarity. The L27 domain can be found as a single occurrence or as a duplication in association with other domains such as PDZ, SH3, the guanylate kinase domain or the serine/threonine protein kinase domain.</p>

<p>The main features of the L27 domain are conserved negatively charged residues and a conserved aromatic amino acid [[cite:PUB00018473]]. Study of individual L27 domains revealed largely unfolded domains that require the formation of obligate heterodimers to achieve well-folded structures. Each L27 domain is composed of three helices. The two L27 domains heterodimerize by building a compact structure consisting of a four-helix bundle formed by the first two helices of each L27 domain and one coiled-coil formed by the third helix of each domain [[cite:PUB00018474], [cite:PUB00018475]].</p>"
