O14880,Glutathione S-transferase 3, mitochondrial,Homo sapiens,IPR050997|IPR023352|IPR001129,imex:IM-26301|pubmed:29568061
P02829,ATP-dependent molecular chaperone HSP82,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR036890|IPR003594|IPR019805|IPR037196|IPR001404|IPR020575|IPR020568,pubmed:15766533
P06748,Nucleophosmin,Homo sapiens,IPR032569|IPR004301|IPR024057|IPR036824,imex:IM-30059|pubmed:39251607
P09435,Heat shock protein SSA3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P10591,Heat shock protein SSA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P10809,60 kDa heat shock protein, mitochondrial,Homo sapiens,IPR018370|IPR001844|IPR002423|IPR027409|IPR027413|IPR027410,imex:IM-26301|pubmed:29568061
P11142,Heat shock cognate 71 kDa protein,Homo sapiens,IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P11484,Ribosome-associated molecular chaperone SSB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P15108,ATP-dependent molecular chaperone HSC82,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR036890|IPR003594|IPR019805|IPR037196|IPR001404|IPR020575|IPR020568,pubmed:19536198
P32589,Heat shock protein homolog SSE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P34932,Heat shock 70 kDa protein 4,Homo sapiens,IPR043129|IPR018181|IPR029048|IPR029047|IPR013126|IPR042052,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P36639-2,Isoform p22 of Oxidized purine nucleoside triphosphate hydrolase,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
P38788,Ribosome-associated complex subunit SSZ1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR029047|IPR013126,pubmed:19536198
P57721,Poly(rC)-binding protein 3,Homo sapiens,IPR004087|IPR004088|IPR036612,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P78371,T-complex protein 1 subunit beta,Homo sapiens,IPR012716|IPR017998|IPR002194|IPR002423|IPR027409|IPR027413|IPR027410|IPR053374,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q13228,Methanethiol oxidase,Homo sapiens,IPR008826,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q15118,[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial,Homo sapiens,IPR036784|IPR018955|IPR039028|IPR036890|IPR003594|IPR005467,imex:IM-26301|pubmed:29568061
Q6P587,Oxaloacetate tautomerase FAHD1, mitochondrial,Homo sapiens,IPR011234|IPR036663,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8TBB1,E3 ubiquitin-protein ligase LNX,Homo sapiens,IPR001478|IPR051342|IPR036034|IPR018957|IPR001841|IPR013083|IPR017907,imex:IM-23318|pubmed:25416956
Q8WWK9,Cytoskeleton-associated protein 2,Homo sapiens,IPR029197|IPR026165,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BVS5,tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial,Homo sapiens,IPR029063|IPR054151|IPR049470|IPR014816,imex:IM-26301|pubmed:29568061
Q9HAH1,Zinc finger protein 556,Homo sapiens,IPR001909|IPR036051|IPR050758|IPR036236|IPR013087,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NQX0,Putative histone-lysine N-methyltransferase PRDM6,Homo sapiens,IPR044416|IPR001214|IPR046341|IPR050331|IPR036236|IPR013087,imex:IM-25472|pubmed:32296183
chebi:"CHEBI:15414"
intact:EBI-16769503
