#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR036901;IPR006131 AND Category=AF4;
4_1	AF4	A0A7J6WXD7-F1	Rue-anemone	77.7	Aspartate carbamoyltransferase (EC 2.1.3.2)	IPR002082,IPR006130,IPR006131,IPR006132,IPR036901	FRX31_008300
3_1	AF4	F0BJ64-F1	Xanthomonas vesicatoria	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XVE_4322
3_1	AF4	A0A1W1GTL6-F1	Stenotrophomonas indicatrix	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SAMN04488690_0375
3_1	AF4	A0A0S2FSM1-F1	Lysobacter capsici	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF argF' LC55x_3309
3_1	AF4	A0A2S7B6X4-F1	Xanthomonas arboricola pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XaplCFBP3123_07940
3_1	AF4	A0A2J0TWK2-F1	Pseudomonas maltophilia	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' B9Y66_03845 B9Y72_12425
3_1	AF4	A0A3Q8F974-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' C1929_14160
3_1	AF4	A0A7C7F2Z2-F1	Xanthomonas vasicola pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' HH294_11145
3_1	AF4	A0A6N7NQJ3-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' GIJ70_07250
3_1	AF4	A0A291A2R7-F1	Lysobacter capsici	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' CNO08_14890
3_1	AF4	A0A7X9USN6-F1	Xanthomonas campestris pv. citri	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' E1J22_10195
3_1	AF4	A0A836ZT60-F1	Xanthomonas vasicola pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' A11K_0107015
3_1	AF4	A0A5D8Z8F8-F1	Lysobacter lacus	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FW784_02855
3_1	AF4	A0A2P5Z0J8-F1	Xanthomonas sacchari	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XsacCFBP4641_16355
3_1	AF4	A0A290XE10-F1	Luteimonas chenhongjianii	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' CNR27_08000
3_1	AF4	A0A7W7KVF4-F1	Xanthomonas euvesicatoria	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FHY31_000793
3_1	AF4	A0A1E4KJX2-F1	Xanthomonadaceae bacterium	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ABS98_13985
3_1	AF4	A0A2K9IR38-F1	Xanthomonas oryzae pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EBA04_12595
3_1	AF4	A0A2M9ET92-F1	Xanthomonadaceae bacterium	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' CO613_05935
3_1	AF4	A0A7X0KQM2-F1	Xanthomonas sacchari	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FHR56_001479
3_1	AF4	A0A2S6ZD46-F1	Xanthomonas theicola	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XthCFBP4691_13850
3_1	AF4	A0A2W6J7J1-F1	Pseudomonas maltophilia	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' A7X83_07850
3_1	AF4	A0A0G8WCA0-F1	Xanthomonas perforans	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' BJD13_04640 G3W61_08380
3_1	AF4	A0A5C5U795-F1	Luteimonas wenzhouensis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FQY79_00300
3_1	AF4	A0A7W5J1Q1-F1	Pseudoxanthomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FHW78_000510
3_1	AF4	A0A2S7C8Q2-F1	Xanthomonas dyei	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XdyCFBP7245_04925
3_1	AF4	A0A3M8T6Z8-F1	Lysobacter psychrotolerans	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EER27_03125
3_1	AF4	A0A4R7UMK2-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' N440_2311
3_1	AF4	A0A7W9QKN0-F1	Xanthomonas arboricola	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' GGR64_000202
3_1	AF4	A0A7W3YU48-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' H4O09_06090
3_1	AF4	A0A0R0CWP1-F1	Pseudoxanthomonas dokdonensis	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ABB29_03615
3_1	AF4	A0A7Y9MN91-F1	Xanthomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' HDC36_000353
3_1	AF4	A0A0R0ACQ8-F1	Stenotrophomonas pictorum	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ARC78_08395
3_1	AF4	A0A7L8CWI4-F1	Lysobacter sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' H2514_08775
3_1	AF4	A0A1D8Y6U4-F1	Stenotrophomonas sp	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' BIZ42_03290
3_1	AF4	A0A5E8KX95-F1	Xanthomonas oryzae	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ADT27_04290
3_1	AF4	A0A7Z0QSH0-F1	Luteimonas deserti	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' H0E82_14930
3_1	AF4	A0A2N9D9Z0-F1	Xanthomonas arboricola pv	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF argF' LMG19146_02342
3_1	AF4	A0A4U5JU24-F1	Luteimonas gilva	98.8	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FCE95_01470
