protein_accession,protein_name,protein_length,gene,organism_taxid,organism_name,organism_fullname,in_alphafold,interpro_accession,entry_type,entry_integrated,interpro_protein_length,fragment_start,fragment_end,fragment_status
A0A016TCK7,Uncharacterized protein,1221,Acey_s0113.g351,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR013649,domain,,1221,467,638,CONTINUOUS
A0A016TDC7,Uncharacterized protein,1134,Acey_s0113.g351,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR013649,domain,,1134,380,551,CONTINUOUS
A0A016WGQ9,Uncharacterized protein,1174,Acey_s0682.g1489,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR013649,domain,,1174,519,686,CONTINUOUS
A0A016WH86,Uncharacterized protein,1157,Acey_s0682.g1489,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR013649,domain,,1157,502,669,CONTINUOUS
A0A016WHB2,Uncharacterized protein,1135,Acey_s0682.g1489,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR013649,domain,,1135,502,669,CONTINUOUS
A0A016WIA3,Uncharacterized protein,1152,Acey_s0682.g1489,53326,Ancylostoma ceylanicum,Ancylostoma ceylanicum,True,IPR013649,domain,,1152,519,686,CONTINUOUS
A0A023EWP9,Putative vitronectin receptor alpha subunit,1111,,7160,Aedes albopictus,Aedes albopictus (Asian tiger mosquito),False,IPR013649,domain,,1111,479,642,CONTINUOUS
A0A023F1M7,Putative vitronectin receptor alpha subunit,1940,,30076,Triatoma infestans,Triatoma infestans (Assassin bug),False,IPR013649,domain,,1940,397,554,CONTINUOUS
A0A026VUY3,Integrin alpha-PS1,1107,X777_04206,2015173,Ooceraea biroi,Ooceraea biroi (Clonal raider ant),True,IPR013649,domain,,1107,496,648,CONTINUOUS
A0A026WUK0,Integrin alpha-PS2,1413,X777_14958,2015173,Ooceraea biroi,Ooceraea biroi (Clonal raider ant),False,IPR013649,domain,,1413,261,410,CONTINUOUS
