A2A935,Histone-lysine N-methyltransferase PRDM16,Mus musculus,IPR044410|IPR001214|IPR046341|IPR050331|IPR036236|IPR013087,doi:10.1093/nar/gky1192|imex:IM-26659|intact:EBI-20976136|pubmed:30462309
A8E124,Brak nazwy,Spinacia oleracea,IPR027367|IPR001841|IPR013083,doi:10.1073/pnas.0800909105|imex:IM-9383|intact:EBI-15710767|pubmed:18567673
B5X533,Brak nazwy,Drosophila melanogaster,IPR011042|IPR050778|IPR000742|IPR001881|IPR018097|IPR009030|IPR036055|IPR023415|IPR000033|IPR002172|IPR049883,imex:IM-28761|intact:EBI-26687448|pubmed:37061542
C6KT55,Brak nazwy,Plasmodium falciparum (isolate 3D7),IPR016641|IPR044034|IPR038187|IPR002715,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
O00410,Importin-5,Homo sapiens,IPR011989|IPR016024|IPR000357|IPR058584|IPR001494|IPR040122|IPR041653|IPR040928|IPR041389|IPR034085|IPR057672,imex:IM-30001|intact:EBI-52315730|pubmed:35271311
O15078,Centrosomal protein of 290 kDa,Homo sapiens,IPR032321|IPR026201,imex:IM-24512|pubmed:26638075
O15209,Zinc finger and BTB domain-containing protein 22,Homo sapiens,IPR000210|IPR011333|IPR036236|IPR013087|IPR050457,imex:IM-24995|pubmed:27107014
P02557,Tubulin beta chain,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR013838|IPR002453|IPR008280|IPR000217|IPR037103|IPR018316|IPR036525|IPR023123|IPR017975|IPR003008,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P02751,Fibronectin,Homo sapiens,IPR050991|IPR000083|IPR003961|IPR036116|IPR000562|IPR036943|IPR013783|IPR013806,imex:IM-14135|pubmed:19738201
P03372,Estrogen receptor,Homo sapiens,IPR024178|IPR001292|IPR046944|IPR035500|IPR000536|IPR050200|IPR001723|IPR024736|IPR001628|IPR013088,imex:IM-26954|pubmed:31527615
P04397,Bifunctional protein GAL10,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR018052|IPR008183|IPR011013|IPR047215|IPR014718|IPR016040|IPR036291|IPR005886,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P04798,Cytochrome P450 1A1,Homo sapiens,IPR001128|IPR017972|IPR002401|IPR008066|IPR036396,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
