ID	Length	pLDDT	Domain architecture	Taxonomy	Dominating topology	Dom. top. frequency
A0A819VNJ7	895	81,05	PF14833;PF03446;PF08487;PF13768;	Rotaria sp. Silwood2	6_3	0,85
A0A817RFB0	910	80,01	PF14833;PF03446;PF08487;PF13768;	Rotaria sp. Silwood2	6_3	0,85
A0A817IDK0	910		PF14833;PF03446;PF08487;PF13768;	Rotaria sp. Silwood2	6_3	0,78
A0A1A3BUS5	931	79,19	PF14257;PF08487;PF13768;	Mycobacterium asiaticum	6_3	0,96
A0A3S0Z1Y3	950	79,88	PF14257;PF08487;PF13768;	Mycobacterium sp	6_3	0,88
A0A7I7MNH3	916	79,14	PF14257;PF08487;PF13768;	Mycobacterium shinjukuense	6_3	0,86
A0A1X2E0B5	976	77,94	PF14257;PF08487;PF13768;	Mycobacterium sp. IEC1808	6_3	0,86
A0A5B1BEP4	970	77,41	PF14257;PF08487;PF13768;	Mycobacterium simiae (Mycobacterium habana)	6_3	0,86
A0A7I7LIG8	983	76,38	PF14257;PF08487;PF13768;	Mycobacterium shottsii	6_3	0,86
X7ZI37	963		PF14257;PF08487;PF13768;	Mycobacterium kansasii 662	6_3	0,86
A0A1W9ZY13	952	79,28	PF14257;PF08487;PF13768;	Mycobacterium angelicum	6_3	0,85
A0A1A3KN96	931	79,82	PF14257;PF08487;PF13768;	Mycobacterium asiaticum	6_3	0,84
A0A0Q2LI62	958	78,07	PF14257;PF08487;PF13768;	Mycobacterium gordonae	6_3	0,84
A0A1A3B352	972	76,79	PF14257;PF08487;PF13768;	Mycobacterium sp. E796	6_3	0,84
A0A1A3QJY3	980	78,44	PF14257;PF08487;PF13768;	Mycobacterium sp. 1081908.1	6_3	0,83
A0A1X1TQC5	961	78,7	PF14257;PF08487;PF13768;	Mycobacterium conspicuum	6_3	0,81
A0A653EJ66	963	77,45	PF14257;PF08487;PF13768;	Mycobacterium kansasii	6_3	0,8
A0A7I9YSD7	982	76,81	PF14257;PF08487;PF13768;	Mycobacterium bourgelatii	6_3	0,8
A0A1X2EHY6	952	78,77	PF14257;PF08487;PF13768;	Mycobacterium szulgai	6_3	0,79
A0A1X2LRP4	938	78,46	PF14257;PF08487;PF13768;	Mycobacterium decipiens	6_3	0,79
A0A1A6BL08	956	77,77	PF14257;PF08487;PF13768;	Mycobacterium gordonae	6_3	0,79
A0A1A0LBL1	976	77,34	PF14257;PF08487;PF13768;	Mycobacterium sp. 1554424.7	6_3	0,79
A0A1E3SFE9	985	76,38	PF14257;PF08487;PF13768;	Mycobacterium intermedium	6_3	0,79
A0A1A2XB54	980	78,21	PF14257;PF08487;PF13768;	Mycobacterium sp. E2327	6_3	0,76
B2HK18	983	77,01	PF14257;PF08487;PF13768;	Mycobacterium marinum (strain ATCC BAA-535 / M)	6_3	0,76
A0A386U800	954	76,73	PF14257;PF08487;PF13768;	Mycobacterium paragordonae	6_3	0,76
U5WKY5	963	77,34	PF14257;PF08487;PF13768;	Mycobacterium kansasii ATCC 12478	6_3	0,75
A0A2Z5YI52	983	76,15	PF14257;PF08487;PF13768;	Mycobacterium marinum	6_3	0,75
A0A1A3NG14	931	79,52	PF14257;PF08487;PF13768;	Mycobacterium asiaticum	6_3	0,74
A0PRV7	981	77,19	PF14257;PF08487;PF13768;	Mycobacterium ulcerans (strain Agy99)	6_3	0,74
A0A1A1ZI31	953	77,85	PF14257;PF08487;PF13768;	Mycobacterium sp. 852002-50816_SCH5313054-b	6_3	0,73
A0A498PGP7	951	76,84	PF14257;PF08487;PF13768;	Mycobacterium persicum	6_3	0,72
A0A1X1V994	956	78,29	PF14257;PF08487;PF13768;	Mycobacterium gordonae	6_3	0,7
A0A3S4BJG6	964	77,86	PF14257;PF08487;PF13768;	Mycobacterium basiliense	6_3	0,7
A0A1X1W1N5	965	76,76	PF14257;PF08487;PF13768;	Mycobacterium gastri	6_3	0,69
A0A1A3A2L9	978	76,27	PF14257;PF08487;PF13768;	Mycobacterium sp. E787	6_3	0,69
A0A4R5WUV8	954	78,44	PF14257;PF08487;PF13768;	Mycobacterium paragordonae	6_3	0,68
A0A498QWP8	987	76,18	PF14257;PF08487;PF13768;	Mycobacterium pseudokansasii	6_3	0,68
A0A498Q3V9	972	75,82	PF14257;PF08487;PF13768;	Mycobacterium attenuatum	6_3	0,68
A0A1X1U3R0	1008	74,89	PF14257;PF08487;PF13768;	Mycobacterium florentinum	6_3	0,68
A0A1X2BKA7	989	76,29	PF14257;PF08487;PF13768;	Mycobacterium saskatchewanense	6_3	0,62
A0A1A2HEB3	984	75,98	PF14257;PF08487;PF13768;	Mycobacterium sp. E3198	6_3	0,61
A0A7V4GDF6	983	75,74	PF13180;PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,78
A0A7X9IXT9	928	71,68	PF13180;PF08487;PF13768;	Myxococcales bacterium	6_3	0,7
A0A7V4LE65	931		PF13180;PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,6
A0A3A4N884	805	79,67	PF12796;PF08487;PF13768;	Candidatus Abyssubacteria bacterium SURF_5	6_3	0,85
