A0A0B4J274,T cell receptor alpha variable 20,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013106|IPR051006,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A0ABM2Y8P8,Integrin beta,Mesocricetus auratus,IPR013111|IPR040622|IPR057073|IPR033760|IPR015812|IPR014836|IPR012896|IPR036349|IPR002369|IPR032695|IPR057243|IPR016201|IPR036465,imex:IM-25819|pubmed:24789099
A1L157,Tetraspanin-11,Homo sapiens,IPR018499|IPR000301|IPR008952,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
A6H8M9,Cadherin-related family member 4,Homo sapiens,IPR050971|IPR002126|IPR015919|IPR020894,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6NFA1,Metalloprotease TIKI2,Homo sapiens,IPR040230|IPR002816,imex:IM-29698|pubmed:36994853
A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,Homo sapiens,IPR036179|IPR013783|IPR050412|IPR003599|IPR003598,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A6Y878,Genome polyprotein,Foot-and-mouth disease virus A,IPR037080|IPR043502|IPR004080|IPR004004|IPR000605|IPR014759|IPR027417|IPR038765|IPR044067|IPR008739|IPR000199|IPR009003|IPR043504|IPR001676|IPR043128|IPR033703|IPR001205|IPR007094|IPR029053,imex:IM-29184|pubmed:28534487
B9A064,Immunoglobulin lambda-like polypeptide 5,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003006|IPR003597|IPR050160,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
H3BSK8,Brak nazwy,Homo sapiens,IPR033489|IPR003613|IPR025829|IPR001878|IPR036875|IPR001841|IPR013083,imex:IM-24272|pubmed:26496610
H7BYY1,Brak nazwy,Homo sapiens,IPR000533|IPR014751,imex:IM-24272|pubmed:26496610
O00182,Galectin-9,Homo sapiens,IPR013320|IPR044156|IPR001079,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00214,Galectin-8,Homo sapiens,IPR013320|IPR044156|IPR001079,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O00626,C-C motif chemokine 22,Homo sapiens,IPR039809|IPR000827|IPR001811|IPR036048,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O14498,Immunoglobulin superfamily containing leucine-rich repeat protein,Homo sapiens,IPR000483|IPR007110|IPR036179|IPR013783|IPR003598|IPR001611|IPR003591|IPR032675,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14649,Potassium channel subfamily K member 3,Homo sapiens,IPR003280|IPR003092|IPR013099|IPR005406,imex:IM-29540|pubmed:36012204
O14931,Natural cytotoxicity triggering receptor 3,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003599|IPR013106|IPR043226,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14967,Calmegin,Homo sapiens,IPR001580|IPR018124|IPR009033|IPR013320,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15143,Actin-related protein 2/3 complex subunit 1B,Homo sapiens,IPR017383|IPR015943|IPR036322|IPR001680,imex:IM-24272|pubmed:26496610
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Homo sapiens,IPR037919|IPR029489|IPR011990|IPR019734,imex:IM-24272|pubmed:26496610
