A1L0T0,2-hydroxyacyl-CoA lyase 2,Homo sapiens,IPR029035|IPR029061|IPR012000|IPR012001|IPR000399|IPR045229|IPR011766,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
B2RNN3,Complement C1q and tumor necrosis factor-related protein 9B,Homo sapiens,IPR001073|IPR008160|IPR050392|IPR008983,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O15460,Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,IPR005123|IPR013547|IPR045054|IPR006620|IPR044862|IPR011990|IPR059068|IPR019734,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O43824,Putative GTP-binding protein 6,Homo sapiens,IPR030394|IPR006073|IPR032305|IPR016496|IPR025121|IPR042108|IPR027417,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75556,Mammaglobin-B,Homo sapiens,IPR016126|IPR035960,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75564,Jerky protein homolog,Homo sapiens,IPR050863|IPR004875|IPR009057|IPR006600|IPR007889,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75636,Ficolin-3,Homo sapiens,IPR036056|IPR014716|IPR002181|IPR050373|IPR020837,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O76061,Stanniocalcin-2,Homo sapiens,IPR004978,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O94763,Unconventional prefoldin RPB5 interactor 1,Homo sapiens,IPR009053|IPR004127|IPR052255,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95711,Lymphocyte antigen 86,Homo sapiens,IPR014756|IPR039945|IPR003172,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95969,Secretoglobin family 1D member 2,Homo sapiens,IPR016126|IPR035960,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01308,Insulin,Homo sapiens,IPR022352|IPR004825|IPR016179|IPR036438|IPR022353,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P01857,Immunoglobulin heavy constant gamma 1,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003006|IPR003597|IPR050380,imex:IM-28585|pubmed:20423149
P01876,Immunoglobulin heavy constant alpha 1,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003006|IPR003597|IPR050380|IPR013151,imex:IM-28585|pubmed:20423149
P02747,Complement C1q subcomponent subunit C,Homo sapiens,IPR001073|IPR008160|IPR050392|IPR008983,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02768,Albumin,Homo sapiens,IPR000264|IPR020858|IPR021177|IPR020857|IPR014760,imex:IM-19123|pubmed:15174051
P04085,Platelet-derived growth factor subunit A,Homo sapiens,IPR029034|IPR023581|IPR000072|IPR006782,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04090,Prorelaxin H2,Homo sapiens,IPR022352|IPR016179|IPR036438|IPR022353|IPR022421|IPR051042,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04808,Prorelaxin H1,Homo sapiens,IPR022352|IPR016179|IPR036438|IPR022353|IPR022421|IPR051042,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06733,Alpha-enolase,Homo sapiens,IPR000941|IPR036849|IPR029017|IPR020810|IPR020809|IPR020811,imex:IM-16425|pubmed:23414517
P08253,72 kDa type IV collagenase,Homo sapiens,IPR000562|IPR036943|IPR000585|IPR036375|IPR018487|IPR018486|IPR013806|IPR033739|IPR024079|IPR001818|IPR021190|IPR021158|IPR006026|IPR036365,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09681,Gastric inhibitory polypeptide,Homo sapiens,IPR039078|IPR000532,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P09919,Granulocyte colony-stimulating factor,Homo sapiens,IPR009079|IPR040117|IPR030474|IPR030473,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0C862,Complement C1q and tumor necrosis factor-related protein 9A,Homo sapiens,IPR001073|IPR008160|IPR050392|IPR008983,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0CG47,Polyubiquitin-B,Homo sapiens,IPR000626|IPR029071|IPR019954|IPR019956|IPR050158,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11464,Pregnancy-specific beta-1-glycoprotein 1,Homo sapiens,IPR050831|IPR007110|IPR036179|IPR013783|IPR003599|IPR003598|IPR013106,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11908,Ribose-phosphate pyrophosphokinase 2,Homo sapiens,IPR000842|IPR029099|IPR029057|IPR000836|IPR005946|IPR037515,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13569,Cystic fibrosis transmembrane conductance regulator,Homo sapiens,IPR003593|IPR011527|IPR036640|IPR003439|IPR017871|IPR050173|IPR009147|IPR047082|IPR025837|IPR027417,imex:IM-12000|pubmed:17110338
P13674,Prolyl 4-hydroxylase subunit alpha-1,Homo sapiens,IPR005123|IPR013547|IPR045054|IPR006620|IPR044862|IPR011990|IPR059068|IPR019734,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P14780,Matrix metalloproteinase-9,Homo sapiens,IPR000562|IPR036943|IPR000585|IPR036375|IPR018487|IPR018486|IPR013806|IPR033739|IPR024079|IPR001818|IPR021190|IPR021158|IPR006026|IPR036365,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P17050,Alpha-N-acetylgalactosaminidase,Homo sapiens,IPR013785|IPR017853|IPR002241|IPR000111|IPR013780|IPR035373,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P18433,Receptor-type tyrosine-protein phosphatase alpha,Homo sapiens,IPR029021|IPR050348|IPR000242|IPR016130|IPR003595|IPR000387|IPR016336|IPR027262,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P18847,Cyclic AMP-dependent transcription factor ATF-3,Homo sapiens,IPR000837|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
P25067,Collagen alpha-2(VIII) chain,Homo sapiens,IPR001073|IPR008160|IPR050392|IPR008983,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P29459,Interleukin-12 subunit alpha,Homo sapiens,IPR009079|IPR050676|IPR004281,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P30837,Aldehyde dehydrogenase family 1 member B1, mitochondrial,Homo sapiens,IPR016161|IPR016163|IPR016160|IPR029510|IPR016162|IPR015590,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P32119,Peroxiredoxin-2,Homo sapiens,IPR000866|IPR050217|IPR024706|IPR019479|IPR036249|IPR013766,imex:IM-25054|pubmed:27173435|pubmed:unassigned1312
P35221,Catenin alpha-1,Homo sapiens,IPR036723|IPR001033|IPR006077|IPR000633,imex:IM-30532|pubmed:38884001
P35968,Vascular endothelial growth factor receptor 2,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR013151|IPR011009|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635|IPR001824|IPR041348|IPR055229|IPR055238|IPR009136,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P36888,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013151|IPR011009|IPR000719|IPR017441|IPR050122|IPR001245|IPR008266|IPR020635|IPR001824,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P40424,Pre-B-cell leukemia transcription factor 1,Homo sapiens,IPR001356|IPR017970|IPR009057|IPR008422|IPR005542|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40425,Pre-B-cell leukemia transcription factor 2,Homo sapiens,IPR001356|IPR017970|IPR009057|IPR008422|IPR005542|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40426,Pre-B-cell leukemia transcription factor 3,Homo sapiens,IPR001356|IPR017970|IPR009057|IPR008422|IPR005542|IPR050224,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P40933,Interleukin-15,Homo sapiens,IPR009079|IPR020439|IPR003443|IPR020466,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
