protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A066UH16	DUF4253 domain-containing protein	253	DV20_03285	287986	Amycolatopsis rifamycinica	Amycolatopsis rifamycinica	True	IPR025349	domain		253	145	252	CONTINUOUS	DUF4253
A0A066YRT1	DUF4253 domain-containing protein	286	KCH_74260	1348663	Kitasatospora cheerisanensis KCTC 2395	Kitasatospora cheerisanensis KCTC 2395	True	IPR025349	domain		286	178	286	CONTINUOUS	DUF4253
A0A073B6G7	DUF4253 domain-containing protein	278	GU90_17185	28042	Saccharopolyspora rectivirgula	Saccharopolyspora rectivirgula	True	IPR025349	domain		278	170	278	CONTINUOUS	DUF4253
A0A075UT55	DUF4253 domain-containing protein	251	AJAP_02370	208439	Amycolatopsis japonica	Amycolatopsis japonica	True	IPR025349	domain		251	143	250	CONTINUOUS	DUF4253
A0A076N5B7	DUF4253 domain-containing protein	258	AMETH_6414	1068978	Amycolatopsis methanolica 239	Amycolatopsis methanolica 239	True	IPR025349	domain		258	150	258	CONTINUOUS	DUF4253
A0A096CFK2	Uncharacterized protein	1868	HMPREF9460_03502	742738	Flavonifractor plautii 1_3_50AFAA	Flavonifractor plautii 1_3_50AFAA	False	IPR025349	domain		1868	1761	1868	CONTINUOUS	DUF4253
A0A098TI24	DUF4253 domain-containing protein	132	DO97_11375	1497020	Neosynechococcus sphagnicola sy1	Neosynechococcus sphagnicola sy1	True	IPR025349	domain		132	3	132	CONTINUOUS	DUF4253
A0A099D8H0	DUF4253 domain-containing protein	281	IL38_05645	414996	Actinopolyspora erythraea	Actinopolyspora erythraea	True	IPR025349	domain		281	173	281	CONTINUOUS	DUF4253
A0A0A0BSF1	DUF4253 domain-containing protein	299	N868_08645	947969	Cellulomonas carbonis T26	Cellulomonas carbonis T26	True	IPR025349	domain		299	197	299	CONTINUOUS	DUF4253
A0A0A6UI00	DUF4253 domain-containing protein	246	MB27_25230	1869	Actinoplanes utahensis	Actinoplanes utahensis	True	IPR025349	domain		246	138	246	CONTINUOUS	DUF4253
A0A0A6UWH3	DUF4253 domain-containing protein	279	MB27_03835	1869	Actinoplanes utahensis	Actinoplanes utahensis	True	IPR025349	domain		279	178	275	CONTINUOUS	DUF4253
A0A0A8X4J6	DUF4253 domain-containing protein	201	SAMD00020551_3039	1321606	Mesobacillus selenatarsenatis (strain DSM 18680 / JCM 14380 / FERM P-15431 / SF-1)	Mesobacillus selenatarsenatis (strain DSM 18680 / JCM 14380 / FERM P-15431 / SF-1)	True	IPR025349	domain		201	96	201	CONTINUOUS	DUF4253
A0A0B5DPC7	DUF4253 domain-containing protein	270	SNOD_18970	40318	Streptomyces nodosus	Streptomyces nodosus	True	IPR025349	domain		270	160	270	CONTINUOUS	DUF4253
A0A0D0PT73	DUF4253 domain-containing protein	286	TR51_18125	2064	Kitasatospora griseola	Kitasatospora griseola	True	IPR025349	domain		286	178	286	CONTINUOUS	DUF4253
A0A0D0X2R6	DUF4253 domain-containing protein	265	TK50_08270	686309	Micromonospora haikouensis	Micromonospora haikouensis	True	IPR025349	domain		265	157	265	CONTINUOUS	DUF4253
A0A0D8IXC1	Knr4/Smi1-like domain-containing protein	1829	TQ39_12910	1550024	Ruthenibacterium lactatiformans	Ruthenibacterium lactatiformans	False	IPR025349	domain		1829	1724	1829	CONTINUOUS	DUF4253
A0A0F0GLV7	DUF4253 domain-containing protein	241	UK23_29885	68170	Lentzea aerocolonigenes	Lentzea aerocolonigenes (Lechevalieria aerocolonigenes)	True	IPR025349	domain		241	130	241	CONTINUOUS	DUF4253
A0A0F6YGV3	DUF4253 domain-containing protein	305	DB32_002259	927083	Sandaracinus amylolyticus	Sandaracinus amylolyticus	True	IPR025349	domain		305	195	300	CONTINUOUS	DUF4253
A0A0G3GX97	DUF4253 domain-containing protein	251	CMUST_03955	571915	Corynebacterium mustelae	Corynebacterium mustelae	True	IPR025349	domain		251	145	251	CONTINUOUS	DUF4253
A0A0G3GXG5	DUF4253 domain-containing protein	264	CMUST_07625	571915	Corynebacterium mustelae	Corynebacterium mustelae	True	IPR025349	domain		264	158	264	CONTINUOUS	DUF4253
A0A0G3H1J3	DUF4253 domain-containing protein	264	CMUST_06690	571915	Corynebacterium mustelae	Corynebacterium mustelae	True	IPR025349	domain		264	158	264	CONTINUOUS	DUF4253
A0A0G3H663	DUF4253 domain-containing protein	270	CMUST_15245	571915	Corynebacterium mustelae	Corynebacterium mustelae	True	IPR025349	domain		270	167	270	CONTINUOUS	DUF4253
A0A0G4K540	DUF4253 domain-containing protein	92	BRSU_0674	381802	Brachyspira suanatina	Brachyspira suanatina	True	IPR025349	domain		92	2	92	CONTINUOUS	DUF4253
A0A0H5AEM5	DUF4253 domain-containing protein	260	AA957_21165	200450	Pseudomonas trivialis	Pseudomonas trivialis	True	IPR025349	domain		260	155	229	CONTINUOUS	DUF4253
A0A0J6XWT8	DUF4253 domain-containing protein	288	ACS04_03195	66430	Streptomyces roseus	Streptomyces roseus	True	IPR025349	domain		288	179	288	CONTINUOUS	DUF4253
A0A0K8PZ36	DUF4253 domain-containing protein	261	SAZU_7926	146537	Streptomyces azureus	Streptomyces azureus	True	IPR025349	domain		261	151	261	CONTINUOUS	DUF4253
A0A0K9YXP5	DUF4253 domain-containing protein	254	BRE01_19070	54915	Brevibacillus reuszeri	Brevibacillus reuszeri	True	IPR025349	domain		254	149	254	CONTINUOUS	DUF4253
A0A0L8ALH0	DUF4253 domain-containing protein	213	OB69_09465	1566026	Roseivirga seohaensis subsp. aquiponti	Roseivirga seohaensis subsp. aquiponti	True	IPR025349	domain		213	110	213	CONTINUOUS	DUF4253
A0A0L8KRJ2	DUF4253 domain-containing protein	288	ADK37_39760	67356	Streptomyces resistomycificus	Streptomyces resistomycificus	True	IPR025349	domain		288	179	288	CONTINUOUS	DUF4253
A0A0M0H931	DUF4253 domain-containing protein	107	AF333_17090	47500	Aneurinibacillus migulanus	Aneurinibacillus migulanus	True	IPR025349	domain		107	5	107	CONTINUOUS	DUF4253
A0A0M2GIW6	DUF4253 domain-containing protein	261	UK15_30940	284040	Streptomyces variegatus	Streptomyces variegatus	True	IPR025349	domain		261	151	261	CONTINUOUS	DUF4253
A0A0M9VIU7	DUF4253 domain-containing protein	212	AM493_13945	1202724	Flavobacterium akiainvivens	Flavobacterium akiainvivens	True	IPR025349	domain		212	116	212	CONTINUOUS	DUF4253
A0A0N0XZA0	DUF4253 domain-containing protein	174	ADL29_11030	66876	Streptomyces chattanoogensis	Streptomyces chattanoogensis	True	IPR025349	domain		174	69	174	CONTINUOUS	DUF4253
A0A0N7LY13	DUF4253 domain-containing protein	270	TL5118_02566	2072972	Thalassovita autumnalis	Thalassovita autumnalis	True	IPR025349	domain		270	164	270	CONTINUOUS	DUF4253
A0A0N9HVB6	DUF4253 domain-containing protein	186	AOZ06_02845	860235	Kibdelosporangium phytohabitans	Kibdelosporangium phytohabitans	True	IPR025349	domain		186	93	185	CONTINUOUS	DUF4253
A0A0T6LX40	DUF4253 domain-containing protein	259	AQ490_16005	76728	Wenjunlia vitaminophila	Wenjunlia vitaminophila	True	IPR025349	domain		259	147	258	CONTINUOUS	DUF4253
A0A0W7X947	DUF4253 domain-containing protein	167	AT728_22025	1765722	Streptomyces silvensis	Streptomyces silvensis	True	IPR025349	domain		167	63	167	CONTINUOUS	DUF4253
A0A100Y2C2	DUF4253 domain-containing protein	171	ATE80_23745	936756	Streptomyces kanasensis	Streptomyces kanasensis	True	IPR025349	domain		171	50	140	CONTINUOUS	DUF4253
A0A101J8W0	DUF4253 domain-containing protein	282	ADL15_49120	135947	Actinoplanes awajinensis subsp. mycoplanecinus	Actinoplanes awajinensis subsp. mycoplanecinus	True	IPR025349	domain		282	181	259	CONTINUOUS	DUF4253
A0A101NLY9	DUF4253 domain-containing protein	187	AQI88_17055	67285	Streptomyces cellostaticus	Streptomyces cellostaticus	True	IPR025349	domain		187	113	187	CONTINUOUS	DUF4253
A0A101NPJ5	DUF4253 domain-containing protein	270	AQI88_09605	67285	Streptomyces cellostaticus	Streptomyces cellostaticus	True	IPR025349	domain		270	162	270	CONTINUOUS	DUF4253
A0A101P7B0	DUF4253 domain-containing protein	497	AQI95_15325	67386	Streptomyces yokosukanensis	Streptomyces yokosukanensis	True	IPR025349	domain		497	2	72	CONTINUOUS	DUF4253
A0A101PBY5	DUF4253 domain-containing protein	270	AQI95_06595	67386	Streptomyces yokosukanensis	Streptomyces yokosukanensis	True	IPR025349	domain		270	162	270	CONTINUOUS	DUF4253
A0A101QQA1	DUF4253 domain-containing protein	263	AQJ30_31260	68231	Streptomyces longwoodensis	Streptomyces longwoodensis	True	IPR025349	domain		263	155	263	CONTINUOUS	DUF4253
A0A101SDZ9	DUF4253 domain-containing protein	268	AQJ54_00130	67304	Streptomyces griseorubiginosus	Streptomyces griseorubiginosus	True	IPR025349	domain		268	158	268	CONTINUOUS	DUF4253
A0A101SME4	DUF4253 domain-containing protein	270	AQJ64_37330	1943	Streptomyces griseoruber	Streptomyces griseoruber	True	IPR025349	domain		270	160	270	CONTINUOUS	DUF4253
A0A101TJZ1	DUF4253 domain-containing protein	268	AQJ67_38785	661399	Streptomyces caeruleatus	Streptomyces caeruleatus	True	IPR025349	domain		268	158	268	CONTINUOUS	DUF4253
A0A101UXJ0	DUF4253 domain-containing protein	274	AQJ91_23800	909626	Streptomyces dysideae	Streptomyces dysideae	True	IPR025349	domain		274	164	274	CONTINUOUS	DUF4253
A0A117MKJ8	DUF4253 domain-containing protein	265	ADL12_42225	68262	Streptomyces regalis	Streptomyces regalis	True	IPR025349	domain		265	155	265	CONTINUOUS	DUF4253
A0A117Q8R5	DUF4253 domain-containing protein	274	AQJ11_43980	1903	Streptomyces corchorusii	Streptomyces corchorusii (Streptomyces chibaensis)	True	IPR025349	domain		274	166	274	CONTINUOUS	DUF4253
A0A117R3W9	DUF4253 domain-containing protein	167	AQJ54_06970	67304	Streptomyces griseorubiginosus	Streptomyces griseorubiginosus	True	IPR025349	domain		167	63	167	CONTINUOUS	DUF4253
A0A117R7Q3	DUF4253 domain-containing protein	261	AQJ64_40705	1943	Streptomyces griseoruber	Streptomyces griseoruber	True	IPR025349	domain		261	154	261	CONTINUOUS	DUF4253
A0A117R9C0	DUF4253 domain-containing protein	270	AQJ66_31345	285568	Streptomyces bungoensis	Streptomyces bungoensis	True	IPR025349	domain		270	164	270	CONTINUOUS	DUF4253
A0A117RXH1	DUF4253 domain-containing protein	266	AQJ91_46725	909626	Streptomyces dysideae	Streptomyces dysideae	True	IPR025349	domain		266	156	266	CONTINUOUS	DUF4253
