A4D2P6,Delphilin,Homo sapiens,IPR015425|IPR042201|IPR051425|IPR001478|IPR036034,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O00151,PDZ and LIM domain protein 1,Homo sapiens,IPR031847|IPR028537|IPR001478|IPR050604|IPR036034|IPR006643|IPR001781,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O00624,Sodium-dependent phosphate transport protein 3,Homo sapiens,IPR011701|IPR020846|IPR050382|IPR036259,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14910,Protein lin-7 homolog A,Homo sapiens,IPR014775|IPR004172|IPR036892|IPR017365|IPR051109|IPR001478|IPR036034,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O14936,Peripheral plasma membrane protein CASK,Homo sapiens,IPR035473|IPR008145|IPR008144|IPR020590|IPR011009|IPR014775|IPR004172|IPR036892|IPR050716|IPR027417|IPR001478|IPR036034|IPR000719|IPR036028|IPR001452,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O15018,PDZ domain-containing protein 2,Homo sapiens,IPR001478|IPR036034,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O15085,Rho guanine nucleotide exchange factor 11,Homo sapiens,IPR035899|IPR000219|IPR001478|IPR036034|IPR037889|IPR011993|IPR041020|IPR001849|IPR037803|IPR016137|IPR015212|IPR036305|IPR044926,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O43464,Serine protease HTRA2, mitochondrial,Homo sapiens,IPR001478|IPR041489|IPR036034|IPR009003|IPR001940,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O60403,Olfactory receptor 10H2,Homo sapiens,IPR000276|IPR017452|IPR000725,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75074,Low-density lipoprotein receptor-related protein 3,Homo sapiens,IPR000859|IPR036055|IPR050685|IPR023415|IPR002172|IPR035914,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75112,LIM domain-binding protein 3,Homo sapiens,IPR031847|IPR001478|IPR050604|IPR036034|IPR006643|IPR001781,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O75970,Multiple PDZ domain protein,Homo sapiens,IPR015132|IPR004172|IPR036892|IPR032078|IPR001478|IPR051342|IPR036034,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O94933,SLIT and NTRK-like protein 3,Homo sapiens,IPR000483|IPR001611|IPR003591|IPR032675,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95049,Tight junction protein ZO-3,Homo sapiens,IPR008145|IPR008144|IPR027417|IPR001478|IPR036034|IPR036028|IPR001452|IPR005417|IPR005420,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
O96018,Amyloid-beta A4 precursor protein-binding family A member 3,Homo sapiens,IPR051230|IPR001478|IPR036034|IPR011993|IPR006020,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P0DOF2,Matrix protein,Rabies virus (strain ERA),IPR006870|IPR038617,imex:IM-27674|pubmed:33208464
P0DTC5,Membrane protein,Severe acute respiratory syndrome coronavirus 2,IPR002574|IPR044361,imex:IM-29365|pubmed:34232536
P24394,Interleukin-4 receptor subunit alpha,Homo sapiens,IPR003961|IPR036116|IPR003531|IPR013783|IPR015319,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P26045,Tyrosine-protein phosphatase non-receptor type 3,Homo sapiens,IPR019749|IPR014352|IPR035963|IPR019748|IPR019747|IPR000299|IPR018979|IPR018980|IPR001478|IPR036034|IPR011993|IPR029021|IPR000242|IPR041783|IPR016130|IPR003595|IPR000387|IPR012151|IPR029071,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
P29475,Nitric oxide synthase 1,Homo sapiens,IPR003097|IPR017927|IPR001094|IPR008254|IPR001709|IPR029039|IPR039261|IPR023173|IPR050607|IPR044943|IPR044940|IPR044944|IPR012144|IPR004030|IPR036119|IPR001433|IPR001478|IPR036034|IPR017938,doi:10.1038/s41467-022-33018-0|imex:IM-30294|pubmed:36115835
