O95231,Homeobox protein VENTX,Homo sapiens,IPR001356|IPR017970|IPR050848|IPR009057,imex:IM-30183|intact:EBI-61099167|pubmed:40205054
O97428,Brak nazwy,Drosophila melanogaster,IPR001152|IPR038386,imex:IM-30112|intact:EBI-55567111|pubmed:38944040
P02829,ATP-dependent molecular chaperone HSP82,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR036890|IPR003594|IPR019805|IPR037196|IPR001404|IPR020575|IPR020568,pubmed:15766533
P04173,3-isopropylmalate dehydrogenase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR019818|IPR024084|IPR004429,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P05455,Lupus La protein,Homo sapiens,IPR045180|IPR006630|IPR014886|IPR002344|IPR012677|IPR035979|IPR000504|IPR036388|IPR036390,imex:IM-30001|intact:EBI-52315730|pubmed:35271311
P06748,Nucleophosmin,Homo sapiens,IPR032569|IPR004301|IPR024057|IPR036824,imex:IM-30059|pubmed:39251607
P09435,Heat shock protein SSA3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P10591,Heat shock protein SSA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P11142,Heat shock cognate 71 kDa protein,Homo sapiens,IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P11484,Ribosome-associated molecular chaperone SSB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P15108,ATP-dependent molecular chaperone HSC82,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR036890|IPR003594|IPR019805|IPR037196|IPR001404|IPR020575|IPR020568,pubmed:19536198
P17555,Adenylyl cyclase-associated protein,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001837|IPR013912|IPR013992|IPR017901|IPR016098|IPR036223|IPR028417|IPR018106|IPR053950|IPR036222|IPR006599,intact:EBI-1992807|mint:MINT-5212268|pubmed:10688190
P24583,Protein kinase C-like 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR000961|IPR046349|IPR000008|IPR035892|IPR037778|IPR011072|IPR036274|IPR011009|IPR037312|IPR002219|IPR017892|IPR000719|IPR017441|IPR008271,doi:10.1038/nature04670|imex:IM-15332|intact:EBI-6933337|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755
P32589,Heat shock protein homolog SSE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P34110,Vacuolar protein sorting-associated protein 35,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR005378|IPR042491,doi:10.1038/nature04670|imex:IM-15332|intact:EBI-6933337|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755
P34932,Heat shock 70 kDa protein 4,Homo sapiens,IPR043129|IPR018181|IPR029048|IPR029047|IPR013126|IPR042052,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P38788,Ribosome-associated complex subunit SSZ1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR029047|IPR013126,pubmed:19536198
P40364,Mitochondrial peculiar membrane protein 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR035187,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P43601,Autophagy-related protein 18,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR048720|IPR015943|IPR036322|IPR001680,doi:10.1038/nature04670|imex:IM-15332|intact:EBI-6933337|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755
P57721,Poly(rC)-binding protein 3,Homo sapiens,IPR004087|IPR004088|IPR036612,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P60010,Actin,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004000|IPR020902|IPR004001|IPR043129,doi:10.1038/415180a|imex:IM-8299|intact:EBI-16263388|pubmed:11805837
P78371,T-complex protein 1 subunit beta,Homo sapiens,IPR012716|IPR017998|IPR002194|IPR002423|IPR027409|IPR027413|IPR027410|IPR053374,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q13228,Methanethiol oxidase,Homo sapiens,IPR008826,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q13405,Large ribosomal subunit protein mL49,Homo sapiens,IPR007740,imex:IM-30183|intact:EBI-61099167|pubmed:40205054
Q8TBB1,E3 ubiquitin-protein ligase LNX,Homo sapiens,IPR001478|IPR051342|IPR036034|IPR018957|IPR001841|IPR013083|IPR017907,imex:IM-23318|pubmed:25416956
Q8WWK9,Cytoskeleton-associated protein 2,Homo sapiens,IPR029197|IPR026165,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HAH1,Zinc finger protein 556,Homo sapiens,IPR001909|IPR036051|IPR050758|IPR036236|IPR013087,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9NQX0,Putative histone-lysine N-methyltransferase PRDM6,Homo sapiens,IPR044416|IPR001214|IPR046341|IPR050331|IPR036236|IPR013087,imex:IM-25472|pubmed:32296183
