protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A010QZF9	Ubiquitin carboxyl-terminal hydrolase	247	CFIO01_09272	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR001578	domain		247	14	244	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A010R9W1	Ubiquitin carboxyl-terminal hydrolase	318	CFIO01_12223	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR001578	domain		318	4	231	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A010RB40	Ubiquitin carboxyl-terminal hydrolase	540	CFIO01_04252	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR001578	domain		540	152	408	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A010RDA0	Ubiquitin carboxyl-terminal hydrolase	252	CFIO01_05340	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR001578	domain		252	14	249	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A010RPN1	Ubiquitin carboxyl-terminal hydrolase	241	CFIO01_05276	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR001578	domain		241	7	239	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A015IK53	Ubiquitin carboxyl-terminal hydrolase	368	RirG_206280	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR001578	domain		368	6	290	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A015KA92	Ubiquitin carboxyl-terminal hydrolase	227	RirG_013060	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR001578	domain		227	4	226	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A015KGB5	Ubiquitin carboxyl-terminal hydrolase	119	RirG_013060	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR001578	domain		119	4	119	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A015LGB5	Ubiquitin carboxyl-terminal hydrolase	159	RirG_013060	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR001578	domain		159	4	159	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A015LHY8	Ubiquitin carboxyl-terminal hydrolase	389	RirG_234330	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR001578	domain		389	15	257	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A015NH25	Ubiquitin carboxyl-terminal hydrolase	184	RirG_013060	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR001578	domain		184	1	183	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A016TI08	Ubiquitin carboxyl-terminal hydrolase	222	Acey_s0099.g3175	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR001578	domain		222	3	220	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A016TIT8	Ubiquitin carboxyl-terminal hydrolase	224	Acey_s0099.g3174	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR001578	domain		224	5	223	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A016TJ34	Ubiquitin carboxyl-terminal hydrolase	224	Acey_s0099.g3175	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR001578	domain		224	5	222	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A016U0L2	Ubiquitin carboxyl-terminal hydrolase	322	Acey_s0065.g3648	53326	Ancylostoma ceylanicum	Ancylostoma ceylanicum	True	IPR001578	domain		322	6	275	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A017SAE7	Ubiquitin carboxyl-terminal hydrolase	250	EURHEDRAFT_516510	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR001578	domain		250	12	247	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A017SJ16	Ubiquitin carboxyl-terminal hydrolase	403	EURHEDRAFT_411468	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR001578	domain		403	35	330	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A017SQ15	Ubiquitin carboxyl-terminal hydrolase	318	EURHEDRAFT_118984	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR001578	domain		318	6	252	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A022PXD5	Ubiquitin carboxyl-terminal hydrolase	233	MIMGU_mgv1a013013mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR001578	domain		233	8	228	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A022RZW1	Ubiquitin carboxyl-terminal hydrolase	333	MIMGU_mgv1a009722mg	4155	Erythranthe guttata	Erythranthe guttata (Yellow monkey flower)	True	IPR001578	domain		333	2	328	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A022XHR7	Ubiquitin carboxyl-terminal hydrolase	415	H105_07341	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR001578	domain		415	46	291	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A022XWA7	Ubiquitin carboxyl-terminal hydrolase	251	H105_03669	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR001578	domain		251	13	248	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A022XZ97	Ubiquitin carboxyl-terminal hydrolase	229	H105_02791	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR001578	domain		229	5	219	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A022Y5N6	Ubiquitin carboxyl-terminal hydrolase	256	H105_00739	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR001578	domain		256	17	253	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A022Y6I0	Ubiquitin carboxyl-terminal hydrolase	323	H105_00451	1215331	Trichophyton soudanense CBS 452.61	Trichophyton soudanense CBS 452.61	True	IPR001578	domain		323	7	247	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023B046	Ubiquitin carboxyl-terminal hydrolase	230	GNI_148330	110365	Gregarina niphandrodes	Gregarina niphandrodes (Septate eugregarine)	True	IPR001578	domain		230	1	229	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023B451	ubiquitinyl hydrolase 1	336	GNI_104290	110365	Gregarina niphandrodes	Gregarina niphandrodes (Septate eugregarine)	True	IPR001578	domain		336	2	269	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023EKC7	Ubiquitin carboxyl-terminal hydrolase	228		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	False	IPR001578	domain		228	3	226	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
A0A023EKD3	Ubiquitin carboxyl-terminal hydrolase	228		7160	Aedes albopictus	Aedes albopictus (Asian tiger mosquito)	True	IPR001578	domain		228	3	226	CONTINUOUS	Ubiquitin_carboxyl_terminal_hydrolase
