A0A0S2Z4D7,Brak nazwy,Homo sapiens,IPR039801|IPR035562|IPR036028|IPR001452,doi:10.1016/j.cell.2016.01.029|imex:IM-25013|pubmed:26871637
A0A0S2Z6P0,Brak nazwy,Homo sapiens,IPR001909|IPR036051|IPR050169,doi:10.1016/j.cell.2016.01.029|imex:IM-25013|pubmed:26871637
A0A142I5B9,Genome polyprotein,Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010),IPR043502|IPR000069|IPR038302|IPR013755|IPR001122|IPR037172|IPR011492|IPR027287|IPR026470|IPR038345|IPR011998|IPR001157|IPR000752|IPR000487|IPR001850|IPR000404|IPR001528|IPR046811|IPR002535|IPR038688|IPR047530|IPR000208|IPR000336|IPR014412|IPR036253|IPR038055|IPR013756|IPR014001|IPR001650|IPR014756|IPR026490|IPR049486|IPR027417|IPR009003|IPR007094|IPR002877|IPR029063,imex:IM-26452|pubmed:30177828
A0A6L8PQK3,Brak nazwy,Bacillus anthracis,IPR029039|IPR005025|IPR050712,imex:IM-13779|pubmed:20711500
A1KZ92,Probable oxidoreductase PXDNL,Homo sapiens,IPR000483|IPR019791|IPR010255|IPR037120|IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR001611|IPR003591|IPR032675|IPR034824|IPR001007,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
A1L0T0,2-hydroxyacyl-CoA lyase 2,Homo sapiens,IPR029035|IPR029061|IPR012000|IPR012001|IPR000399|IPR045229|IPR011766,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
A6NED2,RCC1 domain-containing protein 1,Homo sapiens,IPR009091|IPR052830|IPR000408,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
A6NEM1,Golgin subfamily A member 6-like protein 9,Homo sapiens,IPR026737|IPR043976,imex:IM-25472|pubmed:32296183
A8K8V0,Zinc finger protein 785,Homo sapiens,IPR050589|IPR001909|IPR036051|IPR036236|IPR013087,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B2RXF5,Zinc finger and BTB domain-containing protein 42,Homo sapiens,IPR000210|IPR011333|IPR036236|IPR013087,imex:IM-25472|pubmed:32296183
C5E519,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-25584|pubmed:28169297
D6R9G5,Brak nazwy,Homo sapiens,IPR000210|IPR011333,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
F4JN35,Protein NTM1-like 9,Arabidopsis thaliana,IPR003441|IPR036093,imex:IM-16043|pubmed:21798944
F5H1C8,Brak nazwy,Homo sapiens,IPR036259|IPR000109,imex:IM-26691|pubmed:30833792
J3JZZ6,Brak nazwy,Lambdavirus lambda,IPR020952,imex:IM-21394|pubmed:24049175
O00214,Galectin-8,Homo sapiens,IPR013320|IPR044156|IPR001079,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00220,Tumor necrosis factor receptor superfamily member 10A,Homo sapiens,IPR011029|IPR000488|IPR001368|IPR020465|IPR052491|IPR034024|IPR034029,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O00308,NEDD4-like E3 ubiquitin-protein ligase WWP2,Homo sapiens,IPR000008|IPR035892|IPR024928|IPR050409|IPR000569|IPR035983|IPR001202|IPR036020,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
