A0A1D6EHK5,Coatomer subunit beta,Zea mays,IPR011989|IPR016024|IPR002553|IPR011710|IPR016460|IPR029446,imex:IM-29553|pubmed:36581701
A0A1D6EP97,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6EXS6,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6GEC8,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6HNK0,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6HZ94,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6II57,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6IL08,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6JP91,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6K1Z7,non-specific serine/threonine protein kinase,Zea mays,IPR045272|IPR011009|IPR024788|IPR000719|IPR017441|IPR001245|IPR008271,imex:IM-29553|pubmed:36581701
A0A1D6KBV1,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6MWT0,Brak nazwy,Zea mays,IPR005202,imex:IM-29553|pubmed:36581701
A0A1D6PZJ5,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6Q2L8,Brak nazwy,Zea mays,IPR032710|IPR002075|IPR018222|IPR012677|IPR039539|IPR035979|IPR000504,imex:IM-29553|pubmed:36581701
A9X4U2,3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 3,Arabidopsis thaliana,IPR002225|IPR050177|IPR036291|IPR003388,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
B4FG65,AB hydrolase-1 domain-containing protein,Zea mays,IPR000073|IPR029058,imex:IM-29553|pubmed:36581701
B4FR72,Purple acid phosphatase,Zea mays,IPR004843|IPR003961|IPR029052|IPR041792|IPR039331|IPR025733|IPR015914|IPR008963,imex:IM-29553|pubmed:36581701
B6T9F9,Brak nazwy,Zea mays,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
B6TE60,Brak nazwy,Zea mays,IPR045128|IPR013886|IPR021625,imex:IM-29553|pubmed:36581701
B8A1L1,Brak nazwy,Zea mays,IPR036915|IPR013922,imex:IM-29553|pubmed:36581701
B8A377,Cysteine synthase,Zea mays,IPR005856|IPR050214|IPR005859|IPR001216|IPR001926|IPR036052,imex:IM-29553|pubmed:36581701
