A0A1D6IB58,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6K1W3,Brak nazwy,Zea mays,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6M7Z6,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A1ZAX1,Eukaryotic translation initiation factor 3 subunit C,Drosophila melanogaster,IPR027516|IPR008905|IPR058999|IPR000717|IPR036390,imex:IM-20442|pubmed:17392269
A2A3N6,Putative PIP5K1A and PSMD4-like protein,Homo sapiens,IPR027483|IPR002498|IPR027484|IPR023610|IPR049590|IPR002035|IPR036465,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
B9DGI8,Basic leucine zipper 63,Arabidopsis thaliana,IPR020983|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
E9Q4K7,Brak nazwy,Mus musculus,IPR036859|IPR000938|IPR000253|IPR022164|IPR022140|IPR032405|IPR019821|IPR001752|IPR036961|IPR027417|IPR008984,imex:IM-24272|pubmed:26496610
F8VQC1,Signal recognition particle subunit SRP72,Mus musculus,IPR013699|IPR026270|IPR031545|IPR011990|IPR019734,imex:IM-24272|pubmed:26496610
O00429,Dynamin-1-like protein,Homo sapiens,IPR022812|IPR001401|IPR019762|IPR045063|IPR000375|IPR030381|IPR003130|IPR020850|IPR027417,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
O02056,Large ribosomal subunit protein uL4,Caenorhabditis elegans,IPR025755|IPR002136|IPR023574|IPR045240|IPR013000,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
O02195,Eukaryotic translation initiation factor 3 subunit I,Drosophila melanogaster,IPR027525|IPR015943|IPR019775|IPR036322|IPR001680,imex:IM-20442|pubmed:17392269
O14649,Potassium channel subfamily K member 3,Homo sapiens,IPR003280|IPR003092|IPR013099|IPR005406,imex:IM-29540|pubmed:36012204
O15372,Eukaryotic translation initiation factor 3 subunit H,Homo sapiens,IPR027524|IPR045810|IPR000555|IPR050242|IPR037518,imex:IM-12079|pubmed:19615732
O15460-2,Isoform IIa of Prolyl 4-hydroxylase subunit alpha-2,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
O15524,Suppressor of cytokine signaling 1,Homo sapiens,IPR000980|IPR036860|IPR035861|IPR001496|IPR036036,imex:IM-26434|pubmed:31980649
O43493,Trans-Golgi network integral membrane protein 2,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-26301|pubmed:29568061
O43900,Prickle planar cell polarity protein 3,Homo sapiens,IPR033725|IPR033726|IPR033727|IPR010442|IPR033723|IPR047120|IPR001781,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O75807,Protein phosphatase 1 regulatory subunit 15A,Homo sapiens,IPR051254|IPR019523,imex:IM-23248|pubmed:29109149
O75821,Eukaryotic translation initiation factor 3 subunit G,Homo sapiens,IPR017334|IPR024675|IPR034240|IPR012677|IPR035979|IPR000504,imex:IM-30059|pubmed:39251607
O75822,Eukaryotic translation initiation factor 3 subunit J,Homo sapiens,IPR023194|IPR013906,imex:IM-25472|pubmed:32296183
O75940,Survival of motor neuron-related-splicing factor 30,Homo sapiens,IPR010304|IPR002999,imex:IM-30059|pubmed:39251607
O89033,DNA replication factor CDC6,Mus musculus,IPR003593|IPR049945|IPR016314|IPR015163|IPR054425|IPR050311|IPR027417|IPR036388|IPR036390,imex:IM-24272|pubmed:26496610
O95985,DNA topoisomerase 3-beta-1,Homo sapiens,IPR000380|IPR003601|IPR023406|IPR013497|IPR013824|IPR013825|IPR013826|IPR023405|IPR003602|IPR006171|IPR034144|IPR056452,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P00533,Epidermal growth factor receptor,Homo sapiens,IPR006211|IPR006212|IPR032778|IPR009030|IPR011009|IPR000719|IPR017441|IPR000494|IPR036941|IPR050122|IPR001245|IPR049328|IPR008266|IPR020635|IPR016245,imex:IM-26434|pubmed:31980649
P01112,GTPase HRas,Homo sapiens,IPR027417|IPR005225|IPR001806|IPR020849,imex:IM-30494|pubmed:35839996
P02407,Small ribosomal subunit protein eS17A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001210|IPR018273|IPR036401,pubmed:16429126
P02792,Ferritin light chain,Homo sapiens,IPR001519|IPR012347|IPR009040|IPR009078|IPR014034|IPR008331,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02994,Elongation factor 1-alpha,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004161|IPR031157|IPR054696|IPR027417|IPR000795|IPR050100|IPR009000|IPR009001|IPR004539,pubmed:16429126
P03348,Gag polyprotein,Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI),IPR045345|IPR014817|IPR000071|IPR012344|IPR050195|IPR008916|IPR008919|IPR010999|IPR001878|IPR036875,imex:IM-24060|pubmed:21543480
P04147,Polyadenylate-binding protein, cytoplasmic and nuclear,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012677|IPR036053|IPR006515|IPR002004|IPR034364|IPR035979|IPR045305|IPR000504|IPR003954,imex:IM-29638|pubmed:37070168
P04626,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,IPR006211|IPR006212|IPR032778|IPR009030|IPR011009|IPR000719|IPR017441|IPR000494|IPR036941|IPR050122|IPR001245|IPR049328|IPR008266|IPR020635|IPR016245,imex:IM-30532|pubmed:38884001
P05317,Large ribosomal subunit protein uL10,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR050323|IPR001790|IPR040637|IPR043164|IPR043141|IPR030670,pubmed:16429126
P05737,Large ribosomal subunit protein uL30A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR036919|IPR039699|IPR018038|IPR005998|IPR035808|IPR016082|IPR012988,pubmed:16429126
