A0A1D6IAW0,DNA 5'-3' helicase FANCJ,Zea mays,IPR006555|IPR045028|IPR002464|IPR014013|IPR006554|IPR027417|IPR010614,imex:IM-29553|pubmed:36581701
A0A1D6JSI9,Ubiquitin carboxyl-terminal hydrolase 26,Zea mays,IPR035927|IPR038765|IPR033841|IPR006615|IPR050164|IPR001394|IPR000626|IPR029071|IPR044743|IPR028889|IPR018200,imex:IM-29553|pubmed:36581701
B3XYC5,Brak nazwy,Solanum lycopersicum var. cerasiforme,IPR001002|IPR036861,imex:IM-16562|pubmed:21656680
B4FCX3,Proteasome subunit beta,Zea mays,IPR029055|IPR050115|IPR016295|IPR016050|IPR001353|IPR023333,imex:IM-29553|pubmed:36581701
B4FH55,Histone H2A,Zea mays,IPR007125|IPR009072|IPR002119|IPR032454|IPR032458,imex:IM-29553|pubmed:36581701
B7ZAQ6,Golgi pH regulator A,Homo sapiens,IPR025969|IPR022535|IPR015672,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
F4HZR4,Brak nazwy,Arabidopsis thaliana,Brak InterPro kodów dla tego białka.,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
F4I4R0,glucan endo-1,3-beta-D-glucosidase,Arabidopsis thaliana,IPR017853|IPR000490|IPR044965,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
F4JN35,Protein NTM1-like 9,Arabidopsis thaliana,IPR003441|IPR036093,imex:IM-16043|pubmed:21798944
F4K1J1,Brak nazwy,Arabidopsis thaliana,IPR029052|IPR018946|IPR038607,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
K7VW09,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
O00124,UBX domain-containing protein 8,Homo sapiens,IPR029071|IPR001012|IPR050730|IPR017247,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O22151,Golgi SNAP receptor complex member 1-2,Arabidopsis thaliana,IPR023601,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
O22588,Probable aquaporin TIP3-2,Arabidopsis thaliana,IPR023271|IPR034294|IPR000425|IPR022357,doi:10.3389/fpls.2012.00124|imex:IM-26295|pubmed:22737156
O22622,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD2,Arabidopsis thaliana,IPR003038,doi:10.1126/science.1251358|imex:IM-26362|pubmed:24833385
O60427,Acyl-CoA (8-3)-desaturase,Homo sapiens,IPR001199|IPR036400|IPR005804|IPR012171,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O83083,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),IPR023346|IPR008258,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83268,Large ribosomal subunit protein bL12,Treponema pallidum (strain DSM 117211 / Nichols),IPR000206|IPR013823|IPR014719|IPR008932|IPR036235,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83282,Brak nazwy,Treponema pallidum (strain DSM 117211 / Nichols),Brak InterPro kodów dla tego białka.,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83293,Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB,Treponema pallidum (strain DSM 117211 / Nichols),IPR006638|IPR005839|IPR020612|IPR013848|IPR038135|IPR006467|IPR007197|IPR023404|IPR058240,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83352,Uncharacterized protein TP_0332,Treponema pallidum (strain DSM 117211 / Nichols),Brak InterPro kodów dla tego białka.,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83572,TPM domain-containing protein,Treponema pallidum (strain DSM 117211 / Nichols),IPR007621,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83814,Methionine aminopeptidase,Treponema pallidum (strain DSM 117211 / Nichols),IPR036005|IPR000994|IPR001714|IPR002467,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83873,UDP-N-acetylmuramoylalanine--D-glutamate ligase,Treponema pallidum (strain DSM 117211 / Nichols),IPR036565|IPR036615|IPR013221|IPR005762,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83887,Magnesium transporter MgtE,Treponema pallidum (strain DSM 117211 / Nichols),IPR000644|IPR046342|IPR006668|IPR038076|IPR006669|IPR006667|IPR036739,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
O83958,Probable endolytic peptidoglycan transglycosylase RlpA,Treponema pallidum (strain DSM 117211 / Nichols),IPR034718|IPR009009|IPR036908|IPR012997,doi:10.1371/journal.pone.0002292|imex:IM-9152|pubmed:18509523
P00519,Tyrosine-protein kinase ABL1,Homo sapiens,IPR035837|IPR015015|IPR011009|IPR050198|IPR000719|IPR017441|IPR001245|IPR000980|IPR036860|IPR036028|IPR001452|IPR008266|IPR020635,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Homo sapiens,IPR002202|IPR023074|IPR023076|IPR004554|IPR004816|IPR023282|IPR009023|IPR009029|IPR053958|IPR000731,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P05090,Apolipoprotein D,Homo sapiens,IPR026222|IPR002969|IPR012674|IPR022271|IPR022272|IPR000566,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06241,Tyrosine-protein kinase Fyn,Homo sapiens,IPR047924|IPR035750|IPR011009|IPR050198|IPR000719|IPR017441|IPR001245|IPR000980|IPR036860|IPR036028|IPR001452|IPR008266|IPR020635,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P07864,L-lactate dehydrogenase C chain,Homo sapiens,IPR001557|IPR011304|IPR018177|IPR022383|IPR001236|IPR015955|IPR036291,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0DPB3,Schwannomin-interacting protein 1,Homo sapiens,IPR039045|IPR015649,imex:IM-20475|pubmed:20195357
P10591,Heat shock protein SSA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P10592,Heat shock protein SSA2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P11484,Ribosome-associated molecular chaperone SSB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P16333,SH2/SH3 adapter protein NCK1,Homo sapiens,IPR017304|IPR035882|IPR035562|IPR035564|IPR035565|IPR000980|IPR036860|IPR036028|IPR001452|IPR051184,imex:IM-11903|mint:MINT-8109998|pubmed:17474147
P20263,POU domain, class 5, transcription factor 1,Mus musculus,IPR001356|IPR017970|IPR009057|IPR010982|IPR013847|IPR000327|IPR050255,imex:IM-20293|pubmed:17093407
P22227,Zinc finger protein 42,Mus musculus,IPR036236|IPR013087,imex:IM-20293|pubmed:17093407
P25071,Calmodulin-like protein 12,Arabidopsis thaliana,IPR050230|IPR011992|IPR018247|IPR002048,pubmed:17360592
P25854,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,pubmed:17360592
