Count;InterProID;pubmeds;Name;ShortDescription
15;IPR015943;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
imex:IM-29986
intact:EBI-52311758
pubmed:16429126
pubmed:33961781
pubmed:37968396";WD40/YVTN repeat-like-containing domain superfamily;<p>This superfamily represents a WD40/YVTN repeat-like domain. Both the WD40 and the YVTN repeated motifs consist of about 40 residues, and although they consist of distinct sequences, they do share a similar structure. Structurally, both the WD40 and the YVTN repeated motifs form seven-bladed propellers (although some members can contain eight blades), which consist of seven 4-stranded β-sheets.</p>
14;IPR036322;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
imex:IM-29986
intact:EBI-52311758
pubmed:16429126
pubmed:33961781
pubmed:37968396";WD40-repeat-containing domain superfamily;"<p>This entry identifies a domain superfamily containing adjacent WD repeats. These WD repeats are located on β-sheets (blades) that fold into a higher order  structure called β-propeller.</p>; <p>WD-40 repeats (also known as WD or β-transducin repeats) are short ~40 amino acid motifs, often terminating in a Trp-Asp (W-D) dipeptide. WD40 repeats usually assume a 7-8 bladed β-propeller fold, but proteins have been found with 4 to 16 repeated units, which also form a circularised β-propeller structure. WD-repeat proteins are a large family found in all eukaryotes and are implicated in a variety of functions ranging from signal transduction and transcription regulation to cell cycle control and apoptosis. Repeated WD40 motifs act as a site for protein-protein or protein-DNA  interaction, and proteins containing WD40 repeats are known to serve as platforms for the assembly of protein complexes or mediators of transient interplay among other proteins [[cite:PUB00094364]]. The specificity of the proteins is determined by the sequences outside the repeats themselves. Examples of such complexes are G proteins (beta subunit is a β-propeller), TAFII transcription factor, and E3 ubiquitin ligase [[cite:PUB00015237], [cite:PUB00005491]]. In Arabidopsis spp., several WD40-containing proteins act as key regulators of plant-specific developmental events.</p>"
13;IPR001680;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
imex:IM-29986
intact:EBI-52311758
pubmed:16429126
pubmed:33961781
pubmed:37968396";WD40 repeat;<p>WD-40 repeats (also known as WD or β-transducin repeats) are short ~40 amino acid motifs, often terminating in a Trp-Asp (W-D) dipeptide. WD40 repeats usually assume a 7-8 bladed β-propeller fold, but proteins have been found with 4 to 16 repeated units, which also form a circularised β-propeller structure. WD-repeat proteins are a large family found in all eukaryotes and are implicated in a variety of functions ranging from signal transduction and transcription regulation to cell cycle control and apoptosis. Repeated WD40 motifs act as a site for protein-protein or protein-DNA  interaction, and proteins containing WD40 repeats are known to serve as platforms for the assembly of protein complexes or mediators of transient interplay among other proteins [[cite:PUB00094364]]. The specificity of the proteins is determined by the sequences outside the repeats themselves. Examples of such complexes are G proteins (beta subunit is a β-propeller), TAFII transcription factor, and E3 ubiquitin ligase [[cite:PUB00015237], [cite:PUB00005491]]. In Arabidopsis spp., several WD40-containing proteins act as key regulators of plant-specific developmental events.</p>
8;IPR027417;"imex:IM-29638
imex:IM-29676
imex:IM-29986
intact:EBI-30860122
intact:EBI-52311758
pubmed:16429126
pubmed:35156780
pubmed:37070168
pubmed:37968396";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
7;IPR016024;"imex:IM-29986
imex:IM-30001
intact:EBI-52311758
intact:EBI-52315730
pubmed:16429126
pubmed:35271311
pubmed:37968396";Armadillo-type fold;"<p>This entry represents a structural domain with an armadillo (ARM)-like fold, consisting of a multi-helical fold comprised of two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids.</p>

<p>The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>"
6;IPR013087;"doi:10.1016/j.cell.2021.04.011
doi:10.1093/nar/gky1192
imex:IM-16517
imex:IM-24995
imex:IM-25472
imex:IM-26659
imex:IM-29278
intact:EBI-20976136
mint:MINT-5217955
pubmed:16169070
pubmed:27107014
pubmed:30462309
pubmed:32296183
pubmed:33961781";Zinc finger C2H2-type;"<p>This entry represents the classical C2H2 zinc finger domain.</p>; <p>C2H2-type (classical) zinc fingers (Znf) were the first class to be characterised. They contain a short β-hairpin and an α-helix (β/β/α structure), where a single zinc atom is held in place by Cys(2)His(2) (C2H2) residues in a tetrahedral array. C2H2 Znf's can be divided into three groups based on the number and pattern of fingers: triple-C2H2 (binds single ligand), multiple-adjacent-C2H2 (binds multiple ligands), and separated paired-C2H2 [[cite:PUB00035808]]. C2H2 Znf's are the most common DNA-binding motifs found in eukaryotic transcription factors, and have also been identified in prokaryotes [[cite:PUB00035809]].  Transcription factors usually contain several Znf's (each with a conserved β/β/α structure) capable of making multiple contacts along the DNA, where the C2H2 Znf motifs recognise DNA sequences by binding to the major groove of DNA via a short α-helix in the Znf, the Znf spanning 3-4 bases of the DNA [[cite:PUB00035811]]. C2H2 zinc fingers can also bind to RNA and protein targets [[cite:PUB00043274]].</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
6;IPR011989;"imex:IM-29986
imex:IM-30001
intact:EBI-52311758
intact:EBI-52315730
pubmed:16429126
pubmed:35271311
pubmed:37968396";Armadillo-like helical;<p>This superfamily represents a domain consisting of a multi-helical fold comprising two curved layers of α-helices arranged in a regular right-handed superhelix, where the repeats that make up this structure are arranged about a common axis [[cite:PUB00015442]]. These superhelical structures present an extensive solvent-accessible surface that is well suited to binding large substrates such as proteins and nucleic acids. This topology has been found with a number of repeats and domains, including the armadillo repeat (found in beta-catenins and importins), the HEAT repeat (found in protein phosphatase 2a and initiation factor eIF4G), the PHAT domain (found in Smaug RNA-binding protein), the leucine-rich repeat variant, the Pumilo repeat, and in the H regulatory subunit of V-type ATPases. The sequence similarity among these different repeats or domains is low, however they exhibit considerable structural similarity. Furthermore, the number of repeats present in the superhelical structure can vary between orthologues, indicating that rapid loss/gain of repeats has occurred frequently in evolution. A common phylogenetic origin has been proposed for the armadillo and HEAT repeats [[cite:PUB00015443]].</p>
6;IPR027408;"imex:IM-29986
intact:EBI-52311758
pubmed:37968396";PNPase/RNase PH domain superfamily;<p>Polynucleotide phosphorylase (PNPase) is a polyribonucleotide nucleotidyl transferase [ec:2.7.7.8] that degrades mRNA in prokaryotes. Polynucleotide phosphorylase and the Ribonuclease PH (RNase PH) family possess a common domain represented by this entry. This suggests similar structures and mechanisms of action for these 3'-->5' phosphorolytic enzymes [[cite:PUB00004477]]. In the case of PNPase, the core domain is found duplicated [[cite:PUB00024411]].</p>
6;IPR020568;"imex:IM-29986
intact:EBI-52311758
pubmed:37968396";Ribosomal protein uS5 domain 2-type superfamily;"<p>The founding member of this superfamily is the second domain of the small ribosomal subunit protein uS5. This domain adopts α/β fold consisting of four-stranded mixed β-sheet and two helices packed on one side of it. Typical features for this superfamily are the psi-loop between strands 2 and 3; and the left-handed crossover between strands 3 and 4.</p>; <p>Domain 2 of the ribosomal protein uS5 has a left-handed, 2-layer α/β fold with a core structure consisting of β(3)-α-β-α. Domains with this fold are found in numerous RNA/DNA-binding proteins, as well as in kinases from the GHMP kinase family.  Proteins containing this α/β fold domain include:</p>

<ul>
<li>Translational machinery components  (ribosomal proteins S5 and S9, and domain IV of elongation factors EF-G and eEF-2) [[cite:PUB00034480]].</li>
<li>Ribonuclease P protein (RNase P) [[cite:PUB00034481]].</li>
<li>Ribonuclease PH (domain 1) [[cite:PUB00029653]], as well as various exosome complex exonucleases (RRP41, RRP42, RRP43, RRP45, RRP46, MTR3, ECX1, ECX2) [[cite:PUB00035569]].</li>
<li>DNA modification proteins (DNA mismatch repair proteins MutL and PMS2, DNA gyrase B, DNA topoisomerase II, IV-B and VI-B) [[cite:PUB00024488]].</li>
<li>GHMP kinases that transfer a phosphoryl group from ATP to an acceptor (galactokinase ([ec:2.7.1.6]), homoserine kinase ([ec:2.7.1.39]), and mevalonate kinase ([ec:2.7.1.36])) [[cite:PUB00034482], [cite:PUB00015644]].</li>
<li>Caenorhabditis elegans early switch protein Xol-1 (a divergent member of the GHMP kinase family that has lost the ATP-binding site) [[cite:PUB00016021]].</li>
<li>Hsp90 chaperone (middle domain), which is related to the DNA gyrase/MutL family [[cite:PUB00035354]]; this domain contains an extra C-terminal α/β subdomain.</li>
<li>Imidazole glycerol phosphate dehydratase, which contains a duplication consisting of two structural repeats of this fold [[cite:PUB00022600]].</li>
<li>The catalytic domain of ATP-dependent protease Lon (La), which contains an extra C-terminal α/β subdomain [[cite:PUB00030777]].</li>
<li>Formaldehyde-activating enzyme FAE, which contains a modification of this fold consisting of an extra α/β unit after strand 2 [[cite:PUB00038434]].</li>
</ul>"
6;IPR019775;"imex:IM-29986
intact:EBI-52311758
pubmed:16429126
pubmed:37968396";WD40 repeat, conserved site;"<p>This entry represents a conserved site found in the WD40 repeat.</p>; <p>WD-40 repeats (also known as WD or β-transducin repeats) are short ~40 amino acid motifs, often terminating in a Trp-Asp (W-D) dipeptide. WD40 repeats usually assume a 7-8 bladed β-propeller fold, but proteins have been found with 4 to 16 repeated units, which also form a circularised β-propeller structure. WD-repeat proteins are a large family found in all eukaryotes and are implicated in a variety of functions ranging from signal transduction and transcription regulation to cell cycle control and apoptosis. Repeated WD40 motifs act as a site for protein-protein or protein-DNA  interaction, and proteins containing WD40 repeats are known to serve as platforms for the assembly of protein complexes or mediators of transient interplay among other proteins [[cite:PUB00094364]]. The specificity of the proteins is determined by the sequences outside the repeats themselves. Examples of such complexes are G proteins (beta subunit is a β-propeller), TAFII transcription factor, and E3 ubiquitin ligase [[cite:PUB00015237], [cite:PUB00005491]]. In Arabidopsis spp., several WD40-containing proteins act as key regulators of plant-specific developmental events.</p>"
5;IPR036236;"doi:10.1093/nar/gky1192
imex:IM-16517
imex:IM-24995
imex:IM-25472
imex:IM-26659
intact:EBI-20976136
mint:MINT-5217955
pubmed:16169070
pubmed:27107014
pubmed:30462309
pubmed:32296183";Zinc finger C2H2 superfamily;"<p>C2H2-type (classical) zinc fingers (Znf) were the first class to be characterised. They contain a short β-hairpin and an α-helix (β/β/α structure), where a single zinc atom is held in place by Cys(2)His(2) (C2H2) residues in a tetrahedral array. C2H2 Znf's can be divided into three groups based on the number and pattern of fingers: triple-C2H2 (binds single ligand), multiple-adjacent-C2H2 (binds multiple ligands), and separated paired-C2H2 [[cite:PUB00035808]]. C2H2 Znf's are the most common DNA-binding motifs found in eukaryotic transcription factors, and have also been identified in prokaryotes [[cite:PUB00035809]].  Transcription factors usually contain several Znf's (each with a conserved β/β/α structure) capable of making multiple contacts along the DNA, where the C2H2 Znf motifs recognise DNA sequences by binding to the major groove of DNA via a short α-helix in the Znf, the Znf spanning 3-4 bases of the DNA [[cite:PUB00035811]]. C2H2 zinc fingers can also bind to RNA and protein targets [[cite:PUB00043274]].</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
5;IPR001247;"imex:IM-29986
intact:EBI-52311758
pubmed:37968396";Exoribonuclease, phosphorolytic domain 1;"<p>This entry represents the phosphorolytic (PH) domain 1, which has a core 2-layer α/β structure with a left-handed crossover, similar to that found in ribosomal protein S5.  This domain is found in bacterial/organelle PNPases and in archaeal/eukaryotic exosomes [[cite:PUB00000954]].</p>; <p>The PH (phosphorolytic) domain is responsible for 3'-5' exoribonuclease activity, although in some proteins this domain has lost its catalytic function. An active PH domain uses inorganic phosphate as a nucleophile, adding it across the phosphodiester bond between the end two nucleotides in order to release ribonucleoside 5'-diphosphate (rNDP) from the 3' end of the RNA substrate.</p>
<p>PH domains can be found in bacterial/organelle RNases and PNPases (polynucleotide phosphorylases) [[cite:PUB00035567]], as well as in archaeal and eukaryotic RNA exosomes [[cite:PUB00035568], [cite:PUB00035569]], the later acting as nano-compartments for the degradation or processing of RNA (including mRNA, rRNA, snRNA and snoRNA). Bacterial/organelle PNPases share a common barrel structure with RNA exosomes, consisting of a hexameric ring of PH domains that act as a degradation chamber, and an S1-domain/KH-domain containing cap that binds the RNA substrate (and sometimes accessory proteins) in order to regulate and restrict entry into the degradation chamber  [[cite:PUB00035570]]. Unstructured RNA substrates feed in through the pore made by the S1 domains, are degraded by the PH domain ring, and exit as nucleotides via the PH pore at the opposite end of the barrel [[cite:PUB00035571], [cite:PUB00035572]].</p>"
5;IPR012340;"imex:IM-29638
imex:IM-29986
intact:EBI-52311758
pubmed:37070168
pubmed:37968396";Nucleic acid-binding, OB-fold;"<p>A five-stranded β-barrel was first noted as a common structure among four proteins binding single-stranded nucleic acids (staphylococcal nuclease and aspartyl-tRNA synthetase) or oligosaccharides (B subunits of enterotoxin and verotoxin-1), and has been termed the oligonucleotide/oligosaccharide binding motif, or OB fold, a five-stranded β-sheet coiled to form a closed β-barrel capped by an α helix located between the third and fourth strands [[cite:PUB00016307]]. Two ribosomal proteins, S17 and S1, are members of this class and have different variations of the OB fold theme. Comparisons with other OB fold nucleic acid binding proteins suggest somewhat different mechanisms of nucleic acid recognition in each case [[cite:PUB00011768]].</p>

<p>There are many nucleic acid-binding proteins that contain domains with this OB-fold structure, including:</p>

<ul><li>Large ribosomal subunit protein uL2</li>
  <li>Small ribosomal subunit protein uS12</li>
  <li>DNA ligase</li>
  <li>Polyribonucleotide nucleotidyltransferase</li>
  <li>Phage ssDNA-binding proteins (gp32, gp2.5, gpV)</li>
  <li>Holliday junction branch migration complex subunit RuvA</li>
  <li>Elongation factor P</li></ul>"
4;IPR013083;"doi:10.1038/nmeth.4343
doi:10.1073/pnas.0800909105
imex:IM-25740
imex:IM-9383
intact:EBI-15097123
intact:EBI-15710767
pubmed:18567673
pubmed:28650476";Zinc finger, RING/FYVE/PHD-type;"<p>This superfamily represents RING-, PHD-, and FYVE-type zinc finger domains, which share a common dimetal (zinc)-bound α/β structural fold, as well as the non-zinc-containing U-box domain, which is similar to the RING zinc finger only lacking the metal ion-binding residues (U-box associated with multi-ubiquitination).</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
4;IPR001841;"doi:10.1038/nmeth.4343
doi:10.1073/pnas.0800909105
imex:IM-25740
imex:IM-9383
intact:EBI-15097123
intact:EBI-15710767
pubmed:18567673
pubmed:28650476";Zinc finger, RING-type;"<p>This entry represents RING-type zinc finger domains. The RING-finger is a specialised type of Zn-finger of 40 to 60 residues that binds two atoms of zinc, and is probably involved in mediating protein-protein interactions [[cite:PUB00005712], [cite:PUB00001094], [cite:PUB00006216]]. There are two different variants, the C3HC4-type and a C3H2C3-type, which are clearly related despite the different cysteine/histidine pattern. The latter type is sometimes referred to as 'RING-H2 finger'. The RING domain is a protein interaction domain that has been implicated in a range of diverse biological processes. E3 ubiquitin-protein ligase, in Homo sapiens [swissprot:Q06587], activity is intrinsic to the RING domain of c-Cbl and is likely to be a general function of this domain. E3 ubiquitin-protein ligases determine the substrate specificity for ubiquitylation and have been classified into HECT and RING-finger families. Various RING fingers also exhibit binding to E2 ubiquitin-conjugating enzymes (Ubc's) [[cite:PUB00006474], [cite:PUB00006565], [cite:PUB00006516]].</p>

<p>Several 3D-structures for RING-fingers are known [[cite:PUB00001094], [cite:PUB00006216]]. The 3D structure of the zinc ligation system is unique to the RING domain and is referred to as the 'cross-brace' motif. The spacing of the cysteines in such a domain is C-x(2)-C-x(9 to 39)-C-x(1 to 3)-H-x(2 to 3)-C-x(2)-C-x(4 to 48)-C-x(2)-C. Metal ligand pairs one and three co-ordinate to bind one zinc ion, whilst pairs two and four bind the second.</p>

<p>Note that in the older literature, some RING-fingers are denoted as LIM-domains. The LIM-domain Zn-finger is a fundamentally different family, albeit with similar Cys-spacing (see [interpro:IPR001781]).</p>; <p>Zinc finger (Znf) domains are relatively small protein motifs which contain multiple finger-like protrusions that make tandem contacts with their target molecule. Some of these domains bind zinc, but many do not; instead, they bind other metals, such as iron, or no metal at all. For example, some family members form salt bridges to stabilise the finger-like folds. They were first identified as a DNA-binding motif in transcription factor TFIIIA from Xenopus laevis (African clawed frog); however, they are now recognised to bind DNA, RNA, protein and/or lipid substrates [[cite:PUB00035807], [cite:PUB00035805], [cite:PUB00035806], [cite:PUB00035804], [cite:PUB00014077]]. Their binding properties depend on the amino acid sequence of the finger domains and of the linker between fingers, as well as on the higher-order structures and the number of fingers. Znf domains are often found in clusters, where fingers can have different binding specificities. There are many superfamilies of Znf motifs, varying in both sequence and structure. They display considerable versatility in binding modes, even between members of the same class (e.g., some bind DNA, others protein), suggesting that Znf motifs are stable scaffolds that have evolved specialised functions. For example, Znf-containing proteins function in gene transcription, translation, mRNA trafficking, cytoskeleton organisation, epithelial development, cell adhesion, protein folding, chromatin remodelling and zinc sensing, to name but a few [[cite:PUB00035812]]. Zinc-binding motifs are stable structures, and they rarely undergo conformational changes upon binding their target.</p>"
