A6NI15,Mesogenin-1,Homo sapiens,IPR011598|IPR036638|IPR040259,imex:IM-25472|pubmed:32296183
D6RGG3,Collagen alpha-1(XII) chain,Homo sapiens,IPR008160|IPR013320|IPR050525|IPR003961|IPR036116|IPR013783|IPR048287|IPR002035|IPR036465,imex:IM-24272|pubmed:26496610
K7EMM4,Transcription factor E2-alpha,Homo sapiens,IPR011598|IPR036638|IPR051098,imex:IM-24272|pubmed:26496610
O00534,von Willebrand factor A domain-containing protein 5A,Homo sapiens,IPR013694|IPR002035|IPR036465,doi:10.1016/j.cell.2021.04.011|imex:IM-25472|imex:IM-29278|pubmed:32296183|pubmed:33961781
O14936,Peripheral plasma membrane protein CASK,Homo sapiens,IPR035473|IPR008145|IPR008144|IPR020590|IPR011009|IPR014775|IPR004172|IPR036892|IPR050716|IPR027417|IPR001478|IPR036034|IPR000719|IPR036028|IPR001452,pubmed:15694377
O43824,Putative GTP-binding protein 6,Homo sapiens,IPR030394|IPR006073|IPR032305|IPR016496|IPR025121|IPR042108|IPR027417,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75564,Jerky protein homolog,Homo sapiens,IPR050863|IPR004875|IPR009057|IPR006600|IPR007889,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O75925,E3 SUMO-protein ligase PIAS1,Homo sapiens,IPR023321|IPR038654|IPR003034|IPR036361|IPR004181|IPR013083,imex:IM-24272|pubmed:26496610
O94763,Unconventional prefoldin RPB5 interactor 1,Homo sapiens,IPR009053|IPR004127|IPR052255,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06396,Gelsolin,Homo sapiens,IPR029006|IPR007123|IPR007122,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P0CG47,Polyubiquitin-B,Homo sapiens,IPR000626|IPR029071|IPR019954|IPR019956|IPR050158,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11908,Ribose-phosphate pyrophosphokinase 2,Homo sapiens,IPR000842|IPR029099|IPR029057|IPR000836|IPR005946|IPR037515,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P13349,Myogenic factor 5,Homo sapiens,IPR011598|IPR036638|IPR022032|IPR002546|IPR039704,imex:IM-25472|pubmed:32296183
P15173,Myogenin,Homo sapiens,IPR011598|IPR036638|IPR002546|IPR039704,imex:IM-25472|pubmed:32296183
P15884,Transcription factor 4,Homo sapiens,IPR011598|IPR036638|IPR051098,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-15364|imex:IM-25778|imex:IM-29278|pubmed:21988832|pubmed:28514442|pubmed:33961781
P15884-3,Isoform SEF2-1D of Transcription factor 4,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
