protein_accession	protein_name	protein_length	gene	organism_taxid	organism_name	organism_fullname	in_alphafold	interpro_accession	entry_type	entry_integrated	interpro_protein_length	fragment_start	fragment_end	fragment_status	protein_group
A0A010QS30	Vault protein inter-alpha-trypsin	1169	CFIO01_01282	1445577	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae PJ7	True	IPR013694	domain		1169	29	162	CONTINUOUS	VIT_domain
A0A015I3Z3	von willebrand domain-containing protein	820	RirG_259790	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		820	3	132	CONTINUOUS	VIT_domain
A0A015I439	von willebrand domain-containing protein	856	RirG_259040	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		856	3	132	CONTINUOUS	VIT_domain
A0A015IAB0	VIT domain-containing protein	963	RirG_237510	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		963	1	102	CONTINUOUS	VIT_domain
A0A015ICU1	VWA-like protein	632	RirG_259720	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		632	3	132	CONTINUOUS	VIT_domain
A0A015IQL2	von willebrand domain-containing protein	860	RirG_188530	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		860	3	132	CONTINUOUS	VIT_domain
A0A015KCH5	von willebrand domain-containing protein	1302	RirG_025390	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	False	IPR013694	domain		1302	2	130	CONTINUOUS	VIT_domain
A0A015KNM8	von willebrand domain-containing protein	870	RirG_171590	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		870	3	132	CONTINUOUS	VIT_domain
A0A015LAB2	VWA-like protein	691	RirG_259040	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		691	3	132	CONTINUOUS	VIT_domain
A0A015LWG9	von willebrand domain-containing protein	825	RirG_192630	1432141	Rhizophagus irregularis (strain DAOM 197198w)	Rhizophagus irregularis (strain DAOM 197198w)	True	IPR013694	domain		825	3	132	CONTINUOUS	VIT_domain
A0A017SQQ4	von Willebrand factor type A domain-containing protein	972	EURHEDRAFT_408922	1388766	Aspergillus ruber (strain CBS 135680)	Aspergillus ruber (strain CBS 135680)	True	IPR013694	domain		972	12	143	CONTINUOUS	VIT_domain
A0A017SU66	VWFA domain-containing protein	1194	CAP_0500	1192034	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	True	IPR013694	domain		1194	7	135	CONTINUOUS	VIT_domain
A0A017SZ22	VIT domain-containing protein	1018	CAP_7351	1192034	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	True	IPR013694	domain		1018	29	193	CONTINUOUS	VIT_domain
A0A017T028	VIT domain-containing protein	1284	CAP_6786	1192034	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	False	IPR013694	domain		1284	81	212	CONTINUOUS	VIT_domain
A0A017TAK1	Outer membrane protein	1526	CAP_2142	1192034	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	False	IPR013694	domain		1526	455	601	CONTINUOUS	VIT_domain
A0A017TDN4	VWFA domain-containing protein	1425	CAP_1276	1192034	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	False	IPR013694	domain		1425	250	372	CONTINUOUS	VIT_domain
A0A017TEK3	Vault protein inter-alpha-trypsin	1529	CAP_1275	1192034	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	Chondromyces apiculatus (strain DSM 436 / NBRC 100084 / Cm a2)	False	IPR013694	domain		1529	233	363	CONTINUOUS	VIT_domain
