A0A1D6JMK2,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6K1U6,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6M742,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
B6THK3,Small ribosomal subunit protein mS23,Zea mays,IPR059242,imex:IM-29553|pubmed:36581701
C4J434,BHLH domain-containing protein,Zea mays,IPR011598|IPR024097|IPR036638,imex:IM-29553|pubmed:36581701
O15431,High affinity copper uptake protein 1,Homo sapiens,IPR007274,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O60884,DnaJ homolog subfamily A member 2,Homo sapiens,IPR012724|IPR002939|IPR001623|IPR018253|IPR044713|IPR008971|IPR001305|IPR036410|IPR036869,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O95711,Lymphocyte antigen 86,Homo sapiens,IPR014756|IPR039945|IPR003172,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P00738,Haptoglobin,Homo sapiens,IPR009003|IPR043504|IPR001314|IPR035976|IPR000436|IPR001254,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P02647,Apolipoprotein A-I,Homo sapiens,IPR000074|IPR050163,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04626,Receptor tyrosine-protein kinase erbB-2,Homo sapiens,IPR006211|IPR006212|IPR032778|IPR009030|IPR011009|IPR000719|IPR017441|IPR000494|IPR036941|IPR050122|IPR001245|IPR049328|IPR008266|IPR020635|IPR016245,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P04626-2,Isoform 2 of Receptor tyrosine-protein kinase erbB-2,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
