C6KT55,Brak nazwy,Plasmodium falciparum (isolate 3D7),IPR016641|IPR044034|IPR038187|IPR002715,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
O15078,Centrosomal protein of 290 kDa,Homo sapiens,IPR032321|IPR026201,imex:IM-24512|pubmed:26638075
O15209,Zinc finger and BTB domain-containing protein 22,Homo sapiens,IPR000210|IPR011333|IPR036236|IPR013087|IPR050457,imex:IM-24995|pubmed:27107014
P02751,Fibronectin,Homo sapiens,IPR050991|IPR000083|IPR003961|IPR036116|IPR000562|IPR036943|IPR013783|IPR013806,imex:IM-14135|pubmed:19738201
P03372,Estrogen receptor,Homo sapiens,IPR024178|IPR001292|IPR046944|IPR035500|IPR000536|IPR050200|IPR001723|IPR024736|IPR001628|IPR013088,imex:IM-26954|pubmed:31527615
P04798,Cytochrome P450 1A1,Homo sapiens,IPR001128|IPR017972|IPR002401|IPR008066|IPR036396,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P06748,Nucleophosmin,Homo sapiens,IPR032569|IPR004301|IPR024057|IPR036824,imex:IM-24272|pubmed:26496610
P11484,Ribosome-associated molecular chaperone SSB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P12429,Annexin A3,Homo sapiens,IPR001464|IPR018502|IPR018252|IPR037104|IPR002390,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P14091,Cathepsin E,Homo sapiens,IPR001461|IPR001969|IPR012848|IPR033121|IPR021109,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P15822,Zinc finger protein 40,Homo sapiens,IPR051969|IPR036236|IPR013087|IPR034729,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P15884,Transcription factor 4,Homo sapiens,IPR011598|IPR036638|IPR051098,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P23116,Eukaryotic translation initiation factor 3 subunit A,Mus musculus,IPR027512|IPR054711|IPR000717,imex:IM-24272|pubmed:26496610
P25586,KRR1 small subunit processome component,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004087|IPR036612|IPR041174|IPR048550|IPR048548|IPR048549|IPR024166,pubmed:12150911|pubmed:16429126
P25635,Periodic tryptophan protein 2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR024977|IPR027145|IPR011047|IPR007148|IPR015943|IPR020472|IPR019775|IPR036322|IPR001680,pubmed:12150911|pubmed:16429126
P27635,Large ribosomal subunit protein uL16,Homo sapiens,IPR047873|IPR018255|IPR016180|IPR001197|IPR036920,imex:IM-24272|pubmed:26496610
P35869,Aryl hydrocarbon receptor,Homo sapiens,IPR039091|IPR033348|IPR011598|IPR036638|IPR001610|IPR000014|IPR035965|IPR013767|IPR013655,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P38333,Essential nuclear protein 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR007955,pubmed:12150911|pubmed:16429126
P38882,U3 small nucleolar RNA-associated protein 9,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR015943,pubmed:12150911|pubmed:16429126
P39960,GTPase-activating protein BEM2/IPL2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR011993|IPR001849|IPR000651|IPR023578|IPR001895|IPR036964|IPR050729|IPR008936|IPR000198,pubmed:16429126
P42945,U3 small nucleolar RNA-associated protein 10,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR011989|IPR016024|IPR012954|IPR021133|IPR056473|IPR022125|IPR040191,pubmed:12150911|pubmed:16429126
P47047,ATP-dependent RNA helicase DOB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR025696|IPR011545|IPR014001|IPR001650|IPR048392|IPR027417|IPR011254|IPR050699|IPR016438|IPR012961,imex:IM-29638|pubmed:37070168
P52927,High mobility group protein HMGI-C,Mus musculus,IPR017956|IPR000116,imex:IM-23312|pubmed:26045162
P53254,U3 small nucleolar RNA-associated protein 22,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR005554|IPR035082|IPR035367|IPR035368|IPR035369|IPR035370|IPR035371,pubmed:12150911|pubmed:16429126
P68431,Histone H3.1,Homo sapiens,IPR007125|IPR009072|IPR000164,imex:IM-26301|pubmed:29568061
Q02354,U3 small nucleolar RNA-associated protein 6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR003107|IPR011990|IPR013949|IPR055347,pubmed:12150911|pubmed:16429126
Q05672,RNA-binding suppressor of PAS kinase protein 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001374|IPR036867|IPR051937,pubmed:18719252
Q06323,Proteasome activator complex subunit 1,Homo sapiens,IPR003186|IPR036997|IPR036996|IPR009077|IPR003185|IPR036252,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q06512,Nucleolar complex protein 4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR005612|IPR027193,pubmed:12150911|pubmed:16429126
Q06631,Protein BFR2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR025160|IPR039223|IPR012617,pubmed:16429126
Q07666,KH domain-containing, RNA-binding, signal transduction-associated protein 1,Homo sapiens,IPR045071|IPR055256|IPR004087|IPR036612|IPR032571|IPR032335,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q08162,Exosome complex exonuclease DIS3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR041505|IPR012340|IPR029060|IPR002716|IPR001900|IPR022966|IPR050180|IPR033771|IPR033770|IPR003029,imex:IM-29638|pubmed:37070168
Q08285,Exosome complex component RRP40,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR026699|IPR004088|IPR036612|IPR012340|IPR049469|IPR041054|IPR037319,imex:IM-29638|pubmed:37070168
Q08965,Ribosome biogenesis protein BMS1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012948|IPR003959|IPR039761|IPR037875|IPR007034|IPR030387|IPR027417,pubmed:16429126
Q12499,Nucleolar protein 58,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR045056|IPR012974|IPR042239|IPR002687|IPR036070|IPR012976,pubmed:12150911|pubmed:16429126
Q15006,ER membrane protein complex subunit 2,Homo sapiens,IPR039856|IPR011990|IPR055217|IPR019734,imex:IM-24272|pubmed:26496610
Q16666-2,Isoform 2 of Gamma-interferon-inducible protein 16,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-23523|pubmed:25665578
Q16799,Reticulon-1,Homo sapiens,IPR003388|IPR046964,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q53EZ4,Centrosomal protein of 55 kDa,Homo sapiens,IPR038926|IPR022008,doi:10.1038/s41467-019-11959-3|imex:IM-27438|pubmed:31515488
Q659A1,Little elongation complex subunit 2,Homo sapiens,IPR019535,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6ZWV7,Large ribosomal subunit protein uL29,Mus musculus,IPR001854|IPR018254|IPR045059|IPR036049,imex:IM-24272|pubmed:26496610
Q7L985,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR001611|IPR003591|IPR032675|IPR050541|IPR000372,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z5G4,Golgin subfamily A member 7,Homo sapiens,IPR019383|IPR051371,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
