#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR038459 AND Category=AF4;
5_1	AF4	A0A1A9UR95-F1	Savannah tsetse fly	78.3	RNA (guanine-9-)-methyltransferase domain-containing protein 1	IPR007356,IPR016009,IPR025812,IPR028564,IPR038459	
3_1#3_1	AF4	A0A6V7Y5G7-F1	Meloidogyne enterolobii	84.6	Hypothetical protein	IPR007356,IPR016009,IPR028564,IPR038459	MENT_LOCUS60614
3_1#3_1	AF4	A0A1V9ZSR7-F1	Thraustotheca clavata	72.2	2',5'-phosphodiesterase	IPR016009,IPR028564,IPR036691,IPR038459	THRCLA_05782
3_1#3_1	AF4	A0A0N5AWT7-F1	Syphacia muris	70.7	SAM-dependent MTase TRM10-type domain-containing protein	IPR028564,IPR038459,IPR007356	
3_1	AF4	A0A4V2K0G2-F1	Dichomitus squalens	97.5	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	BD311DRAFT_721970
3_1	AF4	A0A4Q9NRB9-F1	Dichomitus squalens	97.5	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	BD309DRAFT_961019 BD310DRAFT_917281
3_1	AF4	A0A5C2U1E2-F1	Lentinus tigrinus	97.4	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	L226DRAFT_529722
3_1	AF4	A0A5C2STZ4-F1	Lentinus tigrinus	97.4	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	L227DRAFT_569515
3_1	AF4	A0A0L0W349-F1	Puccinia striiformis f	97.3	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR016653,IPR028564,IPR038459	PSTG_00924
3_1	AF4	A0A5C3PVH7-F1	Polyporus arcularius	97.3	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	K466DRAFT_460837
3_1	AF4	A0A3M0VYL1-F1	Chaetothyriales sp	97.3	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR016653,IPR028564,IPR038459	DV735_g4971
3_1	AF4	S8EC50-F1	strain FP-58527	97.3	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	FOMPIDRAFT_1023570
3_1	AF4	A0A060S249-F1	Cinnabar-red polypore	97.3	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	BN946_scf184760.g3
3_1	AF4	A0A077ZQ13-F1	Ciliate	97.3	tRNA (guanine(9)-N(1))-methyltransferase (EC 2.1.1.221)	IPR007356,IPR016009,IPR016653,IPR028564,IPR038459	Contig15333.g16347 STYLEM_415
3_1	AF4	A0A2N5U0G3-F1	Puccinia coronata f	97.3	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	PCANC_23132
3_1	AF4	A0A1Y2IUW4-F1	Trametes coccinea	97.3	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR016653,IPR028564,IPR038459	PYCCODRAFT_1347315
3_1	AF4	A0A1C7M212-F1	Maitake	97.3	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	TRM10 A0H81_09781
3_1	AF4	A0A2N5UZW2-F1	Puccinia coronata f	97.3	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	PCANC_07007
3_1	AF4	A0A317X556-F1	Aspergillus heteromorphus CBS 117	97.2	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR016653,IPR028564,IPR038459	BO70DRAFT_357819
3_1	AF4	A0A507CU81-F1	Synchytrium endobioticum	97.2	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	SeLEV6574_g05472 SeMB42_g06030
3_1	AF4	C5L1X3-F1	Perkinsus marinus 	97.2	SAM-dependent MTase TRM10-type domain-containing protein	IPR007356,IPR016009,IPR028564,IPR038459	Pmar_PMAR013466
3_1	AF4	C6TIF6-F1	Soybn	97.2	SAM-dependent MTase TRM10-type domain-containing protein	IPR007356,IPR016009,IPR028564,IPR038459	
3_1	AF4	A0A2N5TN14-F1	Puccinia coronata f	97.2	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	PCASD_23014
3_1	AF4	C0NAW6-F1	Darling's disease fungus	97.2	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR016653,IPR028564,IPR038459	HCBG_00262
3_1	AF4	A0A371DS76-F1	Polyporus brumalis	97.2	tRNA (guanine(9)-N1)-methyltransferase (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase)	IPR007356,IPR016009,IPR028564,IPR038459	OH76DRAFT_1428265
